id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3999,kurgan.bilkam.ru,73833830392; 73517009492,"г. Курган, ул. Омская",https://kurgan.bilkam.ru/,sales@bilkam.ru,Курган,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
3970,Гранитная мастерская Мемориал в Кургане: изотовление и монтаж ...,79091730537; 79658688748; 73522415629; 79658661100; 73522228748,"просп. Машиностроителей, 33А, Курган, Курган",https://memorial45.ru/,salon-memorial@mail.ru,Курган,,A,48,No,wordpress,No,https://t.me/+79091730537,https://vk.com/memorial45,https://api.whatsapp.com/send?phone=79658688748
3968,"Ритуальные услуги, магазин",73522612900; 79091490190; 73522552556; 79128352556; 79068848987; 79512722201,"ул. Бурова-Петрова, 4, Курган, Россия, Курган",https://xn----7sbblxancnkhnvvv8p.xn--p1ai/,uralkamen45@mail.ru; pamyat45kurgan@mail.ru,Курган,,A,44,Yes,joomla,No,https://t.me/pamyat45kurgan,https://vk.com/pamyat45kurgan,
3969,Светлая Память,79195993146; 79091450900,"Омская ул., 151, корп. 7, Курган, Курган",https://svetlaya-pamyat.pulscen.ru/,,Курган,,A,40,No,unknown,No,https://t.me/+79195993146,https://vk.com/svetlaya_pamyati,https://api.whatsapp.com/send?phone=79195993146
3974,Век,79128355155,"ул. Некрасова, 5/2, Курган, Курган",http://vek45.ru/,info@constructor.ru; vek.45@mail.ru,Курган,,A,40,No,unknown,No,https://t.me/+79128355155,https://vk.com/vek45,https://api.whatsapp.com/send?phone=79638667111
3982,Зауральский похоронный дом,73522256160; 73522627770; 79080077770; 73522610630; 73522622000; 73522619416; 73522552556; 79128352556,"просп. Машиностроителей, 34, Курган, Курган",https://памятники-курган.рф/,uralkamen45@mail.ru,Курган,,A,40,Yes,joomla,No,https://t.me/+73522256160,,
3984,ВМК-Урал гранитная мастерская,73522413455; 73438811077; 73432684659,"ул. Коли Мяготина, 143А, Курган, Курган",https://kurgan.vmkural.ru/,referent@vmk-ural.ru,Курган,,A,40,Yes,unknown,No,https://t.me/+73522413455,,
3996,Гранит памяти,79678087675,,https://kurgan.granit-pamyati.ru/,office@granit-pamyati.ru,Курган,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
3967,Производственная компания Обелиск,79128356683; 73522556683; 79128355313; 79080060262; 73522555313,"ул. Коли Мяготина, 39, корп. 1, Курган, Россия, Курган",https://obelisk45.ru/,obelisk.45@mail.ru,Курган,,B,38,No,wordpress,No,https://t.me/+79128356683,http://vk.com/public199607294,
3980,мастерская Мемориал,,"11, СНТ Иволга-24, Курган",http://memorial.ck.ua/,memorialmajsterna@gmail.com,Курган,,B,37,No,wordpress,No,https://t.me/memorialmajsterna,http://vk.com/qwerty_vatutino,
4001,Галерея работ,73822302717; 79138502717; 70210030126; 70170190068,,https://kurgan-tomsk.ru/,kurgantsk@mail.ru,Курган,,B,35,No,tilda,No,https://t.me/kurgantsk,,
3973,Ритуальный салон Каменный цветок,73522254256; 79091727029; 79658392929,"Омская ул., 101В, корп. 3, Курган, Курган",http://kamenniycvetok.ru/,,Курган,,B,30,No,unknown,No,https://t.me/+73522254256,,
3986,Студия Практик производственная фирма,79128322417,"ул. Пичугина, 15, стр. 1, Курган, Курган",http://www.practic45.ru/,zdspractic@mail.ru,Курган,,B,30,No,unknown,No,https://t.me/+79128322417,,
3998,"Памятникии ковка:гранитныепамятники, кованые оградки на...",79623445424,,https://xn----8sbbjgyn2agof.xn--p1ai/,salon.kovki73@mail.ru,Курган,,B,28,No,tilda,No,https://t.me/+79623445424,,
3971,Похоронная служба Реквием,79924256909,"ул. Чкалова, 44В, рабочий посёлок Варгаши, Курган",http://www.psvargashi.ru/,,Курган,,B,25,No,unknown,No,https://t.me/+79924256909,https://vk.com/id569168183,
3972,Курган мрамор,79128351075,"Омская ул., 101, корп. 3С, Курган, Курган",http://курганмрамор.рф/,,Курган,,B,25,No,unknown,No,https://t.me/+79128351075,,
3977,Магазин ритуальных услуг КурганМрамор сеть магазинов ритуальных услуг,73522551075,"ул. Губанова, 70, Курган, Курган",http://kurgan-mramor.ru/,,Курган,,B,25,No,unknown,No,https://t.me/+73522551075,,
3981,Ритуал,79617521059; 79195899535; 79058505744; 79195888800; 73522600744,"Курган, жилой район Заозёрный, 3-й микрорайон, 1, стр. 1, Курган",,,Курган,,B,25,No,unknown,No,https://t.me/+79617521059,,
3983,Малахит,73522552578; 79058507703,"ул. Некрасова, 16К4, Курган, Курган",,,Курган,,B,25,No,unknown,No,https://t.me/+73522552578,,
4000,Памятникиизгранита- купить по доступной цене вКургане,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://kurgan.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Курган,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
