id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4023,"""Память в граните""",79167849555; 79192750902; 79102765964; 75260976922; 79954948444; 79510842592,"ул. Энергетиков, 2, корп. 1, Курск, Курск",http://памятники46.рф/,angelina_rezya@mail.ru,Курск,,A,53,Yes,wordpress,No,https://t.me/79954948444,,https://api.whatsapp.com/send?phone=79954948444
4033,Монумент 46,79536372455; 79510807772,"Верхняя Луговая ул., 6, Курск, Курск",https://monument46.ru/,monument-kursk@yandex.ru,Курск,,A,53,Yes,tilda,No,https://t.me/tlgg.ru/tg_boted,https://vk.com/46monument,https://api.whatsapp.com/send?phone=79992456911
4031,Обелиск 46,79107311171; 79200227737; 79100227737,"Россия, Курск, микрорайон Северо-Западный, Курск",https://obelisk46.ru/,,Курск,,A,48,Yes,wordpress,No,https://t.me/+79107311171,,https://api.whatsapp.com/send?phone=79107311171
4025,Ритуал Курск,79611689888,"ул. Красная Линия, 11, Курск, Курск",https://ритуальные-услуги-курск.рф/,funeral-services-kursk@yandex.ru,Курск,,A,40,No,unknown,No,https://t.me/89099865455,https://vk.com/ritualniuslugivmoskve,https://api.whatsapp.com/send?phone=79611689888
4029,Мемориал46,79207360945; 79950858155,"д. Толмачёво, 179, Курск",https://memorial46.ru/,,Курск,,A,40,No,unknown,No,https://t.me/+79207360945,https://vk.com/id846633927,https://api.whatsapp.com/send?phone=79513379920
4035,Памятники,79192142676; 79307635057; 79510831666; 79513375339; 74712377250; 74712377550,"ул. Ольшанского, 5, корп. 1, микрорайон Курского Завода Тракторных Запчастей, Курск, Курск",http://www.pamyatniki-kursk.ru/,,Курск,,A,40,No,unknown,No,https://t.me/+79192142676,,https://api.whatsapp.com/send?phone=79307635057
4050,Гранит памяти,79678087675,,https://kursk.granit-pamyati.ru/,office@granit-pamyati.ru,Курск,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
4052,Данила-Мастер,79022234935; 79022202052,"г. Курск, ул. Литовская",https://kursk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Курск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=kursk,
4026,Ритуальные услуги,79207125553; 79191328889; 79107310124; 79510747469; 79606872503; 79081277075,"ул. Никитина, 1Б, д. Татаренкова, Курск",https://pamyatniki-malinovaya.ru/,uslugi.rit@ya.ru,Курск,,B,38,No,wordpress,No,https://t.me/+79207125553,,
4039,Память салон-магазин ритуальных принадлежностей,74712546227; 74712746622; 79102125240; 74712340335,"3-я Песковская ул., 14А/1, микрорайон Пески, Курск, Курск",https://pamyat46.ru/,pamyat-kursk@mail.ru,Курск,,B,38,No,wordpress,No,https://t.me/+74712546227,,
4049,Главная страница,79207207000; 79208740885,г. Курск ул литовская,https://www.pamyatniki-kursk46.ru/,abramenkovv@mail.ru; 77pamyatniki-kursk46@mail.ru; Pamyatniki-kursk46@mail.ru; pamyatniki-kursk46@mail.ru; -akropol@mail.ru; 46zolotoi.pamiatniki@mail.ru; 00pamyatniki-kursk46@mail.rupamyatniki; zolotoi.pamiatniki@mail.ru,Курск,,B,37,No,opencart,No,https://t.me/MakeYourSite,,
