id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3921,Ггранитная мастерская,79379139545; 78415771752; 79273800151; 79273611278; 79374086333,"Пензенская область, Кузнецк, улица Чкалова, Кузнецк",http://www.salon-kamnya58.ru/,kuzneck8@mail.ru,Кузнецк,,A,45,No,unknown,No,https://t.me/+79379139545,,https://api.whatsapp.com/send?phone=79273611278
3930,kuzneck.bilkam.ru,73833830392; 73517009492,,https://kuzneck.bilkam.ru/,sales@bilkam.ru,Кузнецк,,A,45,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
3920,Гранитная мастерская Мемориал века,79374447222; 79374317222,"ул. Тухачевского, 4А, Кузнецк, Кузнецк",http://pamyatniknamogilu.ru/,,Кузнецк,,A,40,No,joomla,No,https://t.me/+79374447222,,https://api.whatsapp.com/send?phone=79374447222
3922,Памятники на Стекловской,79374346969,"Стекловская ул., 95В, Кузнецк, Кузнецк",https://pamyatniki58.clients.site/,,Кузнецк,,B,35,No,unknown,No,https://t.me/+79374346969,,https://api.whatsapp.com/send?phone=79374346969
3926,Центральный,79374414125,"ул. Белинского, 102, Кузнецк, Кузнецк",,,Кузнецк,,C,20,No,unknown,No,https://t.me/+79374414125,,
3927,Памятники на Дарвиной,79048551878,"ул. Дарвина, 64, Кузнецк, Кузнецк",,,Кузнецк,,C,20,No,unknown,No,https://t.me/+79048551878,,
3928,Ритуальные услуги,79273648341,"Железнодорожный пр., 2, стр. 4, Кузнецк, Кузнецк",,,Кузнецк,,C,20,No,unknown,No,https://t.me/+79273648341,,
3929,Изготовлениепамятниковна могилу вКузнецкепо цене от 18900...,79020837772,,https://kuzneck.xn--80apbncqgt0j.xn--p1ai/,,Кузнецк,,D,7,No,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
3923,Городская мемориальная компания,,"Пензенская область, Кузнецк, улица Чкалова, Кузнецк",,,Кузнецк,,D,5,No,unknown,No,,,
3925,Памятник Отечественной войне 1941-1945,,"Пензенская область, Кузнецкий район, село Козляковка, Кузнецк",,,Кузнецк,,D,5,No,unknown,No,,,
