id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4162,Мемориальный камень,79232824848; 73912148577,"Промышленная ул., 55, посёлок Новоенисейск, Лесосибирск, Лесосибирск",https://pamyatniki124.ru/,pamyatniki124@gmail.com,Лесосибирск,,A,48,No,wordpress,No,https://t.me/+79232824848,,https://api.whatsapp.com/send?phone=79232824848
4167,"""Память в граните""",79102765964; 79192750902; 75260976922,,https://pamyatvgranite46.ru/,,Лесосибирск,,B,33,Yes,tilda,No,https://t.me/+79102765964,,
4168,Добро пожаловать!,79640955233; 79607901300; 73832860008; 70281000700,,https://granit-sibir.ru/,info@granit-sibir.ru,Лесосибирск,,B,30,No,unknown,No,https://t.me/+79640955233,,
4157,Ритуал +,73914535566,"ул. Восстания, 7, Лесосибирск, Лесосибирск",,,Лесосибирск,,C,20,No,unknown,No,https://t.me/+73914535566,,
4158,Калина красная,79232897879,"Промышленная ул., 45В, посёлок Новоенисейск, Лесосибирск, Лесосибирск",,,Лесосибирск,,C,20,No,unknown,No,https://t.me/+79232897879,,
4159,Магазин Светлая память,79509908990,"Спортивная ул., 11, посёлок Новоенисейск, Лесосибирск, Лесосибирск",,,Лесосибирск,,C,20,No,unknown,No,https://t.me/+79509908990,,
4165,Морфей,79233022431,"ул. Белинского, 40Б, стр. 1, Лесосибирск, Лесосибирск",,,Лесосибирск,,C,20,No,unknown,No,https://t.me/+79233022431,,
4156,Гранит,79339950666,"ул. Терешковой, 4Е, Лесосибирск, Лесосибирск",http://granit124.ru/,info@granit124.ru,Лесосибирск,,C,15,No,unknown,No,,https://vk.com/club219707020,
4163,ИП Трубачева Н.Т.,73914522577,,,,Лесосибирск,,C,15,No,unknown,No,https://t.me/+73914522577,,
4160,Ритуал-сервис,,"ул. 40 лет Октября, 2А, посёлок Новоенисейск, Лесосибирск, Лесосибирск",,,Лесосибирск,,D,5,No,unknown,No,,,
4164,Магазин ритуальных принадлежностей Похоронный Дом,,"ул. Горького, 57, Лесосибирск, Лесосибирск",,,Лесосибирск,,D,5,No,unknown,No,,,
