id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4292,Честный Агент ритуальное бюро,74999384553; 74951502112; 74954142940; 74994442809; 79250025795; 75053008481; 70281063800,"ул. Ухтомского, 29, Лыткарино, Лыткарино",https://openagent.ru/,info@openagent.ru,Лыткарино,,A,52,Yes,bitrix,No,https://t.me/+Q0_7TPbOsdGSelet,https://vk.com/openagent,
4302,Мемориал,78129887874; 79045114888,,https://memorialzavod.ru/,memorialzavod@mail.ru,Лыткарино,,A,45,Yes,opencart,No,https://t.me/+79045114888,https://vk.com/spbmemorial,https://api.whatsapp.com/send?phone=+79045114888&amp;text=Здравствуйте.%20Есть%20вопрос%20по%20памятникам.
4289,Град-Экс гранитная мастерская,74951096677; 74951205544,"ул. Ленина, 10, Лыткарино, Лыткарино",,,Лыткарино,,A,42,Yes,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4301,Небо Одно,79097535050,,https://lytkarino.nebo-odno.ru/,op.nebo1@gmail.com,Лыткарино,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
4291,ИП Данилов М. В.,79160793213; 79262696908; 79163634458,"Лыткарино, территория промзона Тураево, 40В, Лыткарино",https://granitka-lyt.ru/,,Лыткарино,,A,40,No,unknown,No,https://t.me/79160793213,,https://api.whatsapp.com/send?phone=791607932130901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4304,"Памятникиз черногогранита№ 281 ""Часовня""",79265393503; 79250033785,,https://www.stoun.ru/,,Лыткарино,,A,40,Yes,bitrix,No,https://t.me/+79265393503,,
4299,Данила-Мастер,74991132525; 79022234935; 79022202052; 76270001630; 76040840298; 74957452726; 79201305838; 79201306095; 79201306102; 79201306101; 79250093760,,https://lytkarino.danila-master.ru/,mail@danila-master.ru; dm-on-line@danila-master.ru; evgenia.belova@danila-master.ru; ilia.borisov@danila-master.ru; ksenia.malyutina@danila-master.ru; elizaveta.hechiyan@danila-master.ru; info@danila-master.ru; svetlana.pohodenko@danila-master.ru,Лыткарино,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=lytkarino,
4298,Лыткарино- изготовлениепамятников|мастерскаяИП Булыка,74956463504; 79689385883,,https://ipb-memorial.ru/,,Лыткарино,,B,30,Yes,unknown,No,https://t.me/+74956463504,,
4295,ЦентрГранит,74959707667,"Россия, Московская область, городской округ Лыткарино, территория промзона Тураево, Лыткарино",https://centergranit.ru/,,Лыткарино,,B,25,No,unknown,No,https://t.me/+74959707667,,
4293,Изготовление памятников,,"ул. Ленина, 10, Лыткарино, Лыткарино",,,Лыткарино,,C,22,No,unknown,No,https://t.me/izgotovleniepamyatnikov,,
4296,Камень Ангела гранитная мастерская,79637775203,"Московская область, Лыткарино, территория промзона Тураево, Лыткарино",,,Лыткарино,,C,20,No,unknown,No,https://t.me/+79637775203,https://vk.com/angstone,
4303,Изготовление памятников в Лыткарино - купить памятник на могилу по ...,74953084520; 78126700713; 74951503024; 70281052000; 74537452510,,https://памятники-недорого.рф/,kamengarantmsk@yandex.ru; aleksandrova.anna.marketing@yandex.ru; info@pamyatniki-nedorogo.ru,Лыткарино,,C,20,Yes,unknown,No,https://t.me/+79533408544,,
