id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4317,Честный Агент ритуальное бюро,74999384553; 74951502112; 74954142940; 74994442809; 79250025795; 75053008481; 70281063800,"Новорязанское шоссе, 23-й километр, вл28, рабочий посёлок Томилино, Люберцы",https://openagent.ru/,info@openagent.ru,Люберцы,,A,62,Yes,bitrix,No,https://t.me/+Q0_7TPbOsdGSelet,https://vk.com/openagent,https://api.whatsapp.com/send?phone=79096718485
4328,Ваш Ритуал,74951820288; 77237376879; 77460029278,"Октябрьский просп., 358, Люберцы, Люберцы",https://vash-ritual.ru/,info@vash-ritual.ru,Люберцы,,A,54,Yes,joomla,No,https://t.me/Vash_Ritual_Ru_Bot,,https://wa.me
4316,Памятники и надгробия,79037511219; 79856486925,"ул. Карла Либкнехта, 14к1, Люберцы, Люберцы",http://www.proizvodstvo-pamyatnikov.ru/,info@proizvodstvo-pamyatnikov.ru,Люберцы,,A,50,No,wordpress,No,https://t.me/granitmaster84,,https://api.whatsapp.com/send?phone=790375112190901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4319,stellamaster.ru,79314053333; 79169153296; 79253770447,"Инициативная ул., 14, стр. 4, Люберцы, Люберцы",https://stellamaster.ru/,stellamaster@yandex.ru,Люберцы,,A,50,Yes,unknown,No,https://t.me/+79314053333,https://vk.com/stellams,https://api.whatsapp.com/send?phone=79314053333
4329,Глобал Стоун,74952238920; 79776913951; 74956588000; 79067010732; 79778955032; 74959723972; 74956587000; 79687188589; 79269161241,"Волковская ул., 2А, Люберцы, Люберцы",https://globalstone.ru/,mariyno@globalstone.ru; opt@globalstone.ru; info@globalstone.ru; dmitrov@globalstone.ru; izmaylovo@globalstone.ru,Люберцы,,A,50,Yes,bitrix,No,https://t.me/+74952238920,,
4323,Град-Экс гранитная мастерская,74951096677; 74951205544,"Инициативная ул., 14, стр. 5, Люберцы, Люберцы",,,Люберцы,,A,42,Yes,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=792544440000901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4318,Гранитная мастерская Новолюберецкого кладбища,79055064614; 79263988790; 74995011536; 74991123460,"Московская область, Люберцы, Новолюберецкое кладбище, Люберцы",https://novolyubereckoekladbishe.ru/,,Люберцы,,A,40,No,unknown,No,https://t.me/+79055064614,,https://api.whatsapp.com/send?phone=79055064614
4335,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Инициативная ул., 1Б, Люберцы, Люберцы",https://pamyatniki.moscow/,info@pamyatniki.moscow,Люберцы,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
4322,Благоустройство захоронения,79032710112; 79015531183; 79015970422; 79256027181; 70281001000,"Московская область, Люберцы, СНТ Ветеран-1, Люберцы",http://vozrogdenie1.ru/,info@vozrogdenie1.ru; infoGAVvozrogdenie1DDOTru,Люберцы,,B,35,No,unknown,No,https://t.me/+79032710112,,
4336,Ритуальная Городская Служба,74991302726; 79099865455,,https://xn-----6kccjemwevfcqhwuxggufc2pwa.xn--p1ai/,funeral-services@yandex.ru,Люберцы,,B,34,No,unknown,No,https://t.me/ritualmoscow777,https://vk.com/ritualniuslugivmoskve,
4320,Новое Люберецкое кладбище,79104221150; 79268621720,"Новорязанское шоссе, 23-й километр, 1, корп. 2, рабочий посёлок Томилино, Люберцы",http://новолюберецкоекладбище.рф/,,Люберцы,,B,30,No,unknown,No,https://t.me/+79104221150,,
4332,Похоронный Дом,79089870101; 74955540394; 74952052335; 74951011203,"Инициативная ул., 38А, Люберцы, Люберцы",https://mosk-ritual.ru/,,Люберцы,,B,30,No,unknown,No,https://t.me/+79089870101,,
4333,Похороны Православные,74993807921,"ул. Воинов-Интернационалистов, 15, Люберцы, Люберцы",https://ritual-lyuberci.ru/,,Люберцы,,B,30,Yes,unknown,No,https://t.me/+74993807921,,
4324,Центр Похорон,74993467067,"ул. 3-е Почтовое Отделение, 65, микрорайон Городок Б, Люберцы, Люберцы",https://funeralcenter.ru/,,Люберцы,,B,25,No,unknown,No,https://t.me/+74993467067,,
4326,Союз ритуальных услуг,74993229727,"Октябрьский просп., 5, Люберцы, Люберцы",https://union-of-fs.ru/,,Люберцы,,B,25,No,unknown,No,https://t.me/+74993229727,,
4327,Памятники,79919611096; 79067841092,"ул. Карла Либкнехта, 14, корп. 1, Люберцы, Люберцы",,,Люберцы,,B,25,No,unknown,No,https://t.me/+79919611096,https://vk.com/id717733943,
4321,Гранитный Памятник,79096270312,"Инициативная ул., 34, Люберцы, Люберцы",,,Люберцы,,C,20,No,unknown,No,https://t.me/+79096270312,https://vk.com/club77328633,
4325,Марс-ритуал ритуальное агентство,74955549216,"Инициативная ул., 40, Люберцы, Люберцы",,,Люберцы,,C,20,No,unknown,No,https://t.me/+74955549216,,
4334,Городская Похоронная Служба,74951234551,"Московская область, Люберцы, Новолюберецкое кладбище, Люберцы",,,Люберцы,,C,20,No,unknown,No,https://t.me/+74951234551,,
