id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4437,mahachkala.bilkam.ru,73833830392; 73517009492,,https://mahachkala.bilkam.ru/,sales@bilkam.ru,Махачкала,,A,45,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
4438,"Памятникии ковка:гранитныепамятники, кованые оградки на...",79623445424,,https://xn----8sbbjgyn2agof.xn--p1ai/,salon.kovki73@mail.ru,Махачкала,,B,33,Yes,tilda,No,https://t.me/+79623445424,,
4440,Изготовление и установка памятников в Махачкале,79182699977; 79531133563,,https://mahachkala.zakaz-pamyatnik.ru/,,Махачкала,,B,33,Yes,wordpress,No,https://t.me/+79182699977,,
4428,Ритуальное агентство,79882122332,"ул. Буйнакского, 38, Махачкала, Махачкала",,,Махачкала,,B,30,No,unknown,No,https://t.me/+79882122332,,https://api.whatsapp.com/send?phone=798821223320901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4426,Изготовление памятников и надгробий,79282182771; 79673777717; 79285777717,"ул. Абдулхакима Исмаилова, 161, Махачкала, Махачкала",,,Махачкала,,B,25,No,unknown,No,https://t.me/+79282182771,,
4430,Мастерская по изготовлению памятников,79286704050; 79285113099,"ул. Магомедтагирова, 118, Махачкала, Махачкала",,,Махачкала,,B,25,No,unknown,No,https://t.me/+79286704050,,
4432,Изготовление памятников,79286722260; 79285476824; 79034827295,"Южно-Индустриальная ул., 3, село Агачаул, Махачкала",,,Махачкала,,B,25,No,unknown,No,https://t.me/+79286722260,,
4434,Ритуальные услуги,79285488855; 79224198407,"ул. Арухова, 3Е, Махачкала, Махачкала",,,Махачкала,,B,25,No,unknown,No,https://t.me/+79285488855,,
4425,Памятники и надгробия,79285426000,"Газопроводная ул., 4Б, Махачкала, Махачкала",,,Махачкала,,C,20,No,unknown,No,https://t.me/+79285426000,,
4427,Мастерская по изготовлению надгробных памятников,79280555564,"Газопроводная ул., 19, Махачкала, Махачкала",,,Махачкала,,C,20,No,unknown,No,https://t.me/+79280555564,,
