id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4501,kgd-stone.shop,79095702300; 79095725000; 79062067000; 79095688000,,https://kgd-stone.shop/,mail@kgd-stone.shop,Междуреченск,,A,48,Yes,unknown,No,https://t.me/pamyatnik_online,https://vk.com/onlinepamyatniki,https://api.whatsapp.com/send?phone=9062082000&amp;text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!
4504,Главная,79209218050; 74923426275; 74923433052,,https://granit-mramor33.ru/,info@granit-mramor33.ru,Междуреченск,,B,35,Yes,unknown,No,https://t.me/+79209218050,,
4502,mezhdurechensk.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747,,https://mezhdurechensk.xn--80apbncqgt0j.xn--p1ai/,,Междуреченск,,B,33,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
4494,Альфа42 Похоронная служба,79234750111; 73847592300,"просп. 50 лет Комсомола, 35А, Междуреченск, Междуреченск",https://alpha42.ru/,,Междуреченск,,B,30,No,unknown,No,https://t.me/+79234750111,,
4495,Памятники в Междуреченске,79236337669,"просп. Шахтёров, 29, Междуреченск, Междуреченск",,,Междуреченск,,B,30,No,unknown,No,https://t.me/+79236337669,https://vk.com/id295610412,https://api.whatsapp.com/send?phone=79236337669
4503,matveevb.ru,79261072148,,https://matveevb.ru/,mail@matveevb.ru,Междуреченск,,B,28,No,wordpress,No,https://t.me/+79261072148,,
4492,Memento Mori,79000589090,"Пикетная ул., 42, Междуреченск, Междуреченск",,,Междуреченск,,C,20,No,unknown,No,https://t.me/+79000589090,,
4493,Классик,73847560041,"Луговая ул., 67, Междуреченск, Междуреченск",,,Междуреченск,,C,20,No,unknown,No,https://t.me/+73847560041,,
4500,Память,79512271111,"ул. Юности, 21А, Междуреченск, Междуреченск",,,Междуреченск,,C,20,No,unknown,No,https://t.me/+79512271111,,
4497,Ритуальная мастерская,,"ул. Лазо, 5, Междуреченск, Междуреченск",,,Междуреченск,,D,5,No,unknown,No,,,
