id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4543,miass.bilkam.ru,73833830392; 73517009492,"г. Миасс, ул. Хлебозаводская",https://miass.bilkam.ru/,sales@bilkam.ru,Миасс,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
4528,Барельеф. про,79049770088; 79040770088; 70281089028,"ул. Елькина, 170Б, посёлок Тургояк, Миасс",http://bas-relief.pro/,info@bas-relief.pro,Миасс,,A,45,No,unknown,No,https://t.me/79049770088,http://vk.com/brfpro,https://api.whatsapp.com/send?phone=79049770088
4541,ООО Донгосторг,79495099971; 79497370700,,https://xn----7sbnemmdkjeke5b2dxg.xn--p1ai/,pam.dn.rf@gmail.com,Миасс,,A,44,Yes,wordpress,No,https://t.me/pam_dn,https://vk.com/pam_donetsk,
4539,ДЕЛО,79000717912; 79000717920,,https://miass.pamyatniki74.ru/,89000717912@mail.ru,Миасс,,A,41,Yes,wordpress,No,https://t.me/Kamennoe_delo_rf,https://vk.com/blagoustrojstvachelyabinsk,
4544,miass.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Миасс, ул. Романенко",https://miass.rm-ryabina.ru/,rim-ryabina@yandex.ru,Миасс,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
4545,Данила-Мастер,73512779131; 79022234935; 79022202052; 76270004512; 76030726638; 73517111596; 79991088432; 79991088431,"г. Ярославль, ул. Чернопрудная",https://miass.danila-master.ru/,mail@danila-master.ru; marina.fedotova@danila-master.ru; mariya.alifer@danila-master.ru; dm-on-line@danila-master.ru; info@danila-master.ru; alena.elkina@danila-master.ru,Миасс,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=miass,
4527,Мемориал ритуальное агентство,73513557103; 73513284422; 73513556666; 73513559577; 73513590959; 73513590091; 73513592548,"просп. Автозаводцев, 6, Миасс, Миасс",http://memorial-miass.ru/,memo_miass@mail.ru,Миасс,,B,35,No,unknown,No,https://t.me/+73513557103,https://vk.com/save_miass,
4529,Корунд,79512427399; 79028607661; 79507306721,"просп. Автозаводцев, 24, Миасс, Миасс",,,Миасс,,B,35,No,unknown,No,https://t.me/+79512427399,https://vk.com/pamyatnik_korund_miass,https://api.whatsapp.com/send?phone=79512427399
4540,mis.granitmemory.ru,79267568833; 74957409385,,https://mis.granitmemory.ru/,granitm1986@mail.ru,Миасс,,B,35,Yes,drupal,No,https://t.me/+79267568833,,
4542,miass.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747; 79649062340,,https://miass.xn--80apbncqgt0j.xn--p1ai/,,Миасс,,B,33,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
4530,"""ВЕК""",79518055411,"ул. Богдана Хмельницкого, 50, Миасс, Миасс",https://vekmiass.ru/,roma-74rus@mail.ru,Миасс,,B,30,No,unknown,No,https://t.me/+79518055411,https://vk.com/vek.pamytnyk,
4538,Памятники из гранита,,"ул. Калинина, 12, Миасс, Миасс",,,Миасс,,C,23,No,unknown,No,https://t.me/pamyatnikiizgranita,,
4526,Военно-мемориальная компания гранитная мастерская,73512697359; 73517965526; 73517900567; 79048148620,"Динамовское ш., 1, Миасс, Миасс",http://умк74.рф/,ofisumk@mail.ru; umk74rf@mail.ru,Миасс,,C,20,No,unknown,No,,,
4531,Камнедел,79507283850,"просп. Октября, 69, Миасс, Миасс",,,Миасс,,C,20,No,unknown,No,https://t.me/+79507283850,,
4533,Магазин ритуальных товаров,79226398676,"просп. Автозаводцев, 16, Миасс, Миасс",,,Миасс,,C,20,No,unknown,No,https://t.me/+79226398676,,
4532,Реквием,,"ул. Ленина, 17, Миасс, Миасс",,,Миасс,,D,5,No,unknown,No,,,
4534,Асгард,,"Челябинская область, Миасс, Южное кладбище, Миасс",,,Миасс,,D,5,No,unknown,No,,,
4536,Мастерская по изготовления памятников,,"Волгоградская ул., 59, Миасс, Миасс",,,Миасс,,D,5,No,unknown,No,,,
4537,Памятники из мрамора,,"просп. Макеева, 12, Миасс, Миасс",,,Миасс,,D,5,No,unknown,No,,,
