id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4669,Муринское Кладбище,79219527069; 79817737874; 79219069843; 79214274444,"Ленинградская область, Всеволожский район, Токсовское городское поселение, городской посёлок Токсово, Токсовское кладбище, Мурино",https://spb.pamyatniki.one/,spb@pamyatniki.one,Мурино,,A,53,Yes,unknown,No,https://t.me/pamyatnikione,https://vk.com/47granit,https://api.whatsapp.com/send?phone=798177378740901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4677,pamyatniki-na-mogilu-spb.ru,78129246727; 79817199420,"г. 
 
 
 
 
 
 
 Татьяна Михайловна 
 22",https://pamyatniki-na-mogilu-spb.ru/,ebxf.xnzra@lnaqrk.eh; roks.kamen@yandex.ru,Мурино,,A,48,Yes,unknown,Yes,https://t.me/+79817199420,https://vk.com/pamyatniki_na_mogilu_v_spb,
4671,МКУ Специализированная служба в сфере погребения и похоронного дела,79219009627; 74537000000,"Ленинградская область, Всеволожский район, Кузьмоловское городское поселение, Кузьмоловское кладбище, Мурино",https://kuzmolovskoe.ru/,info@kuzmolovskoe.ru; info@188.225.38.230,Мурино,,A,45,No,bitrix,No,https://t.me/+79219009627,https://vk.com/kuzmolovskoe,
4670,МБР-Гранит,79219376901; 79219697057,"Ленинградская область, Всеволожский район, Муринское городское поселение, производственная зона Мурино, Центральный проезд, 50, Мурино",https://mbr-granit.ru/,mbr-granit@yandex.ru,Мурино,,A,43,Yes,wordpress,No,https://t.me/+79219376901,,
4679,Organization,78124267070; 78123892833; 70281002000; 74537452510; 70281080350,,https://ritualgranit.ru/,spb@rosritualservice.ru; pmk-granit@yandex.ru,Мурино,,B,35,Yes,opencart,No,https://t.me/+78124267070,,
4678,murino.granite-mansur.ru,74958470123; 79000000000,,https://murino.granite-mansur.ru/,info@granite-mansur.ru; info@mansur-granite.ru; info@mansurovskiy-granite.ru,Мурино,,B,33,No,wordpress,No,https://t.me/+74958470123,,
4681,granmaster.su,79816853862,,https://granmaster.su/,,Мурино,,B,33,No,wordpress,No,https://t.me/+79816853862,,https://api.whatsapp.com/send?phone=79816853862
4672,Вечность,78129736526; 78126034786,"Ленинградское ш., 51, д. Кузьмолово, Мурино",https://ritualvechnostspb.ru/,ritualvechnost@gmail.com; ritualvechnostspb@gmail.com,Мурино,,B,30,No,unknown,No,https://t.me/+78129736526,https://vk.com/ritualvechnostspb,
4674,Токсовское кладбище,79111388512,"Ленинградская область, Всеволожский район, Токсовское городское поселение, городской посёлок Токсово, Токсовское кладбище, Мурино",https://toksovo-lo.ru/,toxovoadmin@mail.ru; sdtoxovo@mail.ru,Мурино,,B,30,No,unknown,No,https://t.me/+79111388512,,
4680,diz-servis.ru,,"г. Мурино , ул. Лесная",https://diz-servis.ru/,,Мурино,,C,15,Yes,unknown,No,,,
