id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4687,Гранит Мрамор,79190134900; 79209302816; 79209263524; 79209305811; 79209218050; 74923426275; 74923433052,"Владимирская область, округ Муром, муниципальное образование Ковардицкое, Муром",https://granit-mramor33.ru/,info@granit-mramor33.ru,Муром,,A,50,Yes,unknown,No,https://t.me/+79190134900,,https://api.whatsapp.com/send?phone=79190134900
4686,Журавлиный клин,79620888118; 79005811188,"ул. Крылова, 118, Муром, Муром",http://pamyatnik-murom.net.ru/,svetl.nik.s@yandex.ru,Муром,,A,48,No,wordpress,No,https://t.me/89620888118,https://vk.com/hochupravdu,https://api.whatsapp.com/send?phone=79620888118
4690,Центральная Похоронная Служба,78312304343; 78312002188,"ул. Войкова, 13А, Муром, Муром",https://gos-cps.ru/,cps_nn@mail.ru,Муром,,A,46,Yes,unknown,No,https://t.me/cps_nn52,,
4684,Ритуал-33,79290270104; 74923421882,"Юбилейная ул., 60, Муром, Муром",https://murom-ritual.ru/,ritual-33murom@yandex.ru; info@murom-ritual.ru,Муром,,A,45,No,unknown,No,https://t.me/+79290270104,,https://api.whatsapp.com/send?phone=792902701040901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4682,Салон Камня,79040354494,"Радиозаводское ш., 23ВК1, Муром, Муром",https://памятники33.рф/,skamnya@yandex.ru,Муром,,A,43,No,wordpress,No,https://t.me/+79040354494,,https://api.whatsapp.com/send?phone=79040354494
4683,Изготовление памятников и оград,79042544407; 74923438661; 79056492850,"Меленковская ул., 84, Муром, Муром",http://verba33.ru/,mail@verba33.ru,Муром,,B,35,No,unknown,No,https://t.me/+79042544407,https://vk.com/pamyatniki.murom,
4688,Светлая память,79048590079; 79612511221,"Владимирская обл., Муром г., ул. Пионерская, тер. автостоянки, Муром",http://pamyatnik-murom.ru/,pamyatnik.murom@yandex.ru; pamyatnik.muromv@yandex.ru,Муром,,B,35,No,unknown,No,https://t.me/+79048590079,,
4689,Монумент,79040336031; 74923430692,"ул. Льва Толстого, 13, Муром, Муром",http://muromstone.ru/,,Муром,,B,30,No,unknown,No,https://t.me/+79040336031,,
4691,Гранитная мастерская,79209197008,"Московская ул., 22, Муром, Муром",,,Муром,,B,30,No,unknown,No,https://t.me/+79209197008,https://vk.com/pamyatniki_murom,https://api.whatsapp.com/send?phone=79209197008
4700,2sp.me,74923431325; 79157627462,,https://2sp.me/,,Муром,,B,30,Yes,unknown,No,https://t.me/+74923431325,,
4692,Мемори Муром,79206216278; 79607228533,"Заводская ул., 16, Муром, Муром",,,Муром,,B,25,No,unknown,No,https://t.me/+79206216278,,
4693,Памятники,79190116678; 79004746693,"Привокзальная ул., 3, Муром, Муром",,,Муром,,B,25,No,unknown,No,https://t.me/+79190116678,,
4701,Ритуал,79157921426,,https://ritual33.su/,natalya.sheremeteva@list.ru,Муром,,B,25,No,unknown,No,https://t.me/+79157921426,,
4696,Цех фотокерамики,79051450796,"ул. Войкова, 10А, Муром, Муром",,,Муром,,C,20,No,unknown,No,https://t.me/+79051450796,,
4702,gruppaks.ru,,"г. Муром , ул. Центральная",https://gruppaks.ru/,,Муром,,C,15,Yes,unknown,No,,,
4697,Изделия из натурального камня,,"Владимирское ш., 16, Муром, Муром",,,Муром,,D,5,No,unknown,No,,,
4698,Магазин памятников,,"Московская ул., 121, Муром, Муром",,,Муром,,D,5,No,unknown,No,,,
4699,"Памятники, ограды",,"Нижегородская область, Государственный природный заказник регионального значения Навашинский, Муром",,,Муром,,D,5,No,unknown,No,,,
