id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4732,Ваш Ритуал,74951820288; 77237376879; 77460029278,"ул. Академика Каргина, 30, Мытищи, Мытищи",https://vash-ritual.ru/,info@vash-ritual.ru,Мытищи,,A,56,Yes,joomla,No,https://t.me/Vash_Ritual_Ru_Bot,,https://wa.me
4721,ГРАНИТНАЯ МАСТЕРСКАЯ №1 г.МЫТИЩИ - ИЗГОТОВЛЕНИЕ И ПРОДАЖА ...,74993904369; 79031690165; 79265465956; 79261690165; 74993253033; 79032359495,"Проектируемый пр. № 497, вл3с1, Мытищи, Мытищи",http://www.granitka-m.ru/,--rating@mail.ru; info@granitrus.ru; rating@mail.ru; info@granitka-m.ru,Мытищи,,A,50,Yes,unknown,No,https://t.me/89265465956,http://vk.com/public120139178,https://api.whatsapp.com/send?phone=892654659560901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4716,Ваятель,79675559988; 74991139308,"Волковское ш., с26, Мытищи, Мытищи",https://v-granit.ru/,top@v-granit.ru; info@v-granit.ru,Мытищи,,A,48,No,wordpress,No,https://t.me/telegram.im/@v_granit_office,https://vk.com/v_granit,https://api.whatsapp.com/send?phone=796755599880901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4717,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"МКАД, 91-й километр, вл1Б, Москва, Мытищи",http://www.grad-ex.ru/,,Мытищи,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=792544440000901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4718,Список организаций Moimytyshi.ru,79096457898; 79160234772; 74955880908; 79036237154; 79639798708; 74951283045,"г.
                     
 
 Средний рейтинг 
         3",https://moimytyshi.ru/,,Мытищи,,A,46,No,unknown,No,https://t.me/IrinaT635,https://vk.com/id718455206,https://api.whatsapp.com/send?phone=791602347720901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4722,Православная ритуальная служба,79854450999; 79854450909,"ул. Селезнёва, 32, стр. 1, Мытищи, Мытищи",http://m-pd.ru/,,Мытищи,,A,43,No,tilda,No,https://t.me/MytPokoj,,https://api.whatsapp.com/send?phone=798544509990901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4720,Назовите промокод GRANITpromo!,79998090562; 79998389734,"ул. Бояринова, 18, Мытищи, Мытищи",https://granit-divo.ru/,,Мытищи,,A,40,No,joomla,No,https://t.me/+79998090562,https://vk.com/divo_granit,https://api.whatsapp.com/send?phone=799980905620901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4740,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Волковское ш., вл20Ас2, Мытищи, Мытищи",https://pamyatniki.moscow/,info@pamyatniki.moscow,Мытищи,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
4723,PRO-монументы,79647722815; 77279637064; 76027000126,"Проектируемый пр. № 497, вл1с4, Мытищи, Мытищи",https://www.pro-monumenty.ru/,info@pro-monumenty.ru,Мытищи,,B,38,No,wordpress,No,https://t.me/+79647722815,https://vk.com/monumenty_ru,
4736,stela-art.ru,79253267703; 79851002060; 79773770008,"Волковское ш., с26А, Мытищи, Мытищи",https://stela-art.ru/,stela-art@ya.ru,Мытищи,,B,38,No,wordpress,No,https://t.me/+79253267703,https://vk.com/stelaartsp,
4724,Гранитная мастерская Равалт,74955810049; 74991104715; 79160407948; 74924421752; 70281030000,"Московская обл., Мытищи г., Волконское ш., стр. 20а, Волковское кладбище, Мытищи",https://ravalt.ru/,,Мытищи,,B,35,Yes,joomla,No,https://t.me/+74955810049,,
4729,РосПамятник,78127152228; 79944032828,"Шараповский пр., 3Д, Мытищи, Мытищи",https://rospamyatnik.ru/,rospamiatnik@mail.ru,Мытищи,,B,35,No,unknown,No,https://t.me/+79944032828,,
4731,Ритуальные услуги,79261408266; 79771354967; 79035518417; 79264079553; 79966215414; 79966125414,"Нагорная ул., 27, д. Коргашино, Мытищи",http://ritual-v.ru/,ritual-v@rambler.ru,Мытищи,,B,35,No,unknown,No,https://t.me/+79261408266,,
4733,Памятники,79605608820; 79051032497,"просп. Астрахова, 7, Мытищи, Мытищи",https://fotouslugi-prospekt-astrahova.clients.site/,,Мытищи,,B,35,Yes,unknown,No,https://t.me/+79605608820,,
4734,Авелия,79857840316; 74957840316,"Бородинская ул., 14, стр. 1, д. Ховрино, Мытищи",,,Мытищи,,B,35,No,unknown,No,https://t.me/+79857840316,https://vk.com/club214042570,https://api.whatsapp.com/send?phone=797760186240901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4741,Похороны Ритуал,74991136731; 78123854136; 74957218088,"Центральная ул., 31А, Мытищи, Мытищи",http://ritual-pohoroni.ru/,support@beget.com; manager@beget.com; bills@beget.com,Мытищи,,B,35,Yes,unknown,No,https://t.me/+74991136731,,
4748,Данила-Мастер,74991132525; 79022234935; 74957452726; 79201305838; 79022202052; 76270001630; 76040840298; 79201306095; 79201306102; 79201306101; 79250093760,,https://mytishchi.danila-master.ru/,mail@danila-master.ru; ilia.borisov@danila-master.ru; svetlana.pohodenko@danila-master.ru; ksenia.malyutina@danila-master.ru; elizaveta.hechiyan@danila-master.ru; dm-on-line@danila-master.ru; evgenia.belova@danila-master.ru; info@danila-master.ru,Мытищи,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=mytishchi,
4742,Центр изготовления памятников,74956451100; 79264442832,"Московская обл., Мытищи г., ул. Фрунзе, 13, Мытищи",,,Мытищи,,B,30,Yes,unknown,No,https://t.me/+74956451100,,
4725,Black-Granit,79037334863,"ул. Коминтерна, 15А, Мытищи, Мытищи",http://black-granit.ru/,,Мытищи,,B,25,No,unknown,No,https://t.me/+79037334863,,
4726,Монумент,79252338465,"Ярославское ш., вл. 31, Мытищи, Мытищи",,,Мытищи,,B,25,Yes,unknown,No,https://t.me/+79252338465,,
4727,Стелла,79998897592; 79998897591,"Московская область, Мытищи, улица Попова, Мытищи",,,Мытищи,,B,25,No,unknown,No,https://t.me/+79998897592,,
4728,Real Granite,79067424848; 79057224912,"Центральная ул., 75А, д. Пирогово, Мытищи",,,Мытищи,,B,25,No,unknown,No,https://t.me/+79067424848,https://vk.com/realgranite,
4730,Микс Гранит,79151990606,"Волковское ш., вл20Ас1, Мытищи, Мытищи",https://mixgranit.ru/,,Мытищи,,B,25,No,unknown,No,https://t.me/+79151990606,,
4735,Ритуал,74993807652,"Коммунистическая ул., 10, корп. 2, Мытищи, Мытищи",https://mytishchi-ritual.ru/,,Мытищи,,C,20,No,unknown,No,https://t.me/+74993807652,,
4745,Ритуальные услгуи. Похоронное бюро Антуриум,74957231244,"Московская обл., Мытищинский р-н, Мытищи, ул. Дзержинского, 23/2, Мытищи",,,Мытищи,,C,15,No,unknown,No,https://t.me/+74957231244,,
