id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4755,Ратуша мастерская по изготовлению памятников,79625598204; 78432050953; 78432407264; 78432401171; 78432593775; 78432589317; 78432593464; 78432534454; 78432587897; 78432592171; 78432589456; 71690000158,"Мензелинский тракт, 31А/1, Набережные Челны, Набережные Челны",https://ratusha-pamyatniki.ru/,zakaz-kp-ratusha@yandex.ru,Набережные Челны,,A,61,Yes,wordpress,Yes,https://t.me/ratushamanager_bot,https://vk.com/ratusha_pablic,https://api.whatsapp.com/send?phone=79625598204
4753,Миллениум,79172774551; 79046736469; 79867137574; 79375773012,"Республика Татарстан, Набережные Челны, Центральный район, Набережные Челны",https://www.миллениум16.рф/,millenium_ritual@mail.ru,Набережные Челны,,A,45,No,lpmotor,No,https://t.me/+79046736469,,https://api.whatsapp.com/send?phone=79867137574
4757,Память,79196968550; 79677731660; 79953830101; 79061165551,"Набережночелнинский просп., 10А, Набережные Челны, Набережные Челны",http://pamyat-ritual.ru/,pamyat116@mail.ru,Набережные Челны,,A,45,No,unknown,No,https://t.me/+79196968550,,https://api.whatsapp.com/send?phone=791969685500901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4754,Татгранит 2,79539987777; 79503229922,"Республика Татарстан, Набережные Челны, Мензелинский тракт, Набережные Челны",http://tatgranit.ru/,,Набережные Челны,,A,40,No,unknown,No,https://t.me/+79539987777,https://vk.com/tatgranit,https://api.whatsapp.com/send?phone=79503229922
4756,Центр ритуальных услуг Мемориал специализированный центр,78552366707; 79178723230; 79874014310,"ул. Комарова, 34/3, посёлок ЗЯБ, Набережные Челны, Набережные Челны",https://www.мемориал16.рф/,,Набережные Челны,,A,40,No,unknown,No,https://t.me/+78552366707,,https://api.whatsapp.com/send?phone=79874014310
4759,Камамрамор камнеобрабатывающее предприятие,79274618888; 79274018088,"Мензелинский тракт, 47, стр. 10, Набережные Челны, Набережные Челны",,,Набережные Челны,,A,40,Yes,unknown,No,https://t.me/+79274618888,,https://api.whatsapp.com/send?phone=79274618888
4763,ГрантТаш сеть ритуальных салонов,79872697609; 79172818609; 79870076724; 79869294827; 79172352550; 79061162243; 79046610535; 79297268107; 79274589933,"8, посёлок ГЭС, 10-й комплекс, Набережные Челны, Набережные Челны",http://www.granttash.ru/,,Набережные Челны,,A,40,No,bitrix,No,https://t.me/+79872697609,,
4784,Гранит памяти,79634714252,,https://naberezhnye-chelny.granit-pamyati.ru/,office@granit-pamyati.ru,Набережные Челны,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
4761,Похоронный дом НЧ,79274777377; 79178701116,"ул. Комарова, 34/2, посёлок ЗЯБ, Набережные Челны, Набережные Челны",https://ritual116.ru/,ritual116@list.ru,Набережные Челны,,B,35,No,unknown,No,https://t.me/+79274777377,,
4764,Мастерская камня Рахимова,78552588126; 79520324220,"просп. Чулман, 34А, Набережные Челны, Набережные Челны",https://memstudio.ru/,mail@memstudio.ru,Набережные Челны,,B,35,No,unknown,No,https://t.me/+78552588126,,
