id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4838,Тихая Обитель ритуальное агентство,79147089646; 79147085776; 74236775776; 79147095778; 79940199675,"Пограничная ул., 110В, Находка, Находка",http://uss-obitel.ru/,,Находка,,A,40,No,unknown,No,https://t.me/+79147089646,,https://api.whatsapp.com/send?phone=79147089646
4840,Вечность,74236775775,"Ленинградская ул., 7А, Находка, Находка",https://vechnost-leningradskaja-ulitsa.clients.site/,,Находка,,A,40,Yes,unknown,No,https://t.me/+74236775775,,https://api.whatsapp.com/send?phone=79147086557
4851,nahodka.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://nahodka.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Находка,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
4836,Бронза и Камень,79149752752; 79146681946; 79140774443; 74955173313; 79262184513; 79775038233,"ул. Луначарского, 23, Находка, Находка",http://pamyatnikov-izgotovlenie.ru/,info@pamyatnikov-izgotovlenie.ru; nahodka@pamyatnikov-izgotovlenie.ru,Находка,,B,38,No,wordpress,No,https://t.me/+79149752752,,
4837,Гранит-находка,79146726301; 79147348469,"Дальняя ул., 30, Находка, Находка",,,Находка,,B,35,No,unknown,No,https://t.me/+79146726301,,https://api.whatsapp.com/send?phone=79146726301
4842,Бюро специальных услуг,79143236883; 74236602404; 79147092404,"Минская ул., 11, Находка, Находка",,,Находка,,B,35,No,unknown,No,https://t.me/+79143236883,,https://api.whatsapp.com/send?phone=79143236883
4848,Ритуальный магазин Память,79149696206; 74232720778; 79146992122; 79143390802; 79149607003; 79147224543; 79147983990,"Находкинский просп., 12, Находка, Находка",https://nahodka.памятьдв.рф/,,Находка,,B,35,Yes,joomla,No,https://t.me/+79149696206,,
4853,marin-kamen.ru,79023024444; 78312100444; 79200306006,,https://marin-kamen.ru/,210-04-44@mail.ru,Находка,,B,35,Yes,unknown,No,https://t.me/+79200306006,https://vk.com/marin.kamen,
4843,Два ангела,79143498545,"ул. Урицкого, 2/1, Находка, Находка",,,Находка,,B,30,No,unknown,No,https://t.me/+79143498545,,https://api.whatsapp.com/send?phone=79143498545
4839,Каменный цветок ритуальное агентство,74236628457,"Минская ул., 11А, Находка, Находка",http://каменныйцветокинфо.рф/,,Находка,,B,25,No,unknown,No,https://t.me/+74236628457,,
4844,Арт-габбро компания по благоустройству мест захоронения,79147093350,"Кедровая ул., 1А, коттеджный посёлок Кедр, Находка, Находка",,,Находка,,C,20,No,unknown,No,https://t.me/+79147093350,,
4847,Стикс и Ко ритуальное агентство,74236772185,"ул. Дзержинского, 4А, Находка, Находка",,,Находка,,C,20,No,unknown,No,https://t.me/+74236772185,,
