id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4820,nalchik.bilkam.ru,73833830392; 73517009492,"г. Нальчик, ул. Мальбахова",https://nalchik.bilkam.ru/,sales@bilkam.ru,Нальчик,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
4813,Военно-мемориальная компания гранитная мастерская,78662440909; 79287162334; 79280131491; 79881060216; 79034159911; 79188770704; 79064626055; 79331111126,"просп. Шогенцукова, 29А, Нальчик, Нальчик",http://ritualkavkaz.ru/,,Нальчик,,A,45,Yes,unknown,No,https://t.me/+78662440909,,https://api.whatsapp.com/send?phone=792871623340901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4821,nalchik.xn--80apbncqgt0j.xn--p1ai,79185568320; 79892201077; 79882409747,,https://nalchik.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Нальчик,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
4815,Ермис,79287051195; 74959892621; 79287003220,"Кабардинская ул., 147, Нальчик, Нальчик",https://www.ermis.su/,,Нальчик,,B,35,Yes,unknown,No,https://t.me/+79287051195,,
4812,ИП Алексеева Т.А.,79187294052,"Кабардино-Балкарская Республика, Нальчик, район Затишье, улица Шарданова, Нальчик",https://pamjatniki-1695017403.clients.site/,,Нальчик,,B,30,Yes,unknown,No,https://t.me/+79187294052,,
4814,Гранит-м,79287080860; 79640403039,"Кабардино-Балкарская Республика, Чегемский район, село Нартан, Нальчик",https://89640403039.tt34.ru/,,Нальчик,,B,30,No,unknown,No,https://t.me/+79287080860,,
4822,muznachascenter.ru,79272209366; 79873590593,,http://muznachascenter.ru/,rating@mail.ru,Нальчик,,B,30,No,unknown,No,https://t.me/+79272209366,,
4816,Гранитная мастерская Арка,79289166700; 79280780700,"Кабардино-Балкарская Республика, Нальчик, курортный посёлок Вольный Аул, улица Мазлоева, Нальчик",,,Нальчик,,B,25,No,unknown,No,https://t.me/+79289166700,,
4818,Габбро,79287151519,"360000, Нальчик, ул. Кабардинская, 158, Нальчик",,,Нальчик,,C,20,No,unknown,No,https://t.me/+79287151519,,
4819,Хтб,79280848819,"Кабардино-Балкарская Республика, городской округ Нальчик, Мусульманское кладбище, Нальчик",,,Нальчик,,C,20,No,unknown,No,https://t.me/+79280848819,,
