id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
4863,Небо,78652317199; 78652302405; 76296158638; 76296157651,"Степная ул., 70, Невинномысск, Невинномысск",https://nebo-pamyatniki.ru/,mail@example.com,Невинномысск,,A,64,Yes,unknown,Yes,https://t.me/nebo_odno_Stanislav,https://vk.com/nebo_stavropol,https://api.whatsapp.com/send?phone=79672117721
4861,Ритуалум,79182792792; 72375001374,"Крымский пер., 6, Невинномысск, Невинномысск",https://nevinnomyssk.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Невинномысск,,A,53,Yes,opencart,No,https://t.me/ritualum,https://vk.com/ritualum,https://api.whatsapp.com/send?phone=791827927920901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
4862,Дом камня,79283517457; 79620224488; 79260224488; 77624435710; 79887052203; 79887052016,"Комбинатская ул., 4В, Невинномысск, Невинномысск",https://www.domkamnay26.ru/,domkamnay26@mail.ru,Невинномысск,,A,51,No,wordpress,No,https://t.me/domkamnya26,,https://api.whatsapp.com/send?phone=79283517457
4864,Доверие,79283284855; 79283165595,"бул. Мира, 21/1, Невинномысск, Невинномысск",https://похоронныйдомдоверие.рф/,doverie-rit@yandex.ru,Невинномысск,,A,51,No,wordpress,No,https://t.me/doveriedom,,https://api.whatsapp.com/send?phone=79283284855
4879,Небо Одно,79034082307,"г. Невинномысск, Степная 70",https://nevinnomyssk.nebo-odno.ru/,op.nebo1@gmail.com,Невинномысск,,A,49,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
4865,Изготовление Памятников,79881118548; 79282510422,"Шоссейная ул., 95И, Невинномысск, Невинномысск",http://stn-ug.ru/,,Невинномысск,,A,43,No,wordpress,No,https://t.me/http://stn-ug.ru/,,https://api.whatsapp.com/send?phone=79881118548
4869,Мир Памяти Ритуальное агентство,79618559078; 79892201077; 79882409747; 79618555089,"Крымский пер., 6, Невинномысск, Невинномысск",https://nevinnomyssk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Невинномысск,,A,43,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
4880,nevinnomyssk.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Невинномысск, ул. Калинина",https://nevinnomyssk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Невинномысск,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
4871,Похоронный дом Ритуал 26,79283688585; 78993590457,"Водопроводная ул., 357, Невинномысск, Невинномысск",https://pohoronnyj-dom-ritual-26.clients.site/,,Невинномысск,,B,35,Yes,unknown,No,https://t.me/+79283688585,,
4870,Ритуальные услуги,79197560134; 79282642433,"Революционная ул., 159, Невинномысск, Невинномысск",,,Невинномысск,,B,25,No,unknown,No,https://t.me/89283630926,,
4878,"Памятники, ИП",79283442692; 79283592868,"357111, Ставропольский край, Невинномысск г., ул. Шоссейная, 95и, Невинномысск",,,Невинномысск,,B,25,No,unknown,No,https://t.me/+79283442692,,
4866,"Изделия из камня, надгробия",79283090090,"ул. Дунаевского, 11, Невинномысск, Невинномысск",,,Невинномысск,,C,20,No,unknown,No,https://t.me/+79283090090,,
4867,Обелиск,79283235188,"ул. Менделеева, 53, Невинномысск, Невинномысск",,,Невинномысск,,C,20,No,unknown,No,https://t.me/+79283235188,,
4873,Памятники альбатрос,79289293100,"Ставропольский край, Невинномысск, ул. Зои Космодемьянской, 1, Невинномысск",,,Невинномысск,,C,20,No,unknown,No,https://t.me/+79289293100,,
4875,Городской ритуальный салон,79624455575,"ул. Менделеева, 40, Невинномысск, Невинномысск",,,Невинномысск,,C,20,No,unknown,No,https://t.me/+79624455575,,
4868,Ритуал,,"ул. Фрунзе, 222А, Невинномысск, Невинномысск",,,Невинномысск,,D,5,No,unknown,No,,,
4872,Памятники,,"Революционная ул., 28/1, село Ивановское, Невинномысск",,,Невинномысск,,D,5,No,unknown,No,,,
4874,Мир камня,,"Комбинатская ул., 2АК3, Невинномысск, Невинномысск",,,Невинномысск,,D,5,No,unknown,No,,,
