id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5020,Наше производство,73833830392; 73517015836; 73517009492,"г. Нижневартовск, ул. Индустриальная",https://nizhnevartovsk.bilkam.ru/,sales@bilkam.ru,Нижневартовск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
5003,Гранит-Премиум,73466699688; 79825553303; 79825553330,"Ханты-Мансийский автономный округ, городской округ Нижневартовск, аэропорт Нижневартовск имени В.И. Муравленко, Нижневартовск терминал 1, Нижневартовск",https://premiumgranit86.ru/,evs85@inbox.ru,Нижневартовск,,A,45,No,unknown,No,https://t.me/+73466699688,,https://api.whatsapp.com/send?phone=79825553330
5006,Белый ангел,79044567777; 79822222298; 79224336700,"ул. 2П-2, 1, Нижневартовск, Нижневартовск",,,Нижневартовск,,A,40,Yes,unknown,No,https://t.me/+79044567777,,https://api.whatsapp.com/send?phone=79044567777
5019,nizhnevartovsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://nizhnevartovsk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Нижневартовск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5022,Данила-Мастер,79022234935; 79022202052,"г. Нижневартовск, ул. Индустриальная",https://nizhnevartovsk.danila-master.ru/,info@danila-master.ru; mail@danila-master.ru; dm-on-line@danila-master.ru,Нижневартовск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=nizhnevartovsk,
5015,Студия камня,79028539429; 73466539429,"ул. Лопарева, 125А, Нижневартовск, Нижневартовск",http://stone-nv.ru/,graver-nv@yandex.ru,Нижневартовск,,B,38,No,wordpress,No,https://t.me/+79028539429,,
5017,pamyatniki-stone.ru,79037917331; 79089323676,,https://n-vartovsk.pamyatniki-stone.ru/,932-36-76info@pamyatniki-stone.ru; n-vartovsk@pamyatniki-stone.ru,Нижневартовск,,B,35,Yes,unknown,No,https://t.me/+79037917331,,
5004,Обелиск,79821570769,"Нижневартовск, садово-огородническое некоммерческое товарищество Сибирские Черёмушки, 54, Нижневартовск",,,Нижневартовск,,B,30,No,unknown,No,https://t.me/+79821570769,,https://api.whatsapp.com/send?phone=79821570769
5021,xn--80apmglwl.xn--p1ai,79044670001,,https://www.xn--80apmglwl.xn--p1ai/,rating@mail.ru,Нижневартовск,,B,30,Yes,unknown,No,https://t.me/+79044670001,,
5005,Единый ритуальный центр,79634520738,"Зимняя ул., 9, стр. 4, Нижневартовск, Нижневартовск",https://erc86.ru/,,Нижневартовск,,B,25,No,unknown,No,https://t.me/+79634520738,,
5008,Мастерская по изготовлению памятников Вечность,79048708595; 73466547021,"ул. Балыкина, 9, стр. 1, п. г. т. Излучинск, Нижневартовск",,,Нижневартовск,,B,25,No,unknown,No,https://t.me/+79048708595,,
5011,Доверие,73466235932; 79080000439; 79225772200,"Омская ул., 13А, Нижневартовск, Нижневартовск",,,Нижневартовск,,B,25,No,unknown,No,https://t.me/+73466235932,,
5018,О компании,79825377389,,https://granite-nv.ru/,granit-nv@yandex.ru; rating@mail.ru,Нижневартовск,,B,25,No,unknown,No,https://t.me/+79825377389,,
5012,Алмаз,73466503333,"ул. Лопарева, 41, Нижневартовск, Россия, Нижневартовск",,,Нижневартовск,,C,20,No,unknown,No,https://t.me/+73466503333,,
5016,Гранит,73466277389,"Ханты-Мансийский АО, Нижневартовский р-н, Нижневартовск г., ул. Интернациональная, 30, Нижневартовск",,,Нижневартовск,,C,20,No,unknown,No,https://t.me/+73466277389,,
