id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5116,Ритуальный,73435343443; 73435343405; 79126660201; 79658301194; 73435421522; 79122346677,"Краснознамённая ул., 77, стр. 4, Нижний Тагил, Нижний Тагил",https://копи-ритуал.рф/,info@yoursite.com; ooo.kopy@mail.ru,Нижний Тагил,,A,48,No,wordpress,No,https://t.me/79126660201,https://vk.com/oookopy,https://api.whatsapp.com/send?phone=73435343443
5122,Успение православная похоронная служба,79025834754; 73435424929; 73435370999; 79097039355; 79002049367; 79536056693; 79097037873; 79667079864; 79049881812; 79097037877,"Вогульская ул., 58, Нижний Тагил, Нижний Тагил",https://uspenie-nt.ru/,uspenie-tagil@yandex.ru,Нижний Тагил,,A,48,No,tilda,No,https://t.me/+79536056693,https://vk.com/club176683622,https://api.whatsapp.com/send?phone=79536056693
5118,ritual-econom.ru,79965975677; 79221583717,"Краснознамённая ул., 31, Нижний Тагил, Нижний Тагил",https://ritual-econom.ru/,ritual-econom@mail.ru; %20ritual-econom@mail.ru,Нижний Тагил,,A,45,No,unknown,No,https://t.me/+79965975677,,https://api.whatsapp.com/send?phone=79221583717
5121,«Грань»,79506380501; 79502098144,"ул. Максима Горького, 28, Нижний Тагил, Нижний Тагил",https://gran-nt.ru/,vdgo66@yandex.ru; gran-tagil@yandex.ru,Нижний Тагил,,A,45,No,unknown,No,https://t.me/+79506380501,,https://api.whatsapp.com/send?phone=79502098144
5134,Военно-мемориальная компания гранитная мастерская,73435338312; 73438811077; 73432684659,"ул. Бажова, 4А, Нижний Тагил, Нижний Тагил",https://nizhnij-tagil.vmkural.ru/,referent@vmk-ural.ru,Нижний Тагил,,A,40,Yes,unknown,No,https://t.me/+73435338312,,
5147,Гранит памяти,79634714252,,https://nizhniy-tagil.granit-pamyati.ru/,office@granit-pamyati.ru,Нижний Тагил,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
5144,Память торговая фирма,73435422333; 79521487076,"ул. Челюскинцев, 36, Нижний Тагил, Нижний Тагил",http://память-нт.рф/,pamyat-nt96@mail.ru,Нижний Тагил,,B,38,No,wordpress,No,https://t.me/+73435422333,,
5119,Ритуальный комплекс «Реквием»,73435468833; 79089080093; 79002082565,"ул. Юности, 5, Нижний Тагил, Нижний Тагил",https://rekviemnt.ru/,rekviem468833@mail.ru,Нижний Тагил,,B,35,No,joomla,No,https://t.me/+73435468833,https://vk.com/rekviem_tagil,
5120,"Похоронный дом ""Обряд""",73435417600; 73435246633; 73435920080; 73435920040; 73435466697; 73435455045; 73435342929; 73435920060; 73435920050; 73435488451; 73435920016; 73434555016,"Краснознамённая ул., 36, Нижний Тагил, Нижний Тагил",https://obryad-nt.ru/,ntobryad@gmail.com,Нижний Тагил,,B,35,No,unknown,No,https://t.me/+73435417600,,
5124,Ритуал-Сервис,73435463358; 79022537769; 79012101966; 79506384035; 73435335027,"ул. Тельмана, 3, Нижний Тагил, Нижний Тагил",https://taplink.cc/,,Нижний Тагил,,B,35,Yes,unknown,No,https://t.me/+73435463358,,
