id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5395,Фабрика камня салон природного камня,78352755110; 78352755120; 78352308330; 78352755061; 79196550130; 79176642121; 79196502033; 79170677028,"Пионерская ул., 20А, Новочебоксарск, Новочебоксарск",https://www.fbk21.ru/,г.; info@fbk21.ru,Новочебоксарск,,A,53,Yes,unknown,No,https://t.me/fabrikakamnya21,http://vk.com/fabrikakamnya21,https://api.whatsapp.com/send?phone=79199724110
5400,Гранит памяти,79634714252,,https://novocheboksarsk.granit-pamyati.ru/,office@granit-pamyati.ru,Новочебоксарск,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
5401,novocheboksarsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://novocheboksarsk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Новочебоксарск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5394,Аллея памяти,78352379055; 79876657295; 78352379155; 78352383800; 79877359734; 79196624343,"ул. 10-й Пятилетки, 68, Новочебоксарск, Новочебоксарск",http://alleya-pamyati21.ru/,alleapamiti@gmail.com; alleapamati@gmail.com,Новочебоксарск,,B,35,No,unknown,No,https://t.me/+78352379055,https://vk.com/alleypamati,
5393,Память,78352275355; 78352311021; 78352380655; 78352299299,"Промышленная ул., 35, Новочебоксарск, Новочебоксарск",https://www.pamyat21.com/,,Новочебоксарск,,B,27,No,unknown,No,https://t.me/+78352275355,https://vk.com/pamyatniki21,
5396,Салон ритуальных услуг,79199724029,"Чувашская Республика — Чувашия, Новочебоксарск, Городское кладбище, Новочебоксарск",http://ritual21.ru/,,Новочебоксарск,,B,25,No,joomla,No,http://t.me/Arita2025bot,http://vk.com/grs_cheb21,
5397,Военно мемориальный комплекс гранитная мастерская,79176536731; 79177024258,"Коммунистическая ул., 30, Новочебоксарск, Новочебоксарск",,,Новочебоксарск,,B,25,No,unknown,No,https://t.me/+79176536731,,
5398,Аметист салон ритуальных услуг,78352483823; 78352774479,"ул. Винокурова, 48, Новочебоксарск, Новочебоксарск",,,Новочебоксарск,,B,25,No,unknown,No,https://t.me/+78352483823,,
5399,Каменный мир салон природного камня,78352481042; 79033578644; 78352491042,"Коммунистическая ул., 37, Новочебоксарск, Новочебоксарск",,,Новочебоксарск,,B,25,No,unknown,No,https://t.me/+78352481042,,
5392,Мастерская ретуши и гравировки Ангел,79083068106,"ул. Жени Крутовой, 22, Новочебоксарск, Новочебоксарск",,,Новочебоксарск,,C,23,No,unknown,No,https://t.me/workshop_angel,https://vk.com/club225109894,
