id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5405,granit-61.ru,79064185789,"Почтовый пер., 24, Новочеркасск, Новочеркасск",https://granit-61.ru/,sokolevich2012@gmail.com; granit-707@mail.ru; mail:granit-707@mail.ru,Новочеркасск,,A,45,Yes,unknown,No,https://t.me/+79064185789,https://vk.com/granit61,https://api.whatsapp.com/send?phone=79064185789
5402,novochek.amramor.ru,79613158422; 79185748363; 79183385330; 79186290332; 79189738322; 79189404270; 79180730828; 79183383362; 79528415672; 79180730850; 79885575543; 79182770942; 79892724015; 79186305780; 79182391767; 79180813132; 79189724809,"Ростовская область, Октябрьский район, Красюковское сельское поселение, хутор Яново-Грушевский, Горная улица, Новочеркасск",https://novochek.amramor.ru/,staroder@amramor.ru; novochek@amramor.ru; kanevskaya@amramor.ru; chelbasskaya@amramor.ru; novoshahtinsk@amramor.ru; vyselki@amramor.ru; kamenolomni@amramor.ru; leningrad@amramor.ru; novominskaya@amramor.ru; yanovka@amramor.ru; shahty@amramor.ru; oktyabrskaya@amramor.ru; <script; pavlovskaya@amramor.ru; starominskaya@amramor.ru; kushchevskaya@amramor.ru,Новочеркасск,,A,40,Yes,unknown,No,https://t.me/tehpoddershkak_bot,https://vk.com/p.novocherkask,
5403,Надгробные памятники Этерника,79885753080; 79525745416; 79044474795,"ул. Ростовский Выезд, 58, Новочеркасск, Новочеркасск",http://www.этерника-памятники.рф/,,Новочеркасск,,A,40,No,unknown,No,https://t.me/+79885753080,,https://api.whatsapp.com/send?phone=79885753080
5418,novocherkassk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://novocherkassk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Новочеркасск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5421,Данила-Мастер,78633082459; 79022234935; 79022202052; 76270002825; 76030120290; 79201304980,"г Ярославль, ул 6",https://novocherkassk.danila-master.ru/,mail@danila-master.ru; galina.savvidi@danila-master.ru; victoria.kanadyuk@danila-master.ru; dm-on-line@danila-master.ru; info@danila-master.ru,Новочеркасск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=novocherkassk,
5406,Памятники,79604557238; 79515052112,"Платовский просп., 120/49, Новочеркасск, Новочеркасск",http://donmonolit.ru/,,Новочеркасск,,B,35,Yes,unknown,No,https://t.me/+79604557238,,
5417,novocherkassk.xn--80apbncqgt0j.xn--p1ai,78633225045; 79185568320; 79892201077; 79882409747,,https://novocherkassk.xn--80apbncqgt0j.xn--p1ai/,,Новочеркасск,,B,33,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
5404,Военно-мемориальная компания гранитная мастерская,78635221570,"Московская ул., 70, Новочеркасск, Новочеркасск",https://www.vmkros.ru/,,Новочеркасск,,B,30,Yes,unknown,No,https://t.me/+78635221570,https://vk.com/novochgrad,
5407,2sp.me,79043473002,"Сарматская ул., 132, Новочеркасск, Новочеркасск",https://2sp.me/,,Новочеркасск,,B,30,Yes,unknown,No,https://t.me/+79043473002,,
5414,Изготовление памятников,79895523499,"ул. Ростовский Выезд, 60, Новочеркасск, Новочеркасск",https://заказ-памятников.рф/,,Новочеркасск,,B,30,Yes,unknown,No,https://t.me/+79895523499,,
5409,Память,79952900555,"Сарматская ул., 272, Новочеркасск, Новочеркасск",,,Новочеркасск,,C,20,No,unknown,No,https://t.me/+79952900555,,
5410,Ритуал,79281316890,"ул. Орджоникидзе, 51, Новочеркасск, Новочеркасск",,,Новочеркасск,,C,20,No,unknown,No,https://t.me/+79281316890,,
5411,Памятники в Новочеркасске,79508673606,"Энергетическая ул., 3, Новочеркасск, Новочеркасск",,,Новочеркасск,,C,20,No,unknown,No,https://t.me/+79508673606,,
5412,Мемориальная компания,79514990949,"просп. Ермака, 115, Новочеркасск, Новочеркасск",,,Новочеркасск,,C,20,No,unknown,No,https://t.me/+79514990949,,
5413,Памятник161.рф,79613020890,"Мастеровой спуск, 33, Новочеркасск, Новочеркасск",,,Новочеркасск,,C,20,No,unknown,No,https://t.me/+79613020890,,
5415,Ритуальные услуги,79281972209,"Колхозная ул., 20А, станица Мишкинская, Новочеркасск",,,Новочеркасск,,C,20,No,unknown,No,https://t.me/+79281972209,,
