id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5237,Небо Одно,79097535050,,https://novokubansk.nebo-odno.ru/,op.nebo1@gmail.com,Новокубанск,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
5239,novokubansk.xn--80apbncqgt0j.xn--p1ai,79892201077; 79882409747; 79618559078; 79618555089,,https://novokubansk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Новокубанск,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
5240,"Мастерская ""Камень памяти""",79180200986; 79824811620,,https://novokubansk.memorygranit.ru/,memorygranit@mail.ru,Новокубанск,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
5241,bykov23.ru,79181440680; 79181142874; 79189641004,,https://bykov23.ru/,ritualbykov@yandex.ru,Новокубанск,,B,38,Yes,wordpress,No,https://t.me/+79181440680,,
5242,monument23.ru,79181555554; 79821903475,,https://monument23.ru/,monymentbelora@mail.ru,Новокубанск,,B,38,Yes,wordpress,No,https://t.me/+79181555554,,
5238,monument-stone.ru,79184455026,,https://monument-stone.ru/,maik.24.04.1990@mail.ru; Maik.24.04.1990@mail.ru,Новокубанск,,B,33,Yes,wordpress,No,https://t.me/+79184455026,,
5226,Ангел,79189982233,"Дачная ул., 91, СНТ Кубань, Новокубанск, Новокубанск",https://mrc-angel.ru/,,Новокубанск,,B,25,No,unknown,No,https://t.me/+79189982233,,
5227,Сохран компания по организации похорон,79181266871; 79181669316,"Киевская ул., 11/1, Новокубанск, Новокубанск",,,Новокубанск,,B,25,No,unknown,No,https://t.me/+79181266871,,
5236,Ритуальные услуги Велес,79649176895; 79183177750; 79182173076,"Краснодарский край, Новокубанское городское поселение, Новокубанское кладбище, Новокубанск",,,Новокубанск,,B,25,No,unknown,No,https://t.me/+79649176895,,
5225,Ритуал салон,79181715582,"Краснодарский край, Новокубанск, Новокубанск",,,Новокубанск,,C,20,No,unknown,No,https://t.me/+79181715582,,
5228,Велес бюро ритуальных услуг,79648974111,"Большевистская ул., 84, Новокубанск, Новокубанск",,,Новокубанск,,C,20,No,unknown,No,https://t.me/+79648974111,,
