id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5289,Гранит памяти,79677619153; 79649730369; 79634714252,"просп. Победы, 20, Новокуйбышевск, Новокуйбышевск",https://novokujbyshevsk.granit-pamyati.ru/,office@granit-pamyati.ru,Новокуйбышевск,,A,50,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati_samara,
5288,Дом-памяти,79016383088; 79171606575; 79372037998; 79297068677; 79376445221,"просп. Победы, 1Б, Новокуйбышевск, Новокуйбышевск",https://dom-pamjati163.clients.site/,,Новокуйбышевск,,A,45,Yes,unknown,No,https://t.me/+79376445221,https://vk.com/id353128715,https://api.whatsapp.com/send?phone=793764452210901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5287,Вечная Память салон памятников,79874585816,"Промышленная ул., 8Б, корп. 1, Новокуйбышевск, Новокуйбышевск",http://vp-ritual.ru/,info@vp-ritual.ru,Новокуйбышевск,,A,43,No,wordpress,No,https://t.me/+79874585816,,https://api.whatsapp.com/send?phone=79874585816
5286,Памятник,79371788353; 79277227727; 79879050002; 79371766668; 79371791966,"Самарская область, Новокуйбышевск, улица Ворошилова, Новокуйбышевск",http://granit63nsk.ru/,,Новокуйбышевск,,A,40,No,unknown,No,https://t.me/+79371788353,https://vk.com/pamyatnik163,https://api.whatsapp.com/send?phone=893717883530901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5299,novokuybyshevsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://novokuybyshevsk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Новокуйбышевск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5294,Rs Granit,79871523642,"ул. Горького, 43Б, Новокуйбышевск, Новокуйбышевск",,,Новокуйбышевск,,B,30,No,unknown,No,https://t.me/+79871523642,https://vk.com/rsgranit63,https://api.whatsapp.com/send?phone=798715236420901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5295,Гранититная мастерская,79277354527,"Промышленная ул., 8Б, корп. 1, Новокуйбышевск, Новокуйбышевск",,,Новокуйбышевск,,B,30,No,unknown,No,https://t.me/+79277354527,,https://api.whatsapp.com/send?phone=7792773545270901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5291,Rs гранит,79171046162; 79277221882,"Самарская область, Новокуйбышевск, Светлая улица, Новокуйбышевск",,,Новокуйбышевск,,B,25,No,unknown,No,https://t.me/+79171046162,https://vk.com/rsgranit,
5297,Радоница бюро ритуальных услуг,78463522727; 78463522407,"ул. Островского, 32, корп. 8, Новокуйбышевск, Новокуйбышевск",,,Новокуйбышевск,,B,25,No,unknown,No,https://t.me/+78463522727,,
5292,Мастерская по изготовлению памятников,79639133960,"ул. Карбышева, 28А, Новокуйбышевск, Новокуйбышевск",,,Новокуйбышевск,,C,20,No,unknown,No,https://t.me/+79639133960,,
5296,Изготовление памятников,79991712662,"Садовая ул., 8Б, Новокуйбышевск, Новокуйбышевск",,,Новокуйбышевск,,C,20,No,unknown,No,https://t.me/+79991712662,https://vk.com/pamyatnikinsk,
5298,Живой камень,79198006107,"443074, Самарская обл., Новокуйбышевск г., ул. Островского, 38, Новокуйбышевск",,,Новокуйбышевск,,C,20,No,unknown,No,https://t.me/+79198006107,,
