id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5252,Эдем компания ритуальных принадлежностей,79505790001; 73843600225; 79234640225; 79512225866; 79511680005; 79234854282,"Слесарная ул., 20/4, Новокузнецк, Новокузнецк",https://edem142.ru/,ofis@edem142.ru,Новокузнецк,,A,55,No,bitrix,No,https://t.me/+79505790001,,https://api.whatsapp.com/send?phone=79505790001
5245,Мемори Гранит,79385437982; 79133161111,"ул. Франкфурта, 18, Новокузнецк, Россия, Новокузнецк",https://granit142.turbo.site/,a89133161111@gmail.com,Новокузнецк,,A,50,Yes,opencart,No,https://t.me/+79385437982,https://vk.com/club174887234,https://api.whatsapp.com/send?phone=791331611110901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5282,novokuzneck.bilkam.ru,73833830392; 73517009492,"г. Новокузнецк, ул. Музейная",https://novokuzneck.bilkam.ru/,sales@bilkam.ru,Новокузнецк,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
5246,Арт-Камень42,79059012581; 73843910925; 79059616009,"ул. Циолковского, 8, Новокузнецк, Новокузнецк",https://art-kamen42.ru/,kamvek42@mail.ru,Новокузнецк,,A,48,No,wordpress,No,https://t.me/+79059616009,,https://api.whatsapp.com/send?phone=790596160090901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5254,Достойная память компания по изделиям из камня и благоустройству,73843608762; 79236108760,"Транспортная ул., 131, корп. 2, Новокузнецк, Новокузнецк",https://www.xn----7sbcfec9aephiuacczqdpeo.xn--p1ai/,,Новокузнецк,,A,46,No,tilda,No,https://t.me/pamyatno1,https://vk.com/pamyat_nk,https://api.whatsapp.com/send?phone=892361087600901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5244,Мастерская по изготовлению памятников и фотоовалов,79134008421; 73843360404; 79059168550,"Малоэтажная ул., 24, Новокузнецк, Новокузнецк",https://kyzoval.wixsite.com/,,Новокузнецк,,A,42,Yes,unknown,No,https://t.me/+79134008421,,https://api.whatsapp.com/send?phone=790591685500901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5247,Гранит-НК,79095180017; 79609111954; 79059618804; 79095189797,"Кирзаводская ул., 4/8А, Новокузнецк, Новокузнецк",http://granit-obelesk.ru/,,Новокузнецк,,A,40,No,unknown,No,https://t.me/+79095180017,,https://api.whatsapp.com/send?phone=790951800170901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5250,Омега агентство ритуальных услуг,73843735735; 73843609631; 79234649631; 79133179167; 79050782222; 73843700462,"ул. Орджоникидзе, 16, Новокузнецк, Новокузнецк",https://omega42.ru/,,Новокузнецк,,A,40,No,unknown,No,https://t.me/+73843735735,,https://api.whatsapp.com/send?phone=791331791670901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5270,Ветеранская Ритуальная Компания Кузбасса,73842594495; 79235216016,"Центральная ул., 15, село Атаманово, Новокузнецк",http://vrk-kuzbassa.ru/,vrk-kuzbassa@mail.ru,Новокузнецк,,A,40,Yes,unknown,No,https://t.me/+79235216016,,
5283,novokuzneck.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://novokuzneck.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Новокузнецк,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5285,Данила-Мастер,79022234935; 79022202052,"г. Новокузнецк, ул. Музейная",https://novokuznetsk.danila-master.ru/,info@danila-master.ru; mail@danila-master.ru; dm-on-line@danila-master.ru,Новокузнецк,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=novokuznetsk,
5259,Малахит торгово-производственная компания,79134332882; 79039416964,"Шахтостроевская ул., 12, посёлок городского типа Притомский, Новокузнецк, Новокузнецк",http://malahitnk.ru/,kuzia0772@mail.ru; #,Новокузнецк,,B,38,No,wordpress,No,https://t.me/+79134332882,,
5258,Ритуальное агентство Черная роза,79236239469; 79609337710,"Технический пр., 4, Новокузнецк, Новокузнецк",,,Новокузнецк,,B,35,No,unknown,No,https://t.me/+79236239469,,https://api.whatsapp.com/send?phone=792362394690901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5284,novokuzneck.rm-ryabina.ru,79785971717; 79885811717; 70172111195,,https://novokuzneck.rm-ryabina.ru/,rim-ryabina@yandex.ru,Новокузнецк,,B,35,Yes,unknown,No,https://t.me/+79785971717,,
5260,Новокузнецкое ритуальное бюро похоронный дом,73843331231; 73843738361; 73843738678; 73843454940; 73843742499,"Кемеровская область - Кузбасс, Новокузнецк, Центральный район, Новокузнецк",http://nrb-nk.ru/,,Новокузнецк,,B,33,No,wordpress,No,https://t.me/+73843331231,,
5257,Благоустройство могил,79069304640,"Слесарная ул., 7А/3, Новокузнецк, Новокузнецк",,,Новокузнецк,,B,30,No,unknown,No,https://t.me/+79069304640,,https://api.whatsapp.com/send?phone=79069304640
5272,Феникс,,"ул. Обнорского, 180/2, Новокузнецк, Новокузнецк",,,Новокузнецк,,B,26,No,unknown,No,https://t.me/feniks_ritual,,
5262,Дом камня Стелла,79059101098,"ул. Ленина, 144, Новокузнецк, Новокузнецк",,,Новокузнецк,,B,25,Yes,unknown,No,https://t.me/+79059101098,,
5263,Ангел социальное похоронное агентство,79609077939; 79030484445,"Вокзальная ул., 10, Новокузнецк, Новокузнецк",,,Новокузнецк,,B,25,No,unknown,No,https://t.me/+79609077939,,
5268,"Специализированная служба по вопросам похоронного дела, Новокузнецкий городской округ",73843747484; 73843743877; 73843910380,"Пионерский просп., 12, Новокузнецк, Новокузнецк",,,Новокузнецк,,B,25,No,unknown,No,https://t.me/+73843747484,,
5276,Мемориал,,"Кемеровская область - Кузбасс, Новокузнецк, улица Редаковский Подъём, Новокузнецк",,,Новокузнецк,,C,23,No,unknown,No,https://t.me/memorial_ritual,,
5279,Памятники из гранита,,"Шахтостроевская ул., 12, посёлок Притомский, Новокузнецк, Новокузнецк",,,Новокузнецк,,C,23,No,unknown,No,https://t.me/pamyatnikiizgranita,,
5266,Похоронная служба Курган,79236170444,"Промстроевская ул., 58А, Новокузнецк, Новокузнецк",,,Новокузнецк,,C,20,No,unknown,No,https://t.me/+79236170444,,
5269,Благоустройство могил в Новокузнецке,79236204789,"Слесарная ул., 7А/3, Новокузнецк, Новокузнецк",,,Новокузнецк,,C,20,No,unknown,No,https://t.me/+79236204789,,
5274,Ритуальная компания АК Таш,79515951155,"Технический пр., 17/2, Новокузнецк, Новокузнецк",,,Новокузнецк,,C,20,No,unknown,No,https://t.me/+79515951155,,
5275,Цех памятников,79515736460,"просп. Строителей, 7/9, Новокузнецк, Новокузнецк",,,Новокузнецк,,C,20,No,unknown,No,https://t.me/+79515736460,,
