id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5309,Н-Ритуал похоронная служба,79534424354; 79605955950; 74876282121; 74876270117; 71161164479,"Транспортная ул., 42А, Новомосковск, Новомосковск",https://nritual.ru/,info@nritual.ru,Новомосковск,,A,56,Yes,unknown,No,https://t.me/nritualru,https://vk.com/nritualru,https://api.whatsapp.com/send?phone=79605955950
5311,Ритуал 71,79202703225; 74872790780; 79964323717; 79202778062,"ул. Космонавтов, 35, Новомосковск, Новомосковск",https://ritual-71.ru/,Ritual71-Tula@yandex.ru; ritual71-tula@yandex.ru,Новомосковск,,A,56,Yes,wordpress,No,https://t.me/GBO_Ritual71,,https://api.whatsapp.com/send?phone=79964323717
5307,СТК мемориал ритуальный дом,79101613185; 79993749099,"Транспортная ул., 15, Новомосковск, Новомосковск",http://pamyatniki-tula.ru/,,Новомосковск,,A,55,Yes,bitrix,No,https://t.me/79101613185,https://vk.com/pamyatniki_tula,https://api.whatsapp.com/send?phone=79101613185
5314,Nkk Granite,79101530001,"Тульская область, муниципальное образование Новомосковск, Рига-Васильевское управление, Новомосковск",http://nkkgranite.ru/,nkkgranite@bk.ru; 153-00-01nkkgranite@bk.ru,Новомосковск,,A,49,No,tilda,No,https://t.me/nkkgranite,https://vk.com/rlmv7,https://api.whatsapp.com/send?phone=79101530001
5312,Гранитный двор торгово-производственная компания,79534293600; 79101500505; 74872770370,"ул. Садовского, 26, Новомосковск, Новомосковск",https://granita-dvor.ru/,granit_dvor@mail.ru,Новомосковск,,A,43,Yes,wordpress,No,https://t.me/+79534293600,http://vk.com/granita_dvor,
5322,Современные памятники,79622787978; 79066255937,"Рудничная ул., 11, Новомосковск, Новомосковск",,,Новомосковск,,A,40,Yes,unknown,No,https://t.me/79622787978,,https://api.whatsapp.com/send?phone=79622787978
5337,Данила-Мастер,74872740339; 79022234935; 79022202052; 76270006100; 76030741481; 79022205549; 79201305489,"г. Тула, ул. Советская",https://novomoskovsk.danila-master.ru/,mail@danila-master.ru; daria.kostrikina@danila-master.ru; irina.kirova@danila-master.ru; dm-on-line@danila-master.ru; info@danila-master.ru,Новомосковск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=novomoskovsk,
5338,novomoskovsk.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747,,https://novomoskovsk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Новомосковск,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
5308,Ритуал Сервис салон,79092632781,"ул. Пашанина, 1А, Новомосковск, Новомосковск",https://rs71.ru/,,Новомосковск,,B,35,No,unknown,No,https://t.me/+79092632781,,https://api.whatsapp.com/send?phone=79038423614
5313,Памятники от производителя,79691245484,"ул. Маяковского, 34Б, Новомосковск, Россия, Новомосковск",http://памятникиотпро.рф/,,Новомосковск,,B,35,No,unknown,No,https://t.me/+79691362047,,https://api.whatsapp.com/send?phone=79691362047
5320,Мастерская по изготовлению памятников,79051117614,"ул. Мира, 29А, Новомосковск, Новомосковск",,,Новомосковск,,B,35,Yes,unknown,No,https://t.me/+79051117614,,https://api.whatsapp.com/send?phone=79051117614
5321,niv71.ru,74876228340; 79207731518; 79207772563,"Техническая ул., 6Б, Новомосковск, Новомосковск",https://niv71.ru/,olesya_nsk82@mail.ru,Новомосковск,,B,35,No,unknown,No,https://t.me/+74876228340,,
5319,Стил Гранит,79030383333; 74876243630,"Новая ул., 33, Новомосковск, Новомосковск",http://www.stile-granit.ru/,,Новомосковск,,B,30,No,unknown,No,https://t.me/+79030383333,,
5323,Ритуал Спасское центр ритуальных услуг,79051158755; 74876290938; 79674312592,"ул. Горького, 11, микрорайон Сокольники, Новомосковск, Новомосковск",http://ритуал-спасское.рф/,,Новомосковск,,B,30,No,joomla,No,https://t.me/+79051158755,,
5329,Ритуальное городское бюро,79207999444; 74876225637; 79109437959,"ул. Трудовые Резервы, 37А, Новомосковск, Новомосковск",https://ritual911.ru/,,Новомосковск,,B,30,No,unknown,No,https://t.me/+79207999444,,
5335,pamyatniki-71.ru,79066276661; 71140221729,,https://pamyatniki-71.ru/,feniksr2@gmail.com,Новомосковск,,B,30,No,unknown,No,https://t.me/+79066276661,,
5317,Габбро,79622790001,"ул. Космонавтов, 1, Новомосковск, Новомосковск",,,Новомосковск,,C,20,No,unknown,No,https://t.me/+79622790001,,
5325,"Ритуал-сервис, агентство ритуальных услуг",79606100900,"ул. Гастелло, 2А, Новомосковск, Новомосковск",,,Новомосковск,,C,20,No,unknown,No,https://t.me/+79606100900,,
5330,Ритуал-сервис салон,74876240934,"ул. Мира, 1Б, Новомосковск, Новомосковск",,,Новомосковск,,C,20,No,unknown,No,https://t.me/+74876240934,,
5331,Ритуальные услуги,74876290701,"ул. Горького, 14, Новомосковск, Новомосковск",,,Новомосковск,,C,20,No,unknown,No,https://t.me/+74876290701,,
