id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5523,Монумент-нд,79014175487; 74959724607; 79015464607,"Можайское ш., 14В, Одинцово, Одинцово",https://monument-nd.ru/,monument-nd@bk.ru,Одинцово,,A,56,Yes,unknown,No,https://t.me/monument_nd,https://vk.com/monument_n,https://api.whatsapp.com/send?phone=7901546460709011800018905008052849649737095080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5531,Гранитная мастерская Еврогранит,74959721555; 79259251555; 79015461555; 70281014000,"Московская область, Одинцовский городской округ, территориальное управление Одинцово, Одинцово",http://eurogranit.ru/,info@eurogranit.ru,Одинцово,,A,50,Yes,unknown,No,https://t.me/+74959721555,https://vk.com/eurogranit,https://api.whatsapp.com/send?phone=9015461555
5520,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"Можайское ш., 26, Одинцово, Одинцово",https://www.grad-ex.ru/,,Одинцово,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5524,ГБУ Ритуальный центр,79772772427; 79266188188,"Северная ул., 62А, Одинцово, Одинцово",https://ritualodin.ru/,info@ritualodin.ru,Одинцово,,A,48,No,wordpress,No,https://t.me/+79772772427,,https://api.whatsapp.com/send?phone=79772772427
5525,GranitReal,79264082050; 74957446494,"Южная ул., 4, стр. 5, Одинцово, Одинцово",https://www.granitreal.ru/,granitreal@mail.ru,Одинцово,,A,48,No,wordpress,No,https://t.me/+79264082050,,https://api.whatsapp.com/send?phone=79264082050
5532,Екамень Офис продаж,79030009066; 74957866163; 79035003080,"143000, Московская обл., Одинцово г., ул. Свободы, 4, Одинцово",http://mastergranita.ru/,info@mastergranita.ru,Одинцово,,A,48,No,wordpress,No,https://t.me/+79030009066,http://vk.com/xxxxxbatikoxxxxx,https://api.whatsapp.com/send?phone=79035003080
5522,Московская память гранитная мастерская,79295232322; 74991132997; 74991135899,"Железнодорожная ул., 9, стр. 1, Одинцово, Одинцово",https://памятник-гранит.рф/,,Одинцово,,A,43,No,unknown,No,https://t.me/+7,,https://api.whatsapp.com/send?phone=79295232322
5521,Каменяр,79252001069,"Можайское ш., 66А, Одинцово, Одинцово",https://kamenyar.ru/,office@kamenyar.ru,Одинцово,,A,40,No,opencart,No,https://t.me/+79252001069,,https://api.whatsapp.com/send?phone=792520010690901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5544,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Можайское ш., 101А, стр. 1, Одинцово, Одинцово",https://pamyatniki.moscow/,info@pamyatniki.moscow,Одинцово,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
5527,Гранитная мастерская,79851998389,"Северная ул., 36А, Одинцово, Одинцово",https://xn-----7kcgcbbneasledd2akxofgfamcdbn2fl8kxl.xn--p1ai/,7649726@mail.ru,Одинцово,,B,33,No,wordpress,No,https://t.me/+79851998389,,
5528,Эталон-гранит,79167200033,"Акуловская ул., 23, стр. 1, Одинцово, Одинцово",,,Одинцово,,B,30,No,unknown,No,https://t.me/+79167200033,,https://api.whatsapp.com/send?phone=79167200033
5538,Гранитная мастерская на Союзной,79251481695,"Союзная ул., 1А, Одинцово, Одинцово",https://granitnaja-masterskaja-na.clients.site/,,Одинцово,,B,30,Yes,unknown,No,https://t.me/+79251481695,,
5547,Ритуал-PS,79651077687,"Россия, Московская область, Одинцовский городской округ, Одинцово",https://ritualps.ru/,,Одинцово,,B,30,Yes,unknown,No,https://t.me/+79651077687,,
5529,Югран,74992880437; 79777982587; 79777277388; 79777277055,"Западная ул., 21, Одинцово, Одинцово",,,Одинцово,,B,25,No,unknown,No,https://t.me/+74992880437,https://vk.com/ugran,
5533,Гранитная мастерская К. О. М,79037660525; 79057498310; 79685884474,"Московская обл., Одинцовский р-н, Одинцово г., ул. Интернациональная, 6, Одинцово",,,Одинцово,,B,25,No,unknown,No,https://t.me/+79037660525,,
5535,Гранитная мастерская Нижнее Ромашково,79161618416,"Центральная ул., 60, село Ромашково, Одинцово",,,Одинцово,,C,20,No,unknown,No,https://t.me/+79161618416,,
5542,Похороны Православные похоронный центр,74991133846,"бул. Маршала Крылова, 4, Одинцово, Одинцово",http://pohorony-odincovo.ru/,,Одинцово,,C,20,No,unknown,No,https://t.me/+74991133846,,
5546,Град-Экс,79654142000,"Московская обл., Одинцово г., бул. Любы Новоселовой, 6а, Одинцово",,,Одинцово,,C,20,No,unknown,No,https://t.me/+79654142000,,
5548,ruzvon.su,,"г 
 Личные вещи 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 0",https://ruzvon.su/,,Одинцово,,D,10,No,unknown,No,,https://vk.com/ruzvon_ru,
5536,СВ-Гранит,,"Можайское ш., 12, Одинцово, Одинцово",,,Одинцово,,D,5,No,unknown,No,,,
5537,Гарантия памяти,,"Союзная ул., 7Б, Одинцово, Одинцово",,,Одинцово,,D,5,No,unknown,No,,,
5539,Московия,,"ул. Маршала Бирюзова, 1, Одинцово, Одинцово",,,Одинцово,,D,5,No,unknown,No,,,
5540,Граверная мастерская,,"Северная ул., 36А, Одинцово, Одинцово",,,Одинцово,,D,5,No,unknown,No,,,
5543,Производственная компания изделий из камня,,"Можайское ш., 153В, Одинцово, Одинцово",,,Одинцово,,D,5,No,unknown,No,,,
