id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5674,pamyatnik56.ru,79058973686; 73537300686; 70460083783; 79058490011,"ул. Пацаева, 21, стр. 1, микрорайон Новый город, Орск, Орск",https://pamyatnik56.ru/,pamyatnik-56@yandex.ru,Орск,,A,53,Yes,opencart,No,https://t.me/pamyatnik56,https://vk.com/public213741089,https://api.whatsapp.com/send?phone=79058973686
5697,orsk.bilkam.ru,73833830392; 73517009492,"г. Орск, ул. Металлистов",https://orsk.bilkam.ru/,sales@bilkam.ru,Орск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
5673,Обелиск Сервис Орск Орский Проспект 2,73537402060; 73537210699; 73537308200; 73537375699; 73537303845; 73537323294,"просп. Ленина, 93, микрорайон Новый город, Орск, Россия, Орск",https://ritual-service56.ru/,,Орск,,A,48,Yes,unknown,No,https://t.me/obelisk_servis_orsk,https://vk.com/obelisk_orsk,https://api.whatsapp.com/send?phone=79058162383
5675,Ангел,73537337874; 79058477874; 79058966424; 73537326424; 79096010831,"ул. Станиславского, 52Б, корп. 13, микрорайон Новый город, Орск, Орск",http://ангел56.рф/,angel.orsk@mail.ru,Орск,,B,38,No,wordpress,No,https://t.me/+73537337874,https://vk.com/public117209408,
5679,Топаз,79619400270; 73537420270,"ул. Короленко, 68, микрорайон Новый город, Орск, Орск",,,Орск,,B,35,No,unknown,No,https://t.me/+79619400270,,https://api.whatsapp.com/send?phone=79619400270
5695,orsk.xn--80apbncqgt0j.xn--p1ai,73532980934; 79226209320,,https://orsk.xn--80apbncqgt0j.xn--p1ai/,,Орск,,B,33,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
5676,Гранит Стела,73537323732; 73537303747; 79058983747; 79058963732; 79176585897; 73537320090,"Оренбургская область, Орск, улица Металлистов, Орск",https://stela56.ru/,,Орск,,B,30,No,joomla,No,https://t.me/+73537323732,,
5678,Аура камня,79058183280,"ул. Петрашевцев, 4, микрорайон Старый город, Орск, Орск",,,Орск,,B,30,No,unknown,No,https://t.me/79058183280,,https://api.whatsapp.com/send?phone=79058183280
5684,Память,79058119775; 79228224662; 79501887705; 73537250521,"Фермерская ул., 38, поселок Новоорск, Орск",http://pamyat-56.ru/,,Орск,,B,30,No,unknown,No,https://t.me/+79058119775,,
5681,Ритуальные услуги Опыт,79228433086; 79225496782,"Фельдшерская ул., 8, поселок Центральная усадьба совхоз Новоорский, Орск",,,Орск,,B,25,No,unknown,No,https://t.me/+79228433086,,
5682,Осирис,79878541611; 73537324424,"Вяземская ул., 33, микрорайон Новый город, Орск, Орск",,,Орск,,B,25,No,unknown,No,https://t.me/+79878541611,,
5696,sov-kamen.ru,73537321605,,https://sov-kamen.ru/,sovkamen@yandex.ru; sov-kamen@yandex.ru,Орск,,B,25,No,unknown,No,https://t.me/+73537321605,,
5683,Вечность,79058452866,"Оренбургская область, Орск, Советский район, Орск",,,Орск,,C,20,No,unknown,No,https://t.me/+79058452866,,
5685,JS-art,73537314795,"ул. Менделеева, 5А, Орск, Орск",,,Орск,,C,20,No,unknown,No,https://t.me/+73537314795,,
5688,Гранит-центр,73537272485,"ул. Комарова, 12, корп. 2, микрорайон Новый город, Орск, Орск",,,Орск,,C,20,No,unknown,No,https://t.me/+73537272485,,
5691,Студия камня,73537422485,"Оренбургская обл., Орск, микрорайон Новый г., просп. Мира, 7, Орск",,,Орск,,C,20,No,unknown,No,https://t.me/+73537422485,,
5692,Мастерская Гранит,79878533921,"просп. Ленина, 132, микрорайон Новый город, Орск, Орск",,,Орск,,C,20,No,unknown,No,https://t.me/+79878533921,,
