id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5698,Ритуальные услуги в Орле,79155014500; 79155070707; 79102053383; 79107482198; 79102020207; 79538170333; 79102000015,"Орёл, Иоанно-Богословское кладбище, Орёл",http://www.kamencvet.ru/,kamencvet@mail.ru,Орёл,,A,61,Yes,wordpress,Yes,https://t.me/+79102053383?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%20%D0%AF%20%D1%81%20%D1%81%D0%B0%D0%B9%D1%82%D0%B0%20kamencvet.ru%2C%20%D1%85%D0%BE%D1%87%D1%83%20%D0%B7%D0%B0%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81...,https://vk.com/im/convo/1030903939?tab=all,https://api.whatsapp.com/send?phone=79107482198
5699,Наугорская мастерская,79004845557; 74862222012; 79022234935; 79022202052; 76270006100; 76030741481,"Орёл, Заводской район, квартал Стрела, Орёл",https://companyinform.ru/,info@danila-master.ru; mail@danila-master.ru; naugorcka@yandex.ru; k4-naugorcka@yandex.ru,Орёл,,A,50,Yes,unknown,No,https://t.me/+79004845557,http://vk.com/public129879234,https://api.whatsapp.com/send?phone=79606441172
5741,orel.bilkam.ru,73833830392; 73517009492,"г. Орел, ул. Михалицына",https://orel.bilkam.ru/,sales@bilkam.ru,Орёл,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
5705,Мир Габбро,79091309719; 79315211218; 79005272727; 79315211187,"Новосильская ул., 9, Орёл, Орёл",https://xn----7sbqkalkcjodut5p.xn--p1ai/,orel@mirgabbro.ru,Орёл,,A,48,No,wordpress,No,https://t.me/+79091309719,,https://api.whatsapp.com/send?phone=79005272727
5711,Вечность в камне,79300632636; 74862632636,"2-я Посадская ул., 4, Орёл, Орёл",https://vechnostvkamne.ru/,vechnost57@yandex.ru,Орёл,,A,48,No,wordpress,No,https://t.me/+79300632636,,https://api.whatsapp.com/send?phone=79300632636
5701,Ритуально-обрядовые услуги г. Орла,79103004111; 79004875773; 79208008020; 79107487742,"ул. 60-летия Октября, 14, Орёл, Орёл",https://ritualno-obrjadovye-uslugi-g.clients.site/,,Орёл,,A,45,Yes,unknown,No,https://t.me/+79103004111,https://vk.com/muprou,https://api.whatsapp.com/send?phone=79103004111
5703,Ритуально-похоронная компания,74862632084; 79103054808; 74862222084; 79584983815,"Карачевская ул., 126, Орёл, Орёл",https://www.online-pamyatnik.ru/,,Орёл,,A,40,No,unknown,No,https://t.me/+74862632084,,https://api.whatsapp.com/send?phone=79584983815
5704,Компания «Мемориал сервис»,74862426289; 79192032022; 79102002944; 79155023530; 79155021743; 79624774388,"ул. Маринченко, 20, Орёл, Орёл",https://memorial-orel.ru/,memorial_s@mail.ru,Орёл,,A,40,Yes,unknown,No,https://t.me/+74862426289,https://vk.com/id529473784,
5712,A & E Ritual,79051684045; 74862487484,"Элеваторный пер., 18, Орёл, Орёл",https://aeritual.ru/,,Орёл,,A,40,No,unknown,No,https://t.me/+79051684045,,https://api.whatsapp.com/send?phone=79051684045
5734,Ritual Agency,79662010281,"бул. Победы, 7, Орёл, Орёл",https://ritualagency.ru/,,Орёл,,A,40,Yes,unknown,No,https://t.me/+79669999000,,https://api.whatsapp.com/send?phone=79669999000
5740,oryol.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://oryol.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Орёл,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5742,oryol.rm-ryabina.ru,79785971717; 70172111195,"г. Орёл, ул. Максима",https://oryol.rm-ryabina.ru/,rim-ryabina@yandex.ru,Орёл,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
5710,Брут,79103089090; 74862489090; 79192688080,"ул. Сурена Шаумяна, 4, Орёл, Орёл",https://ritual-brut.ru/,ritual-brut57@mail.ru,Орёл,,B,38,No,wordpress,No,https://t.me/+79103089090,,
5713,Металлоизделия Металлоконструкции Орел,79538121155; 79616229697; 79536255331,"Черепичная ул., 24, Орёл, Орёл",http://metalloizdeliya57.ru/,orelmetal@gmail.com,Орёл,,B,38,No,wordpress,No,https://t.me/+79538121155,,
5706,Памятник 57,79155017738; 74229800020; 75200513737,"ул. Лескова, 18, Орёл, Орёл",https://памятник57.рф/,mailto:pamyatnik57@gmail.com; pamyatnik57@gmail.com,Орёл,,B,35,No,unknown,No,https://t.me/+79155017738,,
5708,Ритуальная Служба Города Орла,79107484870; 79992220212; 79208208020,"Московское ш., 5А, Орёл, Орёл",,,Орёл,,B,35,No,unknown,No,https://t.me/+79107484870,,https://api.whatsapp.com/send?phone=79107484870
5718,Память в камне,74862480102; 74862489996; 79103089996; 79624831085; 79208013382; 79536136968,"Садовая ул., 2, п. г. т. Знаменка, Орёл",,,Орёл,,B,35,No,unknown,No,https://t.me/+79103089996,https://vk.com/pamvkam57,https://api.whatsapp.com/send?phone=79103089996
5739,orel.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747,,https://orel.xn--80apbncqgt0j.xn--p1ai/,,Орёл,,B,33,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
5729,Гранитные памятники,,"Карачевское ш., 90А, Орёл, Орёл",,,Орёл,,B,30,No,unknown,No,https://t.me/89202804702,https://vk.com/id480503014,https://api.whatsapp.com/send?phone=79202804702
5725,МирикаФото,,"Орёл, улица Емлютина, Орёл",,,Орёл,,B,26,No,unknown,No,https://t.me/mirikafoto,,
5714,Вечная память,79300631116; 74862631116,"ул. Лескова, 18, Орёл, Орёл",,,Орёл,,B,25,No,unknown,No,https://t.me/+79300631116,,
5716,Карельские Мастерские,79155010500; 79107480102; 79103017620,"Орловская область, Орловский район, посёлок городского типа Знаменка, Садовая улица, Орёл",,,Орёл,,B,25,No,unknown,No,https://t.me/+79155010500,http://vk.com/pamyatniki_vorle,
5720,Магазин памятников,79202848336; 79536107276,"Карачевская ул., 31, Орёл, Орёл",,,Орёл,,B,25,No,unknown,No,https://t.me/+79202848336,,
5723,ИП Анищенко В. Б.,79208208820; 79192607973,"Интернатная ул., 54, д. Некрасовка, Орёл",,,Орёл,,B,25,No,unknown,No,https://t.me/+79208208820,,
5724,Магазин Ритуальных услуг,79536191910; 79536123430,"Мостовая ул., 25, Орёл, Орёл",,,Орёл,,B,25,No,unknown,No,https://t.me/+79536191910,,
5735,Все в Одном,79103023090; 79107476968,"Силикатный пер., 7Б, Орёл, Орёл",,,Орёл,,B,25,No,unknown,No,https://t.me/+79103023090,,
5721,Granite Premier,79103082708,"1-я Посадская ул., 33, Орёл, Орёл",,,Орёл,,C,20,No,unknown,No,https://t.me/+79103082708,,
5743,orel.ritualspravka.ru,,"г. Орёл, ул. Васильевская",http://orel.ritualspravka.ru/,,Орёл,,C,15,Yes,unknown,No,,https://vk.com/ritualspravka,
5719,Гранит,,"Маслозаводской пер., 29, Орёл, Орёл",http://pamyatniki-vorle.ru/,,Орёл,,D,10,No,unknown,No,,,
5726,Оптовая компания,,"Северная ул., 9, Орёл, Орёл",,,Орёл,,D,5,No,unknown,No,,,
5728,Ритуальные услуги,,"Орёл, Иоанно-Богословское кладбище, Орёл",,,Орёл,,D,5,No,unknown,No,,,
5730,Ритуальный салон,,"Ливенская ул., 26, Орёл, Орёл",,,Орёл,,D,5,No,unknown,No,,,
5731,"Памятники и ограды, благоустройство мест захоронений",,"Московское ш., 87, Орёл, Орёл",,,Орёл,,D,5,No,unknown,No,,https://vk.com/pamvkam57,
5732,Гранитная мастерская,,"Северная ул., 1, Орёл, Орёл",,,Орёл,,D,5,No,unknown,No,,,
5733,Компания по оказанию ритуальных услуг,,"1-я Посадская ул., 37, Орёл, Орёл",,,Орёл,,D,5,No,unknown,No,,,
