id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5698,Ритуальные услуги в Орле,79155014500; 79155070707; 79102053383; 79107482198; 79102020207; 79538170333; 79102000015,"Орёл, Иоанно-Богословское кладбище, Орёл",http://www.kamencvet.ru/,kamencvet@mail.ru,Орёл,,A,61,Yes,wordpress,Yes,https://t.me/+79102053383?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%20%D0%AF%20%D1%81%20%D1%81%D0%B0%D0%B9%D1%82%D0%B0%20kamencvet.ru%2C%20%D1%85%D0%BE%D1%87%D1%83%20%D0%B7%D0%B0%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81...,https://vk.com/im/convo/1030903939?tab=all,https://api.whatsapp.com/send?phone=79107482198
5699,Наугорская мастерская,79004845557; 74862222012; 79022234935; 79022202052; 76270006100; 76030741481,"Орёл, Заводской район, квартал Стрела, Орёл",https://companyinform.ru/,info@danila-master.ru; mail@danila-master.ru; naugorcka@yandex.ru; k4-naugorcka@yandex.ru,Орёл,,A,50,Yes,unknown,No,https://t.me/+79004845557,http://vk.com/public129879234,https://api.whatsapp.com/send?phone=79606441172
5741,orel.bilkam.ru,73833830392; 73517009492,"г. Орел, ул. Михалицына",https://orel.bilkam.ru/,sales@bilkam.ru,Орёл,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
5705,Мир Габбро,79091309719; 79315211218; 79005272727; 79315211187,"Новосильская ул., 9, Орёл, Орёл",https://xn----7sbqkalkcjodut5p.xn--p1ai/,orel@mirgabbro.ru,Орёл,,A,48,No,wordpress,No,https://t.me/+79091309719,,https://api.whatsapp.com/send?phone=79005272727
5711,Вечность в камне,79300632636; 74862632636,"2-я Посадская ул., 4, Орёл, Орёл",https://vechnostvkamne.ru/,vechnost57@yandex.ru,Орёл,,A,48,No,wordpress,No,https://t.me/+79300632636,,https://api.whatsapp.com/send?phone=79300632636
5701,Ритуально-обрядовые услуги г. Орла,79103004111; 79004875773; 79208008020; 79107487742,"ул. 60-летия Октября, 14, Орёл, Орёл",https://ritualno-obrjadovye-uslugi-g.clients.site/,,Орёл,,A,45,Yes,unknown,No,https://t.me/+79103004111,https://vk.com/muprou,https://api.whatsapp.com/send?phone=79103004111
5703,Ритуально-похоронная компания,74862632084; 79103054808; 74862222084; 79584983815,"Карачевская ул., 126, Орёл, Орёл",https://www.online-pamyatnik.ru/,,Орёл,,A,40,No,unknown,No,https://t.me/+74862632084,,https://api.whatsapp.com/send?phone=79584983815
5712,A & E Ritual,79051684045; 74862487484,"Элеваторный пер., 18, Орёл, Орёл",https://aeritual.ru/,,Орёл,,A,40,No,unknown,No,https://t.me/+79051684045,,https://api.whatsapp.com/send?phone=79051684045
5704,Компания «Мемориал сервис»,74862426289; 79192032022; 79102002944; 79155023530; 79155021743; 79624774388,"ул. Маринченко, 20, Орёл, Орёл",https://memorial-orel.ru/,memorial_s@mail.ru,Орёл,,A,40,Yes,unknown,No,https://t.me/+74862426289,https://vk.com/id529473784,
5734,Ritual Agency,79662010281,"бул. Победы, 7, Орёл, Орёл",https://ritualagency.ru/,,Орёл,,A,40,Yes,unknown,No,https://t.me/+79669999000,,https://api.whatsapp.com/send?phone=79669999000
5740,oryol.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://oryol.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Орёл,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
5742,oryol.rm-ryabina.ru,79785971717; 70172111195,"г. Орёл, ул. Максима",https://oryol.rm-ryabina.ru/,rim-ryabina@yandex.ru,Орёл,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
