id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5781,Горразнобыт-1,79270097700; 78466125566; 79276130498; 79939937452; 78466150255; 79024246055; 76313001076; 72614874855,"ул. Физкультурников, 6, Отрадный, Отрадный",https://gorraznobyt-1.clients.site/,,Отрадный,,A,51,Yes,unknown,No,https://t.me/Vechnost163,https://vk.com/rsvechnost,https://api.whatsapp.com/send?phone=79270097700
5778,ИП Колесников Сергей Ритуальная служба,79270018927; 79372090124,"ул. Сабирзянова, 1, Отрадный, Самарская обл., Россия, 446306, Отрадный",https://ritual-kolesnikov.business.site/,,Отрадный,,A,45,Yes,unknown,No,https://t.me/+79270018927,,https://api.whatsapp.com/send?phone=79372090124
5780,Память,79171602668; 78466153455; 79277680563,"ул. Нефтяников, 73Е, Отрадный, Отрадный",http://домкамня63.рф/,,Отрадный,,A,40,No,unknown,No,https://t.me/+79171602668,,https://api.whatsapp.com/send?phone=79171602668
5786,otradny.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Отрадный, ул. Орлова",https://otradny.rm-ryabina.ru/,rim-ryabina@yandex.ru,Отрадный,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
5790,Ритуалум Отрадная,79182792792; 72375001374,"г памятников 
 Резные 3",https://otradnaya.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Отрадный,,A,40,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
5789,Мемориальные доски,79892201077; 79882409747; 79618559078; 79618555089,,https://otradnaya.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Отрадный,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
5779,Home Decor,79879076976; 79229295203,"Самарская область, Отрадный, 3-я Промышленная зона, Отрадный",http://hd63.ru/,,Отрадный,,B,30,No,unknown,No,https://t.me/+79879076976,,
5788,pamyatniki-v-samare.ru,79879060086,,https://pamyatniki-v-samare.ru/,volga63granit@gmail.com,Отрадный,,B,25,No,unknown,No,https://t.me/+79879060086,,
5791,dagestan.online,79384045888,,https://dagestan.online/,,Отрадный,,B,25,Yes,unknown,No,https://t.me/+79384045888,https://vk.com/dagestan.only,
5783,Урал комплект,78466127137,"Самарская обл., Отрадный г., ул. Железнодорожная, 59, Отрадный",,,Отрадный,,C,20,No,unknown,No,https://t.me/+78466127137,,
