id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5877,Антиква,79312484523; 79006561144; 79006562595; 78071855273,"Стрельнинское ш., 4, д. Верхняя Колония, Петергоф",https://antikvaspb.ru/,info@antikvaspb.ru,Петергоф,,A,50,Yes,unknown,No,https://t.me/+79006562595,https://vk.com/antikvaspb,https://api.whatsapp.com/send?phone=796023919770901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5889,ДаВинчи,78125011283; 78126067643,,https://davincispb.ru/,--><!--; info@davincispb.ru,Петергоф,,A,50,Yes,bitrix,No,https://t.me/+79219260866,https://vk.com/davincispb_ru,https://api.whatsapp.com/send?phone=79219260866
5885,pamyatniki-na-mogilu-spb.ru,78129246727; 79817199420,"г. 
 
 
 
 
 
 
 Татьяна Михайловна 
 22",https://pamyatniki-na-mogilu-spb.ru/,ebxf.xnzra@lnaqrk.eh; roks.kamen@yandex.ru,Петергоф,,A,48,Yes,unknown,Yes,https://t.me/+79817199420,https://vk.com/pamyatniki_na_mogilu_v_spb,
5879,granit-services.ru,79213948221; 79516549520; 78129810293,"Санкт-Петербургский просп., 20Ж, Петергоф, Петергоф",https://granit-services.ru/,info@granit-services.ru; info@example.ru,Петергоф,,A,45,No,bitrix,No,https://t.me/+79213948221,,
5884,Фото на эмали,79522899900; 79500272824; 70400086090; 78191343069; 72771344811,"Петергофская ул., 6/1, Петергоф, Петергоф",https://foto-na-emali.clients.site/,,Петергоф,,A,45,Yes,unknown,No,https://t.me/+79522899900,https://vk.com/kopycenter_staryi_petergof,https://api.whatsapp.com/send?phone=795002728240901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5883,Похоронный дом,79219317595; 78124390543,"Бабигонское ш., 1, Петергоф, Петергоф",http://kron-pohoron.ru/,pohoronnoe.kron@gmail.com,Петергоф,,B,38,No,wordpress,No,https://t.me/+79219317595,,
5878,Ритуальное агентство,79216461161; 79626856473; 79643543353,"Санкт-Петербургский просп., 28, Петергоф, Петергоф",,,Петергоф,,B,35,No,unknown,No,https://t.me/+79216461161,https://vk.com/lomonosofpetergof,https://api.whatsapp.com/send?phone=79626856473
5890,Мастерская Рит-Гранит,79119244808; 79959974808,,https://memorispb.ru/,rit-granit@yandex.ru; m.rit-granit@yandex.ru,Петергоф,,B,35,Yes,unknown,No,https://t.me/+79119244808,https://vk.com/pamyatniki_spb,
5891,Данила-Мастер,78122411702; 79022234935; 79022202052; 76270000381; 76050132745; 79201304749,,https://petergof.danila-master.ru/,info@danila-master.ru; mail@danila-master.ru; marina.fedorcova@danila-master.ru; dm-on-line@danila-master.ru,Петергоф,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=petergof,
5876,Время,79110076003; 78123028878; 79215907540,"Ропшинское ш., 8В, Петергоф, Петергоф",https://время-ритуал.рф/,,Петергоф,,B,30,No,unknown,No,https://t.me/+79110076003,,
5886,Гранитная мастерская,79213559164; 78022544902; 78472930052,,http://lazarevgranit.ru/,lazarev-granit@yandex.ru,Петергоф,,B,30,No,unknown,No,https://t.me/+79213559164,,
5887,nevskiygranit.ru,79219318957,,https://nevskiygranit.ru/,spb.monolit@gmail.com; spb.monolit%40gmail.com,Петергоф,,B,28,No,flexbe,No,https://t.me/+79219318957,,
5880,Памятники и надгробия,79119000067,"ул. Свободы, 10, Красное Село, Петергоф",,,Петергоф,,C,20,No,unknown,No,https://t.me/+79119000067,,
5882,Изготовление памятников и надгробий,79219317822,"Бабигонское ш., 1, Петергоф, Петергоф",,,Петергоф,,C,20,No,unknown,No,https://t.me/+79219317822,,
5888,Топ-20 Гранитных Мастерских Санкт ... - Dtf,78126700742,,https://dtf.ru/,,Петергоф,,C,15,No,unknown,No,https://t.me/+78126700742,,
5881,Природный камень,,"Луговая ул., 3А, д. Велигонты, Петергоф",,,Петергоф,,D,5,No,unknown,No,,,
