id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
5974,Русгранит производственная компания,79326046677; 79041676670; 79326046670,"Совхозная ул., 14\3, Полевской, Полевской",http://rusgranit.com/,info@rusgranit.com,Полевской,,A,51,No,wordpress,No,https://t.me/RusgranitBot,https://vk.com/rusgranitural,https://api.whatsapp.com/send?phone=790416766700901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5994,granit-sorax.ru,79780161610; 79788940218; 79787203792; 79786922935; 79789474763; 79782587046; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79781181944; 79788578371,,https://granit-sorax.ru/,granitimramor.opt@mail.ru; granit-rost2000@mail.ru,Полевской,,A,51,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/granit_sorax,https://api.whatsapp.com/send?phone=79780161610
5975,Городской ритуальный центр,73435041222; 73435041200,"ул. Декабристов, 24Б, Полевской, Полевской",http://www.ritual-ural.ru/,pritual@yandex.ru,Полевской,,A,45,No,bitrix,No,https://t.me/+73435041222,https://vk.com/gorritcentr,
5976,Сигма,79126700120; 73435040999,"ул. Декабристов, 3, Полевской, Полевской",http://www.sigma2004.ru/,tk_sigma@mail.ru,Полевской,,A,45,No,joomla,No,https://t.me/+79126700120,https://vk.com/tksigma,https://api.whatsapp.com/send?phone=891267001200901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5977,Ритуал 077 Сервис,79221024292; 73435041130,"ул. Ильича, 78, Полевской, Полевской",https://ritual-center.ru/,,Полевской,,A,40,No,joomla,No,https://t.me/79221024292,,https://api.whatsapp.com/send?phone=792210242920901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5983,Стронг,79292130994,"ул. 40-летия Октября, 23, село Мраморское, Полевской",http://strong96.ru/,nms_81@bk.ru,Полевской,,A,40,No,unknown,No,https://t.me/+79292130994,https://vk.com/strong_mramor,https://api.whatsapp.com/send?phone=79292130994
5992,Данила-Мастер,73432264431; 79022234935; 79022202052; 76270002932; 76070150598; 79250963206,"г. Екатеринбург, ул. Советская",https://polevskoy.danila-master.ru/,gulnara.nurieva@danila-master.ru; info@danila-master.ru; mail@danila-master.ru; dm-on-line@danila-master.ru,Полевской,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=polevskoy,
5993,polevskoy.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Полевской, ул. Коммунистическая",https://polevskoy.rm-ryabina.ru/,rim-ryabina@yandex.ru,Полевской,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
5995,xn--80aampxk.xn--p1ai,79126750267,"г. Полевской, ул. Трубников",https://xn--80aampxk.xn--p1ai/,panaid96@yandex.ru,Полевской,,A,40,No,bitrix,No,https://t.me/+79126750267,,
5973,Эдельвейс,73435095058; 79221171519,"Полевской, территория Восточный Промышленный Район, 6/2, Полевской",http://edelweishop.ru/,mramor1519@mail.ru,Полевской,,B,38,No,tilda,No,https://t.me/+73435095058,https://vk.com/club191157748,
5988,ИП Уральский Мрамор,79045433784; 79126879557; 73435091619; 73435050453; 73435053021,"Свердловская обл., Полевской г., Мраморское с., ул. 40 лет Октября, 23а, Полевской",http://umramor.ru/,u-mramor@mail.ru,Полевской,,B,38,No,tilda,No,https://t.me/+79045433784,,
5984,Выставка Памятников,79122124983; 79530067748,"ул. Листопрокатчиков, 103Б, Полевской, Полевской",,,Полевской,,B,35,No,unknown,No,https://t.me/+79122124983,https://vk.com/monuments96,https://api.whatsapp.com/send?phone=791221249830901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5979,Изготовление памятников и надгробий,79505568414; 79089157301,"Совхозная ул., 14, Полевской, Полевской",http://памятники-полевской.рф/,,Полевской,,B,33,No,wordpress,No,https://t.me/+79505568414,,
5978,Памятники и надгробия,79221986448; 79506304503,"ул. Пятилетки, 61, Полевской, Полевской",https://памятники-в-полевском.рф/,,Полевской,,B,30,No,unknown,No,https://t.me/+79221986448,,
5981,Кянан-уральский Камень,79122222140,"Свердловская область, Полевской, территория Восточный Промышленный Район, Полевской",,,Полевской,,B,30,No,unknown,No,https://t.me/+79122222140,https://vk.com/fgadzhiev1985,https://api.whatsapp.com/send?phone=791222221400901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
5982,Мраморный цех,79024006127,"Садовая ул., 1/2, Полевской, Полевской",http://mramor96.ru/,,Полевской,,B,25,No,unknown,No,https://t.me/+79024006127,,
5987,Олива,79961711136; 73435041136,"Коммунистическая ул., 17, Полевской, Полевской",,,Полевской,,B,25,No,unknown,No,https://t.me/+79961711136,,
5980,Урал-мрамор.рф,79221219931,"ул. Ленина, 33А, Полевской, Полевской",,,Полевской,,C,20,No,unknown,No,https://t.me/+79221219931,,
5985,Стелла торгово-производственная фирма,79530011252,"Совхозная ул., 14/10, Полевской, Полевской",,,Полевской,,C,20,No,unknown,No,https://t.me/+79530011252,http://vk.com/tk_stella,
5986,K&k,79122825598,"Свердловская область, Полевской, Полевской",,,Полевской,,C,20,No,unknown,No,https://t.me/+79122825598,,
5989,Памятники,79502000283,"ул. Свердлова, 10А, Полевской, Полевской",,,Полевской,,C,20,No,unknown,No,https://t.me/+79502000283,,
5990,Ритуальный салон,73435024742,"ул. Калинина, 50, Полевской, Полевской",,,Полевской,,C,20,No,unknown,No,https://t.me/+73435024742,,
