id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6078,Светлая Память,79511895282,"просп. Ленина, 11, Прокопьевск, Прокопьевск",https://svetpam.tb.ru/,,Прокопьевск,,A,43,Yes,unknown,No,https://t.me/pamyatnikisvet,https://vk.com/svetlayapamyat42,https://api.whatsapp.com/send?phone=79511895282
6101,pamyat-naveka.ru,79609069647; 79505953087; 76960116919; 76960120369,г памятников             7,https://pamyat-naveka.ru/,,Прокопьевск,,A,41,Yes,tilda,No,https://t.me/stolyarovv69,https://vk.com/pamyatnaveka42,
6080,Ритуальный комплекс Реквием,73846625164; 79059020109,"ул. Петренко, 15А, Прокопьевск, Прокопьевск",https://www.625164.ru/,,Прокопьевск,,A,40,No,joomla,No,https://t.me/+79059020109,https://vk.com/pamytniki_625164,https://api.whatsapp.com/send?phone=790590201090901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
6098,prokopevsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://prokopevsk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Прокопьевск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
6099,prokopyevsk.rm-ryabina.ru,79785971717; 70172111195,"г. Прокопьевск, ул. Карла",https://prokopyevsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Прокопьевск,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
6103,Данила-Мастер,79022234935; 79022202052,"г. Прокопьевск, ул. Гайдара",https://prokopyevsk.danila-master.ru/,dm-on-line@danila-master.ru; info@danila-master.ru; mail@danila-master.ru,Прокопьевск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=prokopyevsk,
6081,Некрополь,79069201960; 79069201970; 79511821867; 79045708987; 79521714556,"Кемеровская область, Прокопьевский городской округ, Кладбище поселка Высокий, Прокопьевск",http://nekropolprok.com/,,Прокопьевск,,B,37,No,unknown,No,https://t.me/79521714556,,https://api.whatsapp.com/send?phone=795217145560901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
6079,Похоронное агентство Скорбь,79505769005; 79130740998; 79234770042; 79293515275; 79234726106,"ул. Мелиораторов, 10А, Прокопьевск, Прокопьевск",http://skorb42.ru/,Loik42@yandex.ru; loik42@yandex.ru,Прокопьевск,,B,35,No,unknown,No,https://t.me/+79505769005,,
6082,Сфинкс,79049940641; 79505748333,"просп. Гагарина, 37, Прокопьевск, Прокопьевск",http://sfinxcompany.wixsite.com/,,Прокопьевск,,B,32,Yes,unknown,No,https://t.me/+79049940641,,
6102,Ритуальные услуги,,,https://prokopevsk.nritual.ru/,,Прокопьевск,,B,31,Yes,unknown,No,https://t.me/nritualru,,
6100,Товары по категориям:,79505874574; 79049979933,,https://pamyatniki-prokopievsk.ru/,info@pamyatniki-prokopievsk.ru,Прокопьевск,,B,30,No,unknown,No,https://t.me/+79505874574,,
6085,Успенский похоронный дом,79515855857,"просп. Шахтёров, 1, корп. 10, Прокопьевск, Прокопьевск",http://uspenskiydom.ru/,,Прокопьевск,,B,25,No,unknown,No,https://t.me/+79515855857,,
6086,Похоронная служба Гранит,73846630830,"площадка Фрунзе, 17/1, Прокопьевск, Прокопьевск",http://granit-ps.ru/,,Прокопьевск,,B,25,No,unknown,No,https://t.me/+73846630830,,
6089,Похоронный дом Святой Грааль,79617075093; 79059155002,"ул. Есенина, 11, Прокопьевск, Прокопьевск",,,Прокопьевск,,B,25,No,unknown,No,https://t.me/+79617075093,,
6093,Стела,,"Институтская ул., 17, Прокопьевск, Прокопьевск",,,Прокопьевск,,C,23,No,unknown,No,https://t.me/stela_ritual,,
6083,Аверс-Н,79609038360,"Мельничная ул., 3, Прокопьевск, Прокопьевск",,,Прокопьевск,,C,20,No,unknown,No,https://t.me/+79609038360,,
6084,Свет,79133393059,"ул. Орджоникидзе, 3А, Прокопьевск, Прокопьевск",,,Прокопьевск,,C,20,No,unknown,No,https://t.me/+79133393059,,
6087,Мемориал ритуальная служба,79609165005,"ул. Кайгородова, 47, Прокопьевск, Прокопьевск",,,Прокопьевск,,C,20,No,unknown,No,https://t.me/+79609165005,,
6088,Базальт,79016151142,"Кемеровская область, Прокопьевский муниципальный округ, Прокопьевск",,,Прокопьевск,,C,20,No,unknown,No,https://t.me/+79016151142,,
6090,Гранит,79234649840,"Прокопьевская ул., 96, Прокопьевск, Прокопьевск",,,Прокопьевск,,C,20,No,unknown,No,https://t.me/+79234649840,,
6091,Память в камне,,"Сафоновский пер., 2, Прокопьевск, Прокопьевск",,,Прокопьевск,,D,5,No,unknown,No,,,
6092,Памятники,,"Кемеровская область — Кузбасс, Прокопьевский муниципальный округ, Прокопьевск",,,Прокопьевск,,D,5,No,unknown,No,,,
6094,"Бюро ритуальных услуг, Склад",,"Проспектная ул., 143, Прокопьевск, Прокопьевск",,,Прокопьевск,,D,5,No,unknown,No,,,
6095,Ритуал,,"Пионерская ул., 8А, Прокопьевск, Прокопьевск",,,Прокопьевск,,D,5,No,unknown,No,,,
6096,Ритуальный салон,,"Пионерская ул., 64, Прокопьевск, Прокопьевск",,,Прокопьевск,,D,5,No,unknown,No,,,
