id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6123,vsepamyatniki60.ru,79062231435; 79062241923; 79633375660,"ул. Максима Горького, 45, Псков, Псков",https://vsepamyatniki60.ru/,office@vsepamyatniki.ru; zakaz@vsepamyatniki.ru; pskov@vsepamyatniki.ru,Псков,,A,58,No,bitrix,No,https://t.me/+7-906-224-19-23,https://vk.com/vsepamyatniki,https://api.whatsapp.com/send?phone=79062241923
6126,Центр ритуальных услуг,79113746515; 78112747837; 78112296434,"Сосновая ул., 3, посёлок Корытово, Псков, Псков",https://pskov-ritual.ru/,mail@pskov-ritual.ru,Псков,,A,55,No,bitrix,No,https://t.me/+79113746515,,https://api.whatsapp.com/send?phone=79113746515
6125,taura2.ru,78112586440; 79212107467; 79113668936,"Октябрьский просп., 50, корп. 1, Псков, Псков",https://taura2.ru/,rating@mail.ru; --rating@mail.ru; maz27091989@gmail.com,Псков,,A,48,No,unknown,No,https://t.me/+7-911-3668936,,https://api.whatsapp.com/send?phone=79212107467
6128,Ветеран военно-ритуальная компания,79319024444; 78112611010; 78112601060; 79658122270,"ул. Яна Райниса, 46, Псков, Псков",https://veteran-ritual.ru/,ritmast@mail.ru,Псков,,A,48,No,unknown,No,https://t.me/vrkveteran,https://vk.com/veterapskov,https://api.whatsapp.com/send?phone=79319024444
6127,Мастерская ритуальных изделий,79113941281; 78112739520; 79212142970; 79319001013,"Гражданская ул., 10, Псков, Псков",https://ip-pivovarov-masterskay.clients.site/,,Псков,,A,45,Yes,unknown,No,https://t.me/личный,https://vk.com/id57527353,https://api.whatsapp.com/send?phone=79113941281
6124,Март агентство ритуальных услуг,78112600710; 78112607809; 78112603613; 79813504500; 79212119620; 78112530417,"Сосновая ул., 53, посёлок Корытово, Псков, Псков",https://pskov.pamyatniki.one/,pskov@pamyatniki.one,Псков,,A,43,Yes,unknown,No,https://t.me/pamyatnikione,http://vk.com/club51121008,
6136,Ритуальные услуги,78112664158; 79113616190; 79532337608; 79062236414; 79211131034; 78112737154; 79215008098; 79211126798,"ул. Металлистов, 5, Псков, Псков",https://ritual60.ru/,rantan_pskov@bk.ru,Псков,,A,43,Yes,wordpress,No,https://t.me/+78112664158,,
6130,Каменных Дел Мастер,78112999058; 79009923706; 78112331011; 79532400222,"Новгородская ул., 15, Псков, Псков",http://pskov.ritualspravka.ru/,gbru60@mail.ru; kdmpskov@mail.ru,Псков,,A,40,Yes,unknown,No,https://t.me/+78112999058,https://vk.com/ritualspravka,
6131,Данила-Мастер изготовитель памятников,79022234935; 79022202052,"ул. Яна Фабрициуса, 11, Псков, Псков",https://psk.danila-master.ru/,dm-on-line@danila-master.ru; info@danila-master.ru; mail@danila-master.ru,Псков,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/kupit_pamyatnik_v_pskove,
6156,xn--60-9kch0esa.xn--p1ai,79532411222; 78112331011; 79532400222; 79532400888,"г. Псков, ул. Яна",https://xn--60-9kch0esa.xn--p1ai/,gbru60@mail.ru,Псков,,A,40,Yes,unknown,No,https://t.me/+79532411222,https://vk.com/gbru60,
