id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6194,pro-monument.ru,79383352250,"Ессентукская ул., 29, Пятигорск, Россия, Пятигорск",https://pro-monument.ru/,,Пятигорск,,A,46,Yes,unknown,No,https://t.me/ProMonument,https://vk.com/promonument,https://api.whatsapp.com/send?phone=79383352250
6218,pyatigorsk.bilkam.ru,73833830392; 73517009492,,https://pyatigorsk.bilkam.ru/,sales@bilkam.ru,Пятигорск,,A,45,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
6213,Небо Одно,79097535050,,https://pyatigorsk.nebo-odno.ru/,op.nebo1@gmail.com,Пятигорск,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
6195,Небо,78652317199,"Ессентукская ул., 62, Пятигорск, Пятигорск",,,Пятигорск,,A,41,Yes,unknown,No,https://t.me/nebo_odno_Stanislav,https://vk.com/nebo_stavropol,https://api.whatsapp.com/send?phone=79672117721
6216,pyatigorsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://pyatigorsk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Пятигорск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
6219,pyatigorsk.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Пятигорск, ул. Советской",https://pyatigorsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Пятигорск,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
6202,Granit-кmv,79282251110; 79938888020,"Ставропольская ул., 70, Пятигорск, Пятигорск",http://granit-kmv.ru/,granit.kmv@mail.ru,Пятигорск,,B,38,No,wordpress,No,https://t.me/+79282251110,,
6217,pyatigorsk.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747; 79618555089,,https://pyatigorsk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Пятигорск,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
6199,ritualkavkaz.ru,79280131491; 79881060216; 79034159911; 78662440909; 79287162334; 79188770704; 79064626055; 79331111126,"Университетская ул., 1А, Пятигорск, Пятигорск",https://ritualkavkaz.ru/,,Пятигорск,,B,35,Yes,unknown,No,https://t.me/+79280131491,,
6212,pyatigorsk.ritualum.ru,79182792792; 72375001374,,https://pyatigorsk.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Пятигорск,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
6214,Данила-Мастер,79022234935; 79022202052,,https://pyatigorsk.danila-master.ru/,dm-on-line@danila-master.ru; info@danila-master.ru; mail@danila-master.ru,Пятигорск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=pyatigorsk,
6197,София Гранит,79966302563; 79966311407,"Кисловодское ш., 22, лит.Б, Пятигорск, Пятигорск",https://софиягранит.рф/,,Пятигорск,,B,30,No,unknown,No,https://t.me/+79966302563,https://vk.com/granitsofiya,
6201,Памятники,79620106248; 79283255260; 78793381729; 79282646466,"Ставропольский край, посёлок городского типа Иноземцево, Р-217 Кавказ, 365-й километр, Пятигорск",,,Пятигорск,,B,30,Yes,unknown,No,https://t.me/+79620106248,,
6215,orgzz.ru,79624287894,г Закрыто до 8,https://orgzz.ru/,,Пятигорск,,B,30,Yes,unknown,No,https://t.me/+79624287894,,
6198,ЮгГранит мастерская по изготовлению памятников,79283408155,"Ессентукская ул., 29/1, Пятигорск, Пятигорск",http://yuggranit.ru/,,Пятигорск,,B,25,No,unknown,No,https://t.me/+79283408155,,
6205,Гранит,79620224353; 79614537134,"Пятигорск, садоводческий массив № 7, СТ Новый Путь, 6, Пятигорск",,,Пятигорск,,B,25,No,unknown,No,https://t.me/+79620224353,,
6206,Искусство камня,79283477778; 79054467778,"Ставропольский край, Пятигорск, Бештаугорское шоссе, Пятигорск",,,Пятигорск,,B,25,No,unknown,No,https://t.me/+79283477778,,
6207,Военно-мемориальная компания,78793395595; 79887585649,"Ставропольский край, Пятигорск г., ул. Лопатина, 25, Пятигорск",,,Пятигорск,,B,25,No,unknown,No,https://t.me/+78793395595,,
6211,"Эксклюзивные Памятники, ИП",79283465826; 79054114197,"357538, Ставропольский край, Пятигорск г., ул. Ессентукская, 28-29, Пятигорск",,,Пятигорск,,B,25,No,unknown,No,https://t.me/+79283465826,,
6200,Изделия из гранита,79283056204,"38, территория ГК Автолеер, Пятигорск, Пятигорск",,,Пятигорск,,C,20,No,unknown,No,https://t.me/+79283056204,,
6203,Мастерская по изготовлению памятников,79283477057,"Ессентукская ул., 29/2, Пятигорск, Пятигорск",,,Пятигорск,,C,20,No,unknown,No,https://t.me/+79283477057,,
