id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6225,manymonuments.ru,74994505434; 70281084000,"Московская область, Раменский городской округ, Раменское городское кладбище, Раменское",http://www.manymonuments.ru/,support@manymonuments.ru,Раменское,,A,56,Yes,wordpress,No,https://t.me/Manumonuments,https://vk.com/manymonuments,https://api.whatsapp.com/send?phone=74994505434
6232,Городская ритуальная служба,74111269296; 74111277477; 72373977545; 72373977544; 72373977543; 72341332727; 72355067324; 72355070829; 72355112985; 74112191412; 74112194333; 74112196074,"ул. Чугунова, 8, Раменское, Раменское",https://ramenskoe.ritual-grs.ru/,ritual-grs.ru@yandex.ru,Раменское,,A,56,Yes,tilda,No,https://t.me/username,,https://api.whatsapp.com/send?phone=7925505206909011800018905008052849637965800080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
6226,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"Народная ул., 21А, микрорайон Холодово, Западный район, Раменское, Раменское",http://www.grad-ex.ru/,,Раменское,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
6229,Мириада ритуальная служба,79295151851,"Московская область, Раменский городской округ, село Малышево, Раменское",https://mir-rit.ru/,miriada-ritual@yandex.ru,Раменское,,A,43,No,tilda,No,https://t.me/89295151851,https://vk.com/miriada8,https://api.whatsapp.com/send?phone=79295151851
6248,ramenskoe.xn--80apbncqgt0j.xn--p1ai,74951474745; 79530863611; 79882409747,"г Инна 
 19",https://ramenskoe.xn--80apbncqgt0j.xn--p1ai/,garantpamyati@yandex.ru,Раменское,,A,43,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
6246,diabaz-lux.ru,79165044445; 79167360090,,https://diabaz-lux.ru/,diabaz-lux@mail.ru; info@diabaz-lux.ru,Раменское,,B,38,Yes,wordpress,No,https://t.me/+79165044445,,
6230,Возрождение,79652325939; 79015968307,"Московская область, Раменское, промзона Полигон, Раменское",,,Раменское,,B,35,No,unknown,No,https://t.me/+79652325939,,https://api.whatsapp.com/send?phone=79652325939
6234,Ритуальные услуги,79269006666,"Центральная ул., 97А, село Гжель, Раменское",,,Раменское,,B,35,Yes,unknown,No,https://t.me/+79269006666,https://vk.com/ritual_gzhel,https://api.whatsapp.com/send?phone=79269006666
6244,memorial-eg.ru,79037279707; 79646423913,,https://memorial-eg.ru/,info@memorial-eg.ru,Раменское,,B,35,Yes,unknown,No,https://t.me/+79037279707,,
6236,Чёрный тюльпан,79019828335,"ул. Космонавтов, 20А, Раменское, Раменское",,,Раменское,,B,30,No,unknown,No,https://t.me/+79019828335,https://vk.com/id429183284,https://api.whatsapp.com/send?phone=79019828335
6238,Строй-прогресс,79857772211,"Московская область, Раменский городской округ, село Софьино, Раменское",,,Раменское,,B,30,No,unknown,No,https://t.me/+79857772211,,https://api.whatsapp.com/send?phone=79857772211
6239,Пегас,79263447780; 79680066005; 79774410140,"Пограничная ул., 59, село Малышево, Раменское",,,Раменское,,B,30,Yes,unknown,No,https://t.me/+79263447780,,
6247,Гранитная мастерская РитуалСтоун,79162565777,,https://ramenskoe.ritualstoun.ru/,info@ritualstoun.ru,Раменское,,B,30,Yes,unknown,No,https://t.me/+79162565777,,
6245,ГранитИгумново.рф,79166751556,,https://xn--80aebbya3aeekbo3aq.xn--p1ai/,granitigumnovo@mail.ru,Раменское,,B,28,No,wordpress,No,https://t.me/+79166751556,,
6237,"Мемориал, производство",79851921651,"Московская область, Раменский городской округ, село Загорново, Раменское",https://mmrl.ru/,,Раменское,,B,25,No,unknown,No,https://t.me/+79851921651,,
6240,Изготовление памятников и надгробий,79854233367,"Центральная ул., 127, село Гжель, Раменское",,,Раменское,,C,20,No,unknown,No,https://t.me/+79854233367,,
