id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6280,Постамент.ру,74952013227; 79660990708; 74951322272; 79100847144; 79672013223; 79261303227; 79262133227,"Южная ул., 2, Реутов, Реутов",http://postament.ru/,info@postament.ru; info@postament.ru>,Реутов,,A,63,Yes,bitrix,No,https://t.me/postamentru,https://vk.com/postamentu,https://api.whatsapp.com/send?phone=799977287510901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
6279,Мемориалвип,79265770705; 79261922988; 75053000392; 75053002696,"Южная ул., 15, Реутов, Реутов",https://memorialvip.ru/,%20memorialvip@mail.ru; memorialvip@mail.ru,Реутов,,A,50,Yes,joomla,No,https://t.me/+79265770705,https://vk.com/memorialvip,https://api.whatsapp.com/send?phone=79261922988
6278,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"ул. Г.И. Котовского, 3, Реутов, Реутов",http://www.grad-ex.ru/,,Реутов,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=792544440000901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
6288,Небо Одно,79097535050,,https://reutov.nebo-odno.ru/,op.nebo1@gmail.com,Реутов,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
6277,Ritual-Granit77,79651304635; 74959683533; 71060642954,"ул. Победы, 9, Реутов, Реутов",https://ritual-granit77.ru/,ritual-granit77@mail.ru; mail:ritual-granit77@mail.ru; ritualgranit77@yandex.ru,Реутов,,A,41,No,opencart,No,https://t.me/antip7467,https://vk.com/https://vk.com/ritualgranit77,
6287,Ритуалум Сочи,79182792792; 72375001374; 79881838853,"г. Сочи, ул. Пластунская",https://sochi.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Реутов,,A,40,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
6289,firmlist.ru,74957011413; 74957550258; 74959611706; 74959611786; 79037721202; 79263653562; 79771175500; 74951804142; 79258747065; 74957602203; 79890401555; 74955985757; 74957855618,,https://firmlist.ru/,mail@firmlist.ru,Реутов,,B,35,Yes,unknown,No,https://t.me/+74957011413,,
6282,Granitochka,79687489279; 79163871034,"ул. Ленина, 4, Реутов, Реутов",,,Реутов,,B,25,No,unknown,No,https://t.me/+79687489279,,
6283,Похороны Православные,74993807921,"просп. Мира, 12, Реутов, Реутов",https://ritual-reutov.ru/,,Реутов,,B,25,Yes,unknown,No,https://t.me/+74993807921,,
6284,Центр Похорон,74993467067,"Лесная ул., 7, Реутов, Реутов",https://центрпохорон.рф/,,Реутов,,B,25,Yes,unknown,No,https://t.me/+74993467067,,
6285,Мирокамень,79161392233,"ул. Ленина, 1А, Реутов, Реутов",http://mironkamen.ru/,,Реутов,,B,25,No,unknown,No,https://t.me/+79161392233,,
