id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6258,Феникс,79220206061,"ул. Павла Зыкина, 14, Ревда, Ревда",http://fenix555.ru/,fenix555.ru@mail.ru,Ревда,,A,40,No,joomla,No,https://t.me/+79220206061,https://vk.com/fenix555ru,https://api.whatsapp.com/send?phone=79220206061
6259,ГЛАВНАЯ,79505515878,"ул. Максима Горького, 14, Ревда, Ревда",https://pamyatnik96.ru/,rating@mail.ru; info@pamyatnik96.ru,Ревда,,B,35,Yes,unknown,No,https://t.me/+79505515878,,
6270,xn--80afqtbaqt.xn--p1ai,79200492420; 79960017228,,https://xn--80afqtbaqt.xn--p1ai/,dm-nngranit@yandex.ru,Ревда,,B,35,Yes,unknown,No,https://t.me/+79200492420,https://vk.com/kaieny,
6261,Обелиск,73439734357; 73439732911; 79220321686; 79220321779,"ул. Карла Либкнехта, 72А, Ревда, Ревда",https://obelisk-revda.ru/,,Ревда,,B,33,No,wordpress,No,https://t.me/+73439734357,,
6260,Ритуал агентство ритуальных услуг,79122855970; 79826709228; 73439763162; 73439739799,"ул. Мира, 11, Ревда, Ревда",https://ritual.revda.pro/,,Ревда,,B,30,No,unknown,No,https://t.me/+79122855970,,
6266,revda09.ru,79505463127; 79122862902; 79002048013; 79002087833; 79126785725; 79221296657; 79043891050; 79826420860; 79222030186; 79521363657; 79222063603; 79510618565; 79193958557; 79122620208; 79126426014,"Уральская ул., 2, Ревда, Ревда",https://revda09.ru/,,Ревда,,B,30,No,unknown,No,https://t.me/+79505463127,https://vk.com/official.revda,
6262,Студия камня,79221174138; 73439736500,"ул. Карла Либкнехта, 76, Ревда, Ревда",,,Ревда,,B,25,No,unknown,No,https://t.me/+79221174138,,
6264,Мастерская памятников,79122167414,"Красная ул., 26, Ревда, Ревда",https://maspam.ru/,,Ревда,,B,25,No,unknown,No,https://t.me/+79122167414,,
6269,2sp.me,79993686411,,https://2sp.me/,,Ревда,,B,25,Yes,unknown,No,https://t.me/+79993686411,,
6268,Ритус мастерская Саидов М.Д. ИП,73439735802,"Свердловская обл., Ревда г., ул. Карла Либкнехта, 2, Ревда",,,Ревда,,C,20,No,unknown,No,https://t.me/+73439735802,,
6263,Реквием,,"ул. Константина Краснова, 57, Ревда, Ревда",,,Ревда,,D,5,No,unknown,No,,,
6265,Комтех похоронная служба,,"ул. Азина, 86, Ревда, Ревда",,,Ревда,,D,5,No,unknown,No,,,
6267,Памятники,,"Красная ул., 26, Ревда, Ревда",,,Ревда,,D,5,No,unknown,No,,,
