id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6372,GRANT-STONE,74951065606; 79265255531; 79852726318,,https://grant-stone.ru/,sales@grant-stone.ru; shop@shop.ru,Руза,,A,51,Yes,wordpress,No,https://t.me/AnnaFreeMind,,https://api.whatsapp.com/send?phone=79852726318
6370,Небо Одно,79097535050,,https://ruza.nebo-odno.ru/,op.nebo1@gmail.com,Руза,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
6374,stoun.ru,79265393503; 79250033785,,https://www.stoun.ru/,,Руза,,A,40,Yes,bitrix,No,https://t.me/+79265393503,,
6367,Гранитная мастерская № 1,79096859972; 79268794282,"площадь Партизан, 13А, Руза, Руза",https://granitka-1.clients.site/,,Руза,,B,38,Yes,unknown,No,https://t.me/granitka9972,https://vk.com/granitka9972,
6369,"Гранит На Века, Гранитная Мастерская в Рузе| Обл-инфо24.ру ...",79104554151; 79265599675; 79096741006; 79160578836; 79203117717; 79175035652; 79686124432; 79156470770; 79774409100; 79034217055; 74956644298; 79856158138; 79162673874; 79997144582; 79263890061; 79663298937; 78109000174,,https://obl-info24.ru/,ritual@ruza.ru; mivlme@yandex.ru; granit-naveka@mail.ru,Руза,,B,38,Yes,unknown,No,https://t.me/obl_info24,https://vk.com/obl_info24,
6371,Данила-Мастер,74991132525; 79022234935; 74957452726; 79201305838; 79022202052; 76270001630; 76040840298; 79201306095; 79201306102; 79201306101; 79250093760,,https://ruza.danila-master.ru/,evgenia.belova@danila-master.ru; svetlana.pohodenko@danila-master.ru; ilia.borisov@danila-master.ru; dm-on-line@danila-master.ru; info@danila-master.ru; mail@danila-master.ru; elizaveta.hechiyan@danila-master.ru; ksenia.malyutina@danila-master.ru,Руза,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=ruza,
6368,Гранит на века,79778409099,"Социалистическая ул., 3, Руза, Руза",http://granitnaveka.ru/,granit-naveka@mail.ru,Руза,,B,33,No,wordpress,No,https://t.me/+79778409099,,
6366,Ритуальная служба,,"площадь Партизан, 10, Руза, Руза",http://ruza-ritual.ru/,,Руза,,B,31,No,unknown,No,https://t.me/ritualnayasluzhba,,
6363,ИП Соболев С. В.,79895899878; 79261214838; 79651818976; 79057315796,"площадь Партизан, 11, Руза, Руза",,,Руза,,B,25,No,unknown,No,https://t.me/+79895899878,,
6364,Ритуал,79096587622; 79039717781,"Социалистическая ул., 16, Руза, Руза",,,Руза,,B,25,No,unknown,No,https://t.me/+79096587622,,
6365,Гранитный цех,74962750338,"площадь Партизан, 15, Руза, Руза",,,Руза,,C,20,No,unknown,No,https://t.me/+74962750338,,
6373,eternal6memory.1c-umi.ru,,,https://eternal6memory.1c-umi.ru/,you@example.com,Руза,,C,15,Yes,unknown,No,,,
