id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6463,Гранитная мастерская в Рязани,79809009727; 79000000000; 76909952878; 77236988155,г       Сроки  до 14,https://vechny-kamen.ru/,info@vechny-kamen.ru,Ряжск,,A,43,Yes,opencart,No,https://t.me/rzncontext,https://vk.com/vechnykamen,
6469,ryazan.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://ryazan.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Ряжск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
6460,Диабаз,79605682800,"Советская площадь, 5, Ряжск, Ряжск",https://diabazryazsk.ru/,dgranitnayamasterskaya@bk.ru,Ряжск,,B,38,Yes,lpmotor,No,https://t.me/diabaz_master,https://vk.com/diabaz2022,
6461,Первый Ритуальный,79106440706; 79106440708,"ул. Владимировка, 4Б, Ряжск, Ряжск",,,Ряжск,,B,35,No,unknown,No,https://t.me/+79106440706,,https://api.whatsapp.com/send?phone=79106440706
6465,yargranit.ru,74852662021; 79051382724; 79051391383; 79066386181; 79051391292; 79051386367; 79051385657; 79066385404; 76060346898,,https://www.yargranit.ru/,yargranitpion@yandex.ru; yargranit2996@yandex.ru; yargranit2936@yandex.ru; gravura@76gamail.com; yargranit@yandex.ru,Ряжск,,B,35,Yes,drupal,No,https://t.me/+74852662021,https://vk.com/pamyatnikiyaroslavl,
6466,«Ярстик»,79301285006; 79301142422; 79201307324; 79301344363; 79019974681; 79201152076; 79159749694; 79201183594; 79201344363,,https://yarstik76.ru/,,Ряжск,,B,33,Yes,unknown,No,https://t.me/Yarstik76,,
6467,Малахит,79209931000; 79106457739; 79066468686; 76234000058; 79206344567; 79156068828,,https://pamiatniki-malahit.ru/,nuvacheva@mail.ru; malahit-rz@mail.ru,Ряжск,,B,33,No,wordpress,No,https://t.me/+79209931000,https://vk.com/pamiatniki_malahit,
6468,pamyatniki.one,79537345838,,https://ryazan.pamyatniki.one/,ryazan@pamyatniki.one,Ряжск,,B,33,Yes,unknown,No,https://t.me/pamyatnikione,https://vk.com/pamyatnikione,
6464,granit62.ru,79038392561; 79206375851,,https://granit62.ru/,,Ряжск,,B,30,Yes,unknown,No,https://t.me/+79038392561,,
6462,Братское Дело,79156194483,"Вокзальная ул., 43, Ряжск, Ряжск",http://kuznitsa-bratskoe-delo.ru/,,Ряжск,,B,25,No,unknown,No,https://t.me/+79156194483,,
