id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6387,"Дом Памяти, филиал",74855254818; 79011954818,"ул. Чкалова, 1, Центральный район, Центральный микрорайон, Рыбинск, Рыбинск",https://xn-----7kcfl0acqlcpdpssj0ntc.xn--p1ai/,dompam62@gmail.com,Рыбинск,,A,48,No,wordpress,No,https://t.me/+74855254818,https://vk.com/dompam1,https://api.whatsapp.com/send?phone=79011954818
6404,Данила-Мастер,74852607120; 79022234935; 74852331491; 74852553744; 74852607380; 79644829561; 77603060000; 79611535663; 79611582775; 79056393622,"г. Ярославль, ул. Пилотов",https://rybinsk.danila-master.ru/,yulia.dmitrieva@danila-master.ru; dm-on-line@danila-master.ru; info@danila-master.ru; svetlana.averyanova@danila-master.ru; olga.podgornova@danila-master.ru; mail@danila-master.ru; svetlana.lashicheva@danila-master.ru; natalia.bitkina@danila-master.ru,Рыбинск,,A,40,Yes,unknown,No,https://t.me/+79644829561,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=rybinsk,
6406,Гранитные кресты,79785971717; 79885811717; 70172111195,"г. Рыбинск, ул. Максима",https://rybinsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Рыбинск,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
6393,Ярстик,79301142422; 79201307324; 79301285006; 79301344363; 79019974681; 79201152076; 79159749694; 79201183594; 79201344363,"Крестовая ул., 109, Центральный микрорайон, Рыбинск, Рыбинск",http://yarstik76.ru/,,Рыбинск,,B,38,Yes,unknown,No,https://t.me/Yarstik76,https://vk.com/yarstik76,
6384,Каменных дел мастер,74855282392; 79159702688; 79010545021; 79108238448; 79158206530,"Крестовая ул., 35, Центральный микрорайон, Рыбинск, Рыбинск",http://kdm-rybinsk.ru/,tutaev@kdm-rybinsk.ru; megakdm2015@mail.ru,Рыбинск,,B,35,No,unknown,No,https://t.me/+74855282392,https://vk.com/kdmrybinsk,
6391,Монумент,79201152130,"Ярославская область, Рыбинск, Южное кладбище, Рыбинск",,,Рыбинск,,B,30,No,unknown,No,https://t.me/+79201152130,https://vk.com/monument.rybinsk,https://api.whatsapp.com/send?phone=79201152130
6397,Душа,,"Крестовая ул., 18, Центральный микрорайон, Рыбинск, Рыбинск",,,Рыбинск,,B,26,No,unknown,No,https://t.me/dusha_ritual,,
6388,Гранитная мастерская Свеча,79807495429; 79807035312,"Крестовая ул., 71А, Центральный микрорайон, Рыбинск, Рыбинск",,,Рыбинск,,B,25,No,unknown,No,https://t.me/+79807495429,https://vk.com/svecha.rybinsk,
6390,Стикс,74855250003; 79109788188,"д. Хвощёвка, 102, Рыбинск",,,Рыбинск,,B,25,No,unknown,No,https://t.me/+74855250003,,
6392,Некрополь ритуальный центр,79065254242,"ул. 50 лет ВЛКСМ, 44, Рыбинск, Рыбинск",,,Рыбинск,,C,20,No,unknown,No,https://t.me/+79065254242,,
6394,Мир камня,79301325164,"д. Хвощёвка, 14, Рыбинск",,,Рыбинск,,C,20,No,unknown,No,https://t.me/+79301325164,https://vk.com/mirkamny76,
6401,Гранит,79201130011,"Стоялая ул., 20, Центральный микрорайон, Рыбинск, Рыбинск",,,Рыбинск,,C,20,No,unknown,No,https://t.me/+79201130011,,
6402,Арт Монумент,79807006537,"Ярославская обл., Рыбинск, ул. Кустова, 2, Рыбинск",,,Рыбинск,,C,20,No,unknown,No,https://t.me/+79807006537,,
6395,Военно-мемориальная компания гранитная мастерская,,"Солнечная ул., 57Д, Западный посёлок, Западный планировочный район, Рыбинск, Рыбинск",https://www.vmkros.ru/,,Рыбинск,,C,15,Yes,unknown,No,,,
6405,eternal6memory.1c-umi.ru,,,https://eternal6memory.1c-umi.ru/,you@example.com,Рыбинск,,C,15,Yes,unknown,No,,,
6398,Памятникофф,,"ул. Чкалова, 74, Центральный микрорайон, Рыбинск, Рыбинск",,,Рыбинск,,D,5,No,unknown,No,,,
6400,Социальные ритуальные услуги,,"ул. Кулибина, 50, Рыбинск, Рыбинск",,,Рыбинск,,D,5,No,unknown,No,,,
