id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6514,Монумент Гранитная компания,79199119303; 73414721011,"ул. 1-я Дачная, 26Б, Сарапул, Сарапул",http://monument18.ru/,ya.ilja26@yandex.ru; monument1000@mail.ru; monument-18@yandex.ru,Сарапул,,A,51,No,tilda,No,https://t.me/Tatyana26_05,https://vk.com/monument18,https://api.whatsapp.com/send?phone=79199119303
6512,Все для похорон,79199160303; 79199150303,"Удмуртская Республика, Сарапульский район, село Сигаево, Сарапул",https://antikvariat-1688189149.clients.site/,,Сарапул,,A,45,Yes,unknown,No,https://t.me/+79199160303,https://vk.com/ritualudm,https://api.whatsapp.com/send?phone=79199160303
6524,sarapul.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://sarapul.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Сарапул,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
6525,Данила-Мастер,73412277893; 79022234935; 79022202052; 76270000012; 76021044011; 79201004861; 79201492793,"г. Ижевск, ул. Красноармейская",https://sarapul.danila-master.ru/,natalia.chekh@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; natalia.malygina@danila-master.ru; dm-on-line@danila-master.ru,Сарапул,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=sarapul,
6527,sarapul.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Сарапул, ул. Азина",https://sarapul.rm-ryabina.ru/,rim-ryabina@yandex.ru,Сарапул,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
6518,Изготовление памятников,,"ул. 20 лет Победы, 11Г, Сарапул, Сарапул",,,Сарапул,,C,23,No,unknown,No,https://t.me/izgotovleniepamyatnikov,,
6521,Реквием магазин ритуальных принадлежностей,79042774207,"Электрозаводская ул., 4Б, Сарапул, Сарапул",,,Сарапул,,C,20,No,unknown,No,https://t.me/+79042774207,,
6523,personize.ru,,"г. Сарапул , ул. Заречная",https://personize.ru/,,Сарапул,,C,18,Yes,wordpress,No,,,
6526,granitnaya-masterskaya.ru,70031450000; 70057480000; 70083510000; 70107070000; 70154900000; 70180930000; 70206960000; 70231830000; 70279880000; 70305910000; 70331940000; 70356130000; 70404010000; 70430040000; 70456070000; 70481370000; 70533070000; 70533680000; 70544490000; 70548280000; 70574310000; 70600340000; 70626460000; 70677040000; 70703070000; 70729100000; 70747310000; 70791010000; 70817040000; 70843070000; 70863070000; 70909370000; 70935400000; 70961430000; 70986060000; 71033720000; 71059750000; 71085780000; 71104290000; 71147670000; 71173700000; 71199730000; 71219540000; 71268940000; 71269550000; 71280360000; 71283950000; 71309980000; 71336010000; 71361820000; 71413810000; 71439840000; 71465870000; 71486820000; 71531880000; 71557910000; 71583940000; 71603740000; 71647690000; 71673720000; 71699750000; 71718230000; 71761690000; 71787720000; 71813750000; 71839330000; 71888930000; 71914960000; 71940990000; 71967180000; 72016930000; 72017540000; 72028350000; 72032040000; 72058070000; 72084100000; 72103900000; 72150080000; 72176110000; 72202140000; 72227330000; 72278280000; 72304310000; 72330340000; 72354900000; 72404500000; 72430530000; 72456560000; 72482300000; 72533670000; 72559700000; 72585730000; 72605180000; 72650500000; 72676530000; 72702560000; 72728950000; 72781280000; 72781890000; 72792700000; 72796310000; 72822340000; 72848370000; 72869010000; 72915820000; 72941850000; 72967880000; 72987230000; 73032120000; 73058150000; 73084180000; 73107580000; 73155410000; 73181440000; 73207470000; 73232290000; 73281870000; 73307900000; 73333930000; 73359150000; 73410550000; 73436580000; 73462610000; 73488160000; 73538450000; 73539060000; 73549870000; 73553530000; 73579560000; 73605590000; 73629530000; 73677930000; 73703960000; 73729990000; 73755710000; 73805790000; 73831820000; 73857850000; 73883950000; 73935760000; 73961790000; 73987820000; 74011000000; 74056720000; 74082750000; 74108780000; 74134500000; 74184180000; 74210210000; 74236240000; 74262460000; 74313940000; 74314550000; 74325360000; 74328990000; 74355020000; 74381050000; 74406460000; 74455500000; 74481530000; 74507560000; 74529230000; 74577480000; 74603510000; 74629540000; 74656490000; 74709610000; 74735640000; 74761670000; 74787500000; 74838090000; 74864120000; 74890150000; 74909750000; 74955400000; 74981430000; 75007460000; 75026290000; 75072330000; 75072940000; 75083750000; 75087420000; 75113450000; 75139480000; 75165610000; 75215820000; 75241850000; 75267880000; 75294160000; 75345530000; 75371560000; 75397590000; 75425760000; 75482980000; 75509010000; 75535040000; 75560700000; 75611260000; 75637290000; 75663320000; 75685120000; 75734750000; 75760780000; 75786810000; 75810050000; 75856790000; 75857400000; 75868210000; 75871810000; 75897720000; 75923630000; 75949830000; 76001180000; 76027210000; 76053240000; 76078710000; 76128510000; 76154540000; 76180570000; 76203840000; 76247990000; 76274020000; 76300050000; 76323430000; 76368240000; 76394270000; 76420300000; 76443870000; 76491110000; 76517140000; 76543170000; 76566360000; 76611670000; 76612280000; 76623090000; 76626780000; 76652810000; 76678840000; 76702060000; 76748830000; 76774860000; 76800890000; 76826820000; 76877560000; 76903590000; 76929620000; 76955570000; 77005310000; 77031340000; 77057370000; 77082900000; 77132970000; 77159000000; 77185030000; 77210980000; 77261380000; 77287410000; 77313440000; 77340150000; 77392810000; 77393420000; 77404230000; 77407810000; 77433840000; 77459870000; 77483840000; 77533460000; 77559490000; 77585520000; 77607850000; 77652470000; 77678500000; 77704530000; 77727480000; 77774770000; 77800800000; 77826830000; 77853630000; 77906900000; 77932930000; 77958960000; 77981850000; 78030480000; 78056510000; 78082540000; 78105370000; 78152880000; 78153490000; 78164300000; 78168020000; 78194050000; 78220080000; 78238730000; 78284000000; 78310030000; 78336060000; 78362100000; 78412850000; 78438880000; 78464910000; 78485340000; 78530690000; 78556720000; 78582750000; 78609020000; 78659840000; 78685870000; 78711900000; 78738030000; 78790050000; 78816080000; 78842110000; 78867150000; 78916170000; 78916780000; 78927590000; 78931180000; 78957210000; 78983240000; 79006360000; 79054210000; 79080240000; 79106270000; 79133320000; 79186700000; 79212730000; 79238760000; 79265660000; 79318260000; 79344290000; 79370320000; 79396110000; 79446870000; 79472780000; 79498690000; 79522080000; 79569120000; 79595150000; 79621180000; 79645290000; 79695220000; 79695830000; 79706640000; 79710350000; 79736380000; 79762410000; 79789290000; 79842740000; 79868770000; 79894800000; 79916550000; 79963970000; 79990000000,,http://granitnaya-masterskaya.ru/,gran-mas@mail.ru,Сарапул,,C,15,No,unknown,No,,,
6519,Камни Урала,,"ул. Раскольникова, 119, Сарапул, Сарапул",,,Сарапул,,D,5,No,unknown,No,,,
