id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6732,ВифРитуал,74965471854; 79037892302; 79165105579; 79168202506; 75009000060,"Московская область, Сергиев Посад, Гражданская улица, Сергиев Посад",http://www.vifpamatnik.ru/,ritualvifsp@mail.ru,Сергиев Посад,,A,55,No,bitrix,No,https://t.me/+74965471854,,https://api.whatsapp.com/send?phone=79037892302
6736,Ритуал Град,79652301147; 74965470377; 79645578175,"Пограничная ул., 5, Сергиев Посад, Сергиев Посад",https://ritualsp.ru/,misha-krainik@yandex.ru,Сергиев Посад,,A,53,Yes,wordpress,No,https://t.me/+79652301147,https://vk.com/public212020265,https://api.whatsapp.com/send?phone=79645578175
6737,Ритуальный салон Незабудка салон ритуальных услуг,79652355505; 79269598030; 79263358845; 79154929167; 79652333033,"Московская область, Сергиево-Посадский городской округ, Благовещенское кладбище, Сергиев Посад",https://spritual.ru/,spritual.ru@bk.ru,Сергиев Посад,,A,50,Yes,joomla,No,https://t.me/+79652355505,,https://api.whatsapp.com/send?phone=79652355505
6738,Росгранит,79153991438; 79162965846,"Московская область, Сергиево-Посадский городской округ, территориальный отдел Лозовское, Сергиев Посад",https://www.ross-granit.ru/,,Сергиев Посад,,A,48,Yes,unknown,No,https://t.me/Rusgranit,https://vk.com/rusgranit,https://api.whatsapp.com/send?phone=79162965846
6739,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"1-я Рыбная ул., 19/22, Сергиев Посад, Сергиев Посад",https://www.grad-ex.ru/,,Сергиев Посад,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
6733,Белый Ангел,79268585888; 79663443377; 79688019933; 79252851115; 79269272525,"Новоугличское ш., 58Б, Сергиев Посад, Сергиев Посад",https://ritualnyj-salon-belyj-angel.clients.site/,,Сергиев Посад,,A,45,Yes,unknown,No,https://t.me/79688019933,,https://api.whatsapp.com/send?phone=79688019933
6752,«Гранитная мастерская» компания Сергиев Посад,79645233955; 79154595858; 79036822780; 79150459501; 74965492326; 79629809947; 79637544279; 79999005594,,https://www.sergievgrad.ru/,granitsvatkovo@yandex.ru; info@sergievgrad.ru,Сергиев Посад,,A,45,Yes,bitrix,No,https://t.me/+79645233955,https://vk.com/sergievgrad,
6756,Небо Одно,79097535050,,https://sergiev-posad.nebo-odno.ru/,op.nebo1@gmail.com,Сергиев Посад,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
6735,Гранитная мастерская,79266787535; 74965418646; 79151295608; 70253115213; 73412567809; 74957712299; 79614999995; 79516961809; 73522461097; 79874873321; 74232517272; 79188270183; 79631423504; 73812321961; 78652589958; 78314177867; 79127188464; 78482620337; 79059447945; 73833426164; 74932263536; 74232904685; 73902358463; 79633685002; 79143498545; 73832878696; 78422416407; 79780208546; 79501360484; 73512420500; 79508080388; 79877956882; 73537308200; 79876019055; 79266099990; 79247633330; 79539683761; 79038539165; 79109053510; 78443243243; 79788063258; 79887693344; 79682758697; 79191551868; 79508054495; 78512432543,"Вознесенская ул., 67А, Сергиев Посад, Сергиев Посад",https://ritual-reestr.ru/,kislinsky@mail.ru,Сергиев Посад,,A,43,Yes,wordpress,No,https://t.me/+79266787535,,
6734,Стела Арт,79851002060,"Гражданская ул., 47, Сергиев Посад, Сергиев Посад",https://www.stela-art.moscow/,,Сергиев Посад,,A,40,Yes,unknown,No,https://t.me/+79851002060,,https://api.whatsapp.com/send?phone=79851002060
6750,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Россия, Московская область, Сергиев Посад, Воробьёвская улица, Сергиев Посад",https://pamyatniki.moscow/,info@pamyatniki.moscow,Сергиев Посад,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
6754,"Фабрика матрешки ""Мастер АРТ""",79260295020; 79165730310,,https://masterart-sp.ru/,masterartsp@mail.ru,Сергиев Посад,,B,33,No,tilda,No,https://t.me/+79260295020,https://vk.com/matreshkasergievposad,
6740,Granit-fatum,79093828888; 79641715555,"Новоугличское ш., 74В, Сергиев Посад, Сергиев Посад",https://granit-fatum.ru/,,Сергиев Посад,,B,30,No,unknown,No,https://t.me/+79093828888,,
6746,Харон,79057440604; 79256304878,"ул. Шлякова, 19Б, Сергиев Посад, Сергиев Посад",,,Сергиев Посад,,B,25,No,unknown,No,https://t.me/+79057440604,,
6747,СП предприятие похоронно-ритуальных услуг,74965420275; 74965427726; 74965422235,"Новоугличское ш., 62А, корп. 10, Сергиев Посад, Сергиев Посад",,,Сергиев Посад,,B,25,No,unknown,No,https://t.me/+74965420275,,
6748,Град-Экс,79670714111; 79268509920,"Московская обл., Сергиев Посад г., просп. Красной Армии, 156/1, Сергиев Посад",,,Сергиев Посад,,B,25,No,unknown,No,https://t.me/+79670714111,,
6749,Изготовление памятников,79254793704,"Московская обл., Сергиево-Посадский р-н, Сергиев Посад г., ул. Вознесенская, 55, Сергиев Посад",,,Сергиев Посад,,B,25,Yes,unknown,No,https://t.me/+79254793704,,
6741,Памятники SP,,"ул. Глинки, 8А, Сергиев Посад, Сергиев Посад",,,Сергиев Посад,,C,23,No,unknown,No,https://t.me/pamyatnikisp,,
