id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6762,ООО «Стелла-Память» - офис продаж,74967761700; 79685718122; 74993253523; 79267218143; 79685706915; 74951518119; 74951518439; 74967761600; 70281054040,"Московская область, городской округ Серпухов, деревня Бутурлино, Никольская улица, Серпухов",https://serpuhov.stella-pamyat.ru/,sale@stella-pamyat.ru,Серпухов,,A,60,Yes,bitrix,No,https://t.me/stellapamyat,https://vk.com/stellapam,https://api.whatsapp.com/send?phone=79685718122
6768,Ритуал № 3 магазин ритуальных товаров,79168195240; 74967725964; 79686124432; 79156470770; 79774409100; 79034217055; 74956644298; 79856158138; 79162673874; 79997144582; 79096741006; 79160578836; 79203117717; 79175035652; 79263890061; 79663298937; 78109000174,"Калужская ул., 21/12, Серпухов, Серпухов",https://obl-info24.ru/,mivlme@yandex.ru,Серпухов,,A,53,Yes,unknown,No,https://t.me/obl_info24,https://vk.com/obl_info24,https://api.whatsapp.com/send?phone=79258580912
6763,Granit-serp.ru,74999900691; 79264107525,"Водонапорная ул., 36А, корп. 1, Серпухов, Серпухов",https://granit-serp.ru/,granit-serp@yandex.ru,Серпухов,,A,50,Yes,joomla,No,https://t.me/+74999900691,https://vk.com/granit_serp_ru,https://api.whatsapp.com/send?phone=79264107525
6772,Памятники,79037071516; 79670237269; 79857388509; 79932888588; 79035140214,"Московская область, городской округ Серпухов, Бутурлинское кладбище, Серпухов",https://xn----8sbgvcmjdjmfk4a5p.xn--p1ai/,krawchenkogosha@yandex.ru,Серпухов,,A,50,Yes,unknown,No,https://t.me/89857388509,,https://api.whatsapp.com/send?phone=79857388509
6767,Гранит-С,79855324920; 75074000207,"Московская область, городской округ Серпухов, сельское поселение Васильевское, Серпухов",https://xn----7sbivyqlg.xn--p1ai/,,Серпухов,,A,48,Yes,wordpress,No,https://t.me/+79855324920,,https://api.whatsapp.com/send?phone=79855324920
6769,Град-Экс гранитная мастерская,74951205544; 74951096677; 79254444000; 79268884444,"ул. Ворошилова, 82, Серпухов, Серпухов",http://grad-ex.ru/,,Серпухов,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
6783,Гранит Стандарт,79855122526; 74537452510; 77351390396,,https://granitstandart.ru/,info@granitstandart.ru,Серпухов,,A,48,Yes,bitrix,No,https://t.me/e662ok,,
6764,Ритуал,79167760760; 74967760760,"площадь 49-й Армии, 7/31, Серпухов, Серпухов",https://ritualdom.com/,ritualserp@mail.ru,Серпухов,,A,45,No,wordpress,No,https://t.me/+79167760760,,https://api.whatsapp.com/send?phone=79167760760
6770,МКУ Серпуховская специализированная похоронная служба,74967128158,"площадь 49-й Армии, 7/31, Серпухов, Серпухов",http://serpuhov.ru/,info@serpuhov.ru,Серпухов,,A,43,No,bitrix,No,https://t.me/serpuhov_live,https://vk.com/sspslujba,
6771,Памятники Ритуал № 1 похоронная служба,79152241131; 79859796447,"1-я Московская ул., 39, Серпухов, Серпухов",http://ritual-serp1.ru/,,Серпухов,,A,43,No,wordpress,No,https://t.me/+79152241131,,https://api.whatsapp.com/send?phone=79859796447
6785,serp-granit.ru,79154870105,г больше 10,https://www.serp-granit.ru/,kyzamasia@gmail.com,Серпухов,,A,40,No,unknown,No,https://t.me/+79154870105,,https://api.whatsapp.com/send?phone=79154870105&lang=ru
