id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6614,Минеев Групп,79789522082; 79785533451,"просп. Октябрьской Революции, 32Г, Севастополь, Севастополь",https://сев.памятниктут.рф/,info@mineevgroup.ru,Севастополь,,A,56,No,wordpress,Yes,https://t.me/+79789522082,https://vk.com/pamyatniktut,https://api.whatsapp.com/send?phone=79789522082
6617,ИП Заичко К.Д гранитная мастерская,79654572922; 79788417189; 79787022052; 79780895047; 79789739502; 79788417192,"ул. Павла Силаева, 8, Севастополь, Севастополь",https://sevgranit.blizko.ru/,krumgranit@yandex.ru,Севастополь,,A,56,Yes,unknown,No,https://t.me/ZaichkoKirill,https://vk.com/pamyatniki92,https://api.whatsapp.com/send?phone=79787022052
6639,Гранит-Соракс,79782587046; 79780161610; 79788940218; 79787203792; 79786922935; 79789474763; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79781181944; 79788578371,"Сельская ул., 33, Севастополь, Севастополь",https://granit-sorax.ru/,granit-rost2000@mail.ru; granitimramor.opt@mail.ru,Севастополь,,A,56,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/granit_sorax,https://api.whatsapp.com/send?phone=79780161610
6615,Гранит-мастер,79783053042; 79785778333; 75004875060,"ул. Адмирала Октябрьского, 13, Севастополь, Севастополь",https://sevastopol.granitmaster-crimea.ru/,granit.officesev4@mail.ru,Севастополь,,A,54,Yes,wordpress,Yes,https://t.me/granitmastercrimea,https://vk.com/crimea_granit,
6616,ИП Гринев В.С. гранитная мастерская,79786670467; 79785396424; 79883131360; 79788205400,"просп. Генерала Острякова, 233, Севастополь, Севастополь",https://alleja-pamjati.clients.site/,bodnyuk1360@yandex.ru,Севастополь,,A,53,Yes,unknown,No,https://t.me/Pamyat82,https://vk.com/memorual_82,https://api.whatsapp.com/send?phone=79786670467
6618,Севастополь-гранит,79787496871; 79787412090,"ул. Богданова, 16/3, Севастополь, Севастополь",https://севастополь-гранит.рф/,sevgranit.da@mail.ru,Севастополь,,A,53,Yes,wordpress,No,https://t.me/Dima_sevgranit,https://vk.com/pamyatnikisevgranit,https://api.whatsapp.com/send?phone=79787496871
6624,Гранит ВиК магазин,79787620822; 79787620852,"Монастырское ш., 4А, Севастополь, Севастополь",https://granitvik.tilda.ws/,granit_vik@rambler.ru; ooo.granit.vik@yandex.ru,Севастополь,,A,53,Yes,tilda,No,https://t.me/+79787620822,,https://api.whatsapp.com/send?phone=79787620822
6625,Дело Чести Ритуальное агентство,79782100230; 79782326454; 79115790096; 79204000243; 79785968860; 79785900526,"ул. Борисова, 1-11/6, Севастополь, Севастополь",https://delochesti92.ru/,delochesti92@yandex.ru,Севастополь,,A,51,No,wordpress,No,https://t.me/delochesti92,https://vk.com/delochesti92,https://api.whatsapp.com/send?phone=79782100230
6620,Рябина,79785971717; 70172111195,"ул. Челнокова, 29, корп. 3, Севастополь, Севастополь",https://sevastopol.rm-ryabina.ru/,rim-ryabina@yandex.ru,Севастополь,,A,50,Yes,unknown,No,https://t.me/aleksey_sev,,https://api.whatsapp.com/send?phone=79785971717
6623,Гранит 92,79890827237; 79219233551,"Балаклавское ш., 1, Севастополь, Севастополь",https://granit92.ru/,info@dra.ru,Севастополь,,A,50,Yes,unknown,No,https://t.me/+79890827237,,https://api.whatsapp.com/send?phone=79890827237
