id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6652,Гранит для близких компания по изготовлению и продаже памятников,79523060707; 79532676533; 79522501122; 79095537106,"Железнодорожная ул., 39, стр. 1, Северодвинск, Северодвинск",http://gdb29.ru/,,Северодвинск,,A,51,Yes,unknown,No,https://t.me/gdb29,,https://api.whatsapp.com/send?phone=79523060707
6658,granit-pomoria.ru,79022861141; 78182213800; 79009114382,"Заводская ул., 9, Северодвинск, Северодвинск",https://granit-pomoria.ru/,donate@opencart.com; info@granit-pomoria.ru,Северодвинск,,A,40,Yes,opencart,No,https://t.me/+79022861141,http://vk.com/granit_pomoria,
6670,severodvinsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://severodvinsk.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Северодвинск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
6671,severodvinsk.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Северодвинск, ул. Ломоносова",https://severodvinsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Северодвинск,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
6672,Данила-Мастер,79022234935; 79022202052,,https://severodvinsk.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Северодвинск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=severodvinsk,
6654,Ритуальная компания Мемориал,79523096606,"Республиканская ул., 14А, Северодвинск, Северодвинск",http://memorial29.ru/,ipridein@gmail.com,Северодвинск,,B,33,No,wordpress,No,https://t.me/+79523096606,https://vk.com/memsevsk29,
6659,Vdovkin гранитная мастерская,79502559628; 79115699977,"Архангельское ш., 31А, корп. 6, Северодвинск, Северодвинск",,,Северодвинск,,B,30,Yes,unknown,No,https://t.me/+79502559628,https://vk.com/vdovkinru,
6662,Городская ритуальная служба Север,79539313644,"ул. Кирилкина, 2, стр. 8, Северодвинск, Северодвинск",,,Северодвинск,,B,30,No,unknown,No,https://t.me/79539313644,,https://api.whatsapp.com/send?phone=79539313644
6656,Монумент гранитная мастерская,79009156565; 79027004347,"Южная ул., 167, корп. 2, Северодвинск, Северодвинск",,,Северодвинск,,B,25,No,unknown,No,https://t.me/+79009156565,https://vk.com/club35460936,
6660,Обелиск,79522535844; 79115748667,"Железнодорожная ул., 23, Северодвинск, Северодвинск",,,Северодвинск,,B,25,No,unknown,No,https://t.me/+79522535844,https://vk.com/club96108771,
6668,Изготовление памятников,,"Железнодорожная ул., 53, Северодвинск, Северодвинск",,,Северодвинск,,C,23,No,unknown,No,https://t.me/izgotovleniepamyatnikov,,
6657,Все для похорон,79095513512,"Архангельская область, Северодвинск, квартал Г, Северодвинск",,,Северодвинск,,C,20,No,unknown,No,https://t.me/+79095513512,https://vk.com/ritualsever,
6669,Стикс,79522561131,"ул. Георгия Седова, 19, Северодвинск, Северодвинск",,,Северодвинск,,C,20,No,unknown,No,https://t.me/+79522561131,,
6665,Акатех ПТК,,"Железнодорожная ул., 53, Северодвинск, Северодвинск",,,Северодвинск,,D,5,No,unknown,No,,,
6667,Стела29,,"Транспортная ул., 11, Северодвинск, Северодвинск",,,Северодвинск,,D,5,No,unknown,No,,,
