id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8302,shadrinsk.granit-pamytniki.ru,79935119050; 73432686808,"г. Екатеринбург, ул. Репина",https://shadrinsk.granit-pamytniki.ru/,stone6680@mail.ru,Шадринск,,A,46,Yes,unknown,No,https://t.me/repinagranit,,
8304,shadrinsk.bilkam.ru,73833830392; 73517009492,,https://shadrinsk.bilkam.ru/,sales@bilkam.ru,Шадринск,,A,45,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
8294,Вечность,79195770202,"ул. Свердлова, 138, Шадринск, Шадринск",https://vechnost-ulitsa-sverdlova.clients.site/,,Шадринск,,A,40,Yes,unknown,No,https://t.me/+79195770202,https://vk.com/vechnost45,https://api.whatsapp.com/send?phone=79195770202
8301,Данила-Мастер,79022234935; 79022202052,"г. Шадринск, ул. Красноармейская",https://shadrinsk.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Шадринск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=shadrinsk,
8297,postament45.ru,79226748926; 79195900200; 79809341914,"Михайловская ул., 86, Шадринск, Шадринск",https://postament45.ru/,pamyatniki107@mail.ru,Шадринск,,B,38,No,wordpress,No,https://t.me/+79226748926,,
8292,Памятник 45,79195659759; 79195659758,"ул. Степана Разина, 92, стр. 3, Шадринск, Шадринск",https://памятник45.рф/,stone45@inbox.ru,Шадринск,,B,35,No,unknown,No,https://t.me/+79195659759,,
8305,xn----7sbblxancnkhnvvv8p.xn--p1ai,73522552556; 79128352556,,https://xn----7sbblxancnkhnvvv8p.xn--p1ai/,uralkamen45@mail.ru,Шадринск,,B,35,Yes,joomla,No,https://t.me/+73522552556,,
8303,xn--80aahvqjtdrk.xn--p1ai,79122489647,,https://xn--80aahvqjtdrk.xn--p1ai/,hit-a@yandex.ru; 248-96-47hit-a@yandex.ru,Шадринск,,B,30,Yes,unknown,No,https://t.me/+79122489647,,
8296,Шадринский похоронный дом,79195942965,"ул. Свердлова, 128, Шадринск, Шадринск",,,Шадринск,,C,20,No,unknown,No,https://t.me/+79195942965,,
8298,Ритуал-абелиск Мальгин А.А. ИП,73525336589,"Курганская обл., Шадринский р-н, Шадринск г., ул. Пионерская, 3, Шадринск",,,Шадринск,,C,20,No,unknown,No,https://t.me/+73525336589,,
