id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8395,Ритуал 71,74872790780; 79202703225; 79964323717; 79202778062,"Шахтёрская ул., 34/4, Щёкино, Щёкино",https://ritual-71.ru/,Ritual71-Tula@yandex.ru; ritual71-tula@yandex.ru,Щёкино,,A,56,Yes,wordpress,No,https://t.me/GBO_Ritual71,,https://api.whatsapp.com/send?phone=79964323717
8398,Стелла-Память,79534339207,"ул. Лукашина, 17Г/1, Щёкино, Щёкино",https://pamyatnik-shchekino.ru/,sedykh2404@mail.ru,Щёкино,,A,40,No,bitrix,No,https://t.me/+79534339207,,
8408,stoun.ru,79265393503; 79250033785,,https://www.stoun.ru/,,Щёкино,,A,40,Yes,bitrix,No,https://t.me/+79265393503,,
8399,Ритуал 71 ритуальная служба похоронного сервиса,79066303353; 79534290033,"ул. Пирогова, 49А, Щёкино, Щёкино",,,Щёкино,,B,25,No,unknown,No,https://t.me/+79066303353,,
8401,Ритуальное агентство,79109482720; 79101549251,"ул. Льва Толстого, 30, Щёкино, Щёкино",,,Щёкино,,B,25,No,unknown,No,https://t.me/+79109482720,,
8404,Памятники,79207628609; 79207891419,"Тульская область, Щёкино, улица Свободы, Щёкино",,,Щёкино,,B,25,No,unknown,No,https://t.me/+79207628609,,
8394,Каменный Цветок мастерская,79520186555,"Пионерская ул., 30, Щёкино, Щёкино",http://каменныйцветок.com/,,Щёкино,,C,22,No,unknown,No,https://t.me/+79520186555,,
8400,Мастерская по изготовлению памятников,79531815522,"ул. Лукашина, 15, Щёкино, Щёкино",,,Щёкино,,C,20,No,unknown,No,https://t.me/+79531815522,,
8403,Эко Велес ритуальное агентство,79632257709,"ул. Болдина, 36, корп. 6, Щёкино, Щёкино",,,Щёкино,,C,20,No,unknown,No,https://t.me/+79632257709,,
8406,Куб,79207716600,"просп. Ленина, 157, Тула, Щёкино",,,Щёкино,,C,20,No,unknown,No,https://t.me/+79207716600,,
8407,Ритуальные услуги,79051122111,"Колхозная ул., 3, село Крапивна, Щёкино",,,Щёкино,,C,20,No,unknown,No,https://t.me/+79051122111,,
