id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8361,Предприятие Пирамида,79303652562; 74935128301; 74935144801; 74935131550; 74935132230; 74935132050; 79206779679; 74932415151; 74932373070; 79023168468; 74932424363; 74932267660; 74932559848,"1-я Московская ул., 6, Шуя, Шуя",https://piramida37.ru/,piramida-37@yandex.ru,Шуя,,A,50,Yes,bitrix,No,https://t.me/+79303652562,,
8362,Вечность,79203704646; 79203704444; 79203773938,"Ивановская область, Шуя, 4-я Восточная улица, Шуя",https://вечность-шуя.рф/,veshnost-shya@yandex.ru,Шуя,,A,48,No,wordpress,No,https://t.me/+79203704444,,https://api.whatsapp.com/send?phone=79203704646
8363,Художественная мастерская Память,79065100018; 79065101207; 74935138073; 79109819258,"4-я Восточная ул., 2, Шуя, Шуя",http://granitestreet.ru/,,Шуя,,A,40,No,unknown,No,https://t.me/+79065100018,https://vk.com/pamyat37,https://api.whatsapp.com/send?phone=79109819258
8378,znakpamyati.ru,79535746158; 79036066655; 79101363579,,https://znakpamyati.ru/,znakpamyati@mail.ru,Шуя,,B,38,Yes,wordpress,No,https://t.me/+79535746158,,
8369,Цех ритуальных услуг Старая контора,74935142637; 79806924459; 79158385488,"Васильевский тракт, 3, Шуя, Шуя",http://www.старая-контора.рф/,staraya-contora@yandex.ru,Шуя,,B,35,No,unknown,No,https://t.me/+79806924459,,
8377,karelgranit37.ru,79085628877; 79158160102,,https://karelgranit37.ru/,anna.tundina.72@mail.ru; aleks.otto-arh@yandex.ru; karelmonument.ivanovo@mail.ru; lenusya_19_1991@mail.ru; irina-v25@mail.ru,Шуя,,B,35,Yes,unknown,No,https://t.me/+79085628877,,
8366,Мастерская Гранит Карелии,79016803080; 79612494749,"Костромская ул., 19, Шуя, Шуя",https://shuya.web-org.ru/,,Шуя,,B,30,No,unknown,No,https://t.me/+79016803080,,
8379,xn--80aahvqjtdrk.xn--p1ai,79122489647,,https://xn--80aahvqjtdrk.xn--p1ai/,hit-a@yandex.ru; 248-96-47hit-a@yandex.ru,Шуя,,B,30,Yes,unknown,No,https://t.me/+79122489647,,
8376,Ритуальный магазин,79158268630; 79038796858,"2-я Южная ул., 40, Шуя, Шуя",,,Шуя,,B,25,No,unknown,No,https://t.me/+79158268630,,
8365,Память в граните,79158440770,"Комсомольская площадь, 1, Шуя, Шуя",,,Шуя,,C,20,No,unknown,No,https://t.me/+79158440770,,
8367,Монумент,79106949686,"Васильевская ул., 34, Шуя, Шуя",,,Шуя,,C,20,No,unknown,No,https://t.me/+79106949686,,
8368,Гранитная мастерская,79085625555,"Фабричная ул., 7, Шуя, Шуя",,,Шуя,,C,20,No,unknown,No,https://t.me/+79085625555,,
8375,Память в камне,79951289000,"36, посёлок Победа, Шуя, Шуя",,,Шуя,,C,20,No,unknown,No,https://t.me/+79951289000,,
