id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6808,Данила-Мастер,79022234935; 79022202052,"г. Сибай, ул. Белова",https://sibay.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Сибай,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=sibay,
6811,xn----7sbigsgxdbno1a2j.xn--p1ai,79272360069,"г. Уфа,  
ул. Губайдуллина",https://xn----7sbigsgxdbno1a2j.xn--p1ai/,info@siteytyr.ru; pam-ufa@yandex.ru,Сибай,,B,33,No,wordpress,No,https://t.me/+79272360069,https://vk.com/zakaz_granitniy_pamyatnik_v_ufe,
6804,Изделия из камня,79033543443; 79373620622,"Республика Башкортостан, Сибай, Сибай",,,Сибай,,B,28,No,unknown,No,https://t.me/ingranit,,
6801,Памятники,79613560625; 79033531393,"Республика Башкортостан, городской округ Сибай, Сибай",,,Сибай,,B,25,No,unknown,No,https://t.me/+79613560625,,
6802,"Памятники и надгробия, организация похорон",79374922239; 79053086262; 79273419393,"Медная ул., 62, Сибай, Сибай",,,Сибай,,B,25,No,unknown,No,https://t.me/+79374922239,,
6803, Ритуал,79374873999; 79033120111,"ул. Котовского, 26/1, Сибай, Сибай",,,Сибай,,B,25,No,unknown,No,https://t.me/+79374873999,,
6807,Ритуальный салон,79649534500,"ул. Комсомола, 9А, Сибай, Сибай",,,Сибай,,C,20,No,unknown,No,https://t.me/+79649534500,,
6809,zavetspisok.ru,,"г. Сибай , ул. Заречная",https://zavetspisok.ru/,,Сибай,,C,18,Yes,wordpress,No,,,
6805,"Пионерская улица, 1а",,"Пионерская ул., 1А, Ханты-Мансийск, Сибай",,,Сибай,,D,5,No,unknown,No,,,
6806,Башгранит,,"Республика Башкортостан, Сибай, Сибай",,,Сибай,,D,5,No,unknown,No,,,
