id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6934,Габбро Стоун,79014943378; 79180087171,"Суздальская ул., 77, Сочи, Сочи",https://gabbro-stone.ru/,gabbro-stone.ru@ya.ru,Сочи,,A,55,No,bitrix,No,https://t.me/+79180087171,,https://api.whatsapp.com/send?phone=79180087171
6938,Памятники Адлер,79184328734; 79184051595,"Суздальская ул., 76Б, Сочи, Сочи",https://memorialadler.ru/,bykovvasily432@gmail.com,Сочи,,A,55,No,bitrix,No,https://t.me/+79184328734,,https://api.whatsapp.com/send?phone=79184328734
6932,Центр-Камня,79649049063; 79884703085,"Пионерская ул., 74, Сочи, Сочи",https://sochi.center-kamen.ru/,info@center-kamen.ru,Сочи,,A,53,Yes,wordpress,No,https://t.me/memori-kamen.ru,https://vk.com/memorikamen,https://api.whatsapp.com/send?phone=79649049063
6933,sochi.ritualum.ru,79182792792; 78622257833; 72375001374; 79881838853,"Пластунская ул., 96, Сочи, Сочи",https://sochi.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Сочи,,A,53,Yes,opencart,No,https://t.me/ritualum,https://vk.com/ritualum,https://api.whatsapp.com/send?phone=79182792792
6940,Ковка Камень гранитная мастерская,79151460404; 79651080404; 70281063872,"105, село Барановка (Хостинский район), садоводческое товарищество Зефанос-6, Сочи",https://kovkakamen.ru/,kovkakamen@gmail.com,Сочи,,A,51,No,unknown,No,https://t.me/KovkaKamen,https://vk.com/id585293591,https://api.whatsapp.com/send?phone=79651080404
6972,➤ Регионы обслуживания в Крыму и ЮФО,79780161610; 79788940218; 79787203792; 79786922935; 79789474763; 79782587046; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79781181944; 79788578371,,https://granit-sorax.ru/,granit-rost2000@mail.ru; granitimramor.opt@mail.ru,Сочи,,A,51,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/granit_sorax,https://api.whatsapp.com/send?phone=79780161610
6931,РосРитуалСервис агентство ритуальных услуг,78622257989; 78124267070; 78123892833; 70281002000; 74537452510; 70281080350,"Московская ул., 22, микрорайон Центральный, Сочи, Сочи",http://ritualgranit.ru/,spb@rosritualservice.ru,Сочи,,A,50,Yes,opencart,No,https://t.me/+78622257989,https://vk.com/izgotovlenie_pamyatnikov_ru,https://api.whatsapp.com/send?phone=79119278998
6939,Синдикат Камня,79882340605; 79604937777,"Высокогорная ул., 107, Сочи, Сочи",https://gaudi-stoun.clients.site/,,Сочи,,A,48,Yes,unknown,No,https://t.me/BenSInvest,,https://api.whatsapp.com/send?phone=79882340605
6941,granitsochi.ru,79628887221; 79000008804,"Краснодарский край, Сочи, Краснодонская улица, Сочи",https://granitsochi.ru/,gabbrosochi@ya.ru,Сочи,,A,45,No,opencart,No,https://t.me/+79628887221,,https://api.whatsapp.com/send?phone=79628887221
6943,Монумент гранитная мастерская,79189345145; 78189345145; 71942176549; 71991953883; 71991960412,"село Барановка (Хостинский район), садоводческое товарищество Зефанос-6, 106, Сочи",http://monument93.ru/,mail@example.com,Сочи,,A,45,No,opencart,No,https://t.me/+79189345145,,https://api.whatsapp.com/send?phone=79189345145
6970,Небо Одно,79097535050,,https://sochi.nebo-odno.ru/,op.nebo1@gmail.com,Сочи,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
6942,adlergranit.ru,79288500027,"ул. Дзержинского, 7, жилой район Адлер, Сочи, Сочи",https://adlergranit.ru/,info@adlergranit.ru,Сочи,,A,43,No,unknown,No,https://t.me/adlergranit,,https://api.whatsapp.com/send?phone=79288500027
6948,Натуральный камень,79882370021; 79882383377,"Краснодарский край, Сочи, Виноградный переулок, Сочи",http://mramorvsochi.ru/,,Сочи,,A,43,No,wordpress,No,https://t.me/+79882370021,,https://api.whatsapp.com/send?phone=+79882370021
6967,sochi.xn--80apbncqgt0j.xn--p1ai,79882409747; 79618555089; 79892201077; 79618559078,г. Сочи Альпийская 110,https://sochi.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Сочи,,A,43,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
6966,Данила-Мастер,79022234935; 79022202052,"г. Сочи, ул. Кипарисовая",https://sochi.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Сочи,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=sochi,
6969,Гранит памяти,,,https://sochi.granit-pamyati.ru/,office@granit-pamyati.ru,Сочи,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
