id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7026,Мир Гранита,79611775544; 79611665544; 79611765544; 79611885544; 74722360736; 79100303736,"Белгородская область, Старый Оскол, Железнодорожный район, историческая местность Маслозавод, Старый Оскол",https://mirgranita31.ru/,info@mirgranita31.ru; mirgranit31@mail.ru,Старый Оскол,,A,56,Yes,wordpress,No,https://t.me/mirgranit31,https://vk.com/mirgranit31,https://api.whatsapp.com/send?phone=796116655440901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7027,Ритуальные услуги,79040825619; 79205580091; 79045335656; 79202000304; 79202001101; 79205727564,"Белгородская область, Старый Оскол, Железнодорожный район, историческая местность Маслозавод, Старый Оскол",https://staryy-oskol.nritual.ru/,,Старый Оскол,,A,51,Yes,unknown,No,https://t.me/nritualru,https://vk.com/crk_pamyatniki,https://api.whatsapp.com/send?phone=79511473177
7032,Городская Похоронная Служба,79511300001; 79103680120; 79103680639; 79107366842; 79103680129; 79155220571,"ул. Прядченко, 33, Старый Оскол, Старый Оскол",https://ritual31.turbo.site/,,Старый Оскол,,A,45,Yes,unknown,No,https://t.me/+79511300001,https://vk.com/ritual_uslugi31,https://api.whatsapp.com/send?phone=79107366842
7029,Белгранит торгово-производственная компания,74725415975; 74725415974; 79194341650,"Рождественская ул., 10/14, Старый Оскол, Старый Оскол",http://belgranit.ru/,info@belgranit.ru,Старый Оскол,,B,35,No,unknown,No,https://t.me/+74725415975,,
7030,СК Монолит,79155630611; 79155665395; 79507192239,"просп. Алексея Угарова, 3, Старый Оскол, Старый Оскол",,,Старый Оскол,,B,35,No,unknown,No,https://t.me/zhimonovs,https://vk.com/monolit31,https://api.whatsapp.com/send?phone=79155665395
7035,"Студия камня компания по изготовлению подоконников, памятников, каминов из гранита и мрамора",74725415515; 79036423515,"Старый Оскол, микрорайон Надежда, 12, Старый Оскол",http://studiyakamnya.ru/,415515sk@gmail.com,Старый Оскол,,B,35,No,unknown,No,https://t.me/+74725415515,http://vk.com/studiyakamnya31,
7044,pamyatniki-stone.ru,79037917331; 79089323676,,https://staryy-oskol.pamyatniki-stone.ru/,staryy-oskol@pamyatniki-stone.ru; 932-36-76info@pamyatniki-stone.ru,Старый Оскол,,B,35,Yes,unknown,No,https://t.me/+79037917331,,
7033,Памятники-31,79511397583,"Старый Оскол, микрорайон Будённого, 2, корп. 11, Старый Оскол",http://pamyatniki-31.ru/,pamyatniki-31@yandex.ru,Старый Оскол,,B,33,No,wordpress,No,https://t.me/+79511397583,http://vk.com/share.php?url=https%3A%2F%2Fpamyatniki-31.ru,
7036,Турботех производственная компания,74725243573; 79103277547; 74725443225,"Комсомольский просп., 73, Старый Оскол, Старый Оскол",,,Старый Оскол,,B,25,No,unknown,No,https://t.me/+74725243573,,
7045,staryj-oskol.spravka.ru,74725224214,,https://staryj-oskol.spravka.ru/,,Старый Оскол,,B,25,Yes,unknown,No,https://t.me/+74725224214,,
7037,Магазин памятников и ритуальных принадлежностей ГлавКамень,79290009997,"Тракторная ул., 9, Старый Оскол, Старый Оскол",,,Старый Оскол,,C,20,No,unknown,No,https://t.me/+79290009997,,
7039,Магазин кованных изделий,79045389710,"ул. Мира, 83А, Старый Оскол, Старый Оскол",,,Старый Оскол,,C,20,No,unknown,No,https://t.me/+79045389710,,
7040,Памятник Георгию Жукову,,"Белгородская область, Старый Оскол, площадь Победы, Старый Оскол",,,Старый Оскол,,D,5,No,unknown,No,,,
7041,Ритуал Гарант,,"1, микрорайон Восточный, Старый Оскол, Старый Оскол",,,Старый Оскол,,D,5,No,unknown,No,,,
7042,Монумент советско-болгарской дружбы,,"Белгородская область, Старый Оскол, бульвар Дружбы, Старый Оскол",,,Старый Оскол,,D,5,No,unknown,No,,,
