id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7047,ИП Харисов Сергей Рамильевич Ритуальный салон,79659333000; 79173700037; 79191500016,"Прибрежная улица, 43, село Новая Отрадовка, Стерлитамакский район, Республика Башкортостан, Россия, Стерлитамак",https://ritual-sterlitamak.ru/,ritual102@yandex.ru,Стерлитамак,,A,51,No,wordpress,No,https://t.me/Ritual_service_str,,https://api.whatsapp.com/send?phone=7917370003709011800018905008052849626070789080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7056,Память сеть ритуальных салонов,79177775454; 79177778080; 79177500707; 79177776800; 79177500033; 79177502244; 79177500030; 70261000590,"Коммунистическая ул., 12, Стерлитамак, Стерлитамак",https://ritualrb.ru/,novi0077@mail.ru,Стерлитамак,,A,50,Yes,unknown,No,https://t.me/+79177775454,https://vk.com/club209039106,https://api.whatsapp.com/send?phone=791777754540901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7082,sterlitamak.bilkam.ru,73833830392; 73517009492,"г. Стерлитамак, ул. Элеваторная",https://sterlitamak.bilkam.ru/,sales@bilkam.ru,Стерлитамак,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7046,Мемориал ритуальный салон,79174573025; 79174868660; 79876175352,"ул. Худайбердина, 101А, Стерлитамак, Стерлитамак",https://memorial-str.ru/,egorova969@mail.ru,Стерлитамак,,A,48,No,wordpress,No,https://t.me/+79174573025,https://vk.com/memorial_str,https://api.whatsapp.com/send?phone=791748686600901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7049,Гранит Приволжье,79174707450; 79373506456; 79174534091; 79177471550; 79174308800; 79191545691,"Элеваторная ул., 19, корп. 1, Стерлитамак, Стерлитамак",https://granit-tsentr-ulitsa-halturina.clients.site/,,Стерлитамак,,A,45,Yes,unknown,No,https://t.me/+79870462599,https://vk.com/granit_str,https://api.whatsapp.com/send?phone=791747074500901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7050,Ритуал плюс ритуальный салон,79033555596; 79174795851; 79174111555; 79173410415; 79177405454; 79871331462,"Стерлибашевский тракт, 2, Стерлитамак, Россия, Стерлитамак",https://ритуал-про-стр.рф/,kuleshiroff@yandex.ru,Стерлитамак,,A,45,No,unknown,No,https://t.me/89173410415,,https://api.whatsapp.com/send?phone=79174795851
7048,Кристалл Ритуал – центр ритуальных услуг ритуальные услуги,79378350101; 79174440101; 79373187781; 79872520101; 79373667444; 79174940101,"ул. Суханова, 11, микрорайон Южный, Стерлитамак, Стерлитамак",https://crystalritual.ru/,,Стерлитамак,,A,40,No,unknown,No,https://t.me/+79378350101,https://vk.com/ritualcentr_str,https://api.whatsapp.com/send?phone=79174440101
7081,Гранит памяти,,,https://sterlitamak.granit-pamyati.ru/,office@granit-pamyati.ru,Стерлитамак,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
7084,sterlitamak.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://sterlitamak.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Стерлитамак,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
7052,Гранит Арт,79801826667,"ул. Худайбердина, 85, корп. 1, Стерлитамак, Стерлитамак",https://gr-art.ru/,,Стерлитамак,,B,35,No,unknown,No,https://t.me/+79801826667,,https://api.whatsapp.com/send?phone=798018266670901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7053,Камни Стор,79821076471,"Колхозная ул., 8, посёлок Левашовка, Стерлитамак, Стерлитамак",https://sterlitamak.kamni.store/,,Стерлитамак,,B,35,No,unknown,No,https://t.me/+79821076471,https://vk.com/kamnistore,https://api.whatsapp.com/send?phone=79821076471
7061,Гранитный дворъ,79174149246,"ул. 23 Мая, 153, Стерлитамак, Стерлитамак",https://www.xn--80apmglwl.xn--p1ai/,rating@mail.ru,Стерлитамак,,B,35,Yes,unknown,No,https://t.me/+79174149246,,
7062,ГранитОпт,79870259996; 79613607523,"Деповская ул., 17, Стерлитамак, Стерлитамак",,,Стерлитамак,,B,35,No,unknown,No,https://t.me/+79870259996,,https://api.whatsapp.com/send?phone=798702599960901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
