id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7136,Северный похоронный дом,73462527185,"ул. Энергетиков, 24, корп. 10, Сургут, Сургут",https://spdritual.ru/,spd_surgut@bk.ru,Сургут,,A,50,No,bitrix,No,https://t.me/+73462527185,,https://api.whatsapp.com/send?phone=7932256717009011800018905008052849640557671080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7137,surgut.bilkam.ru,73833830392; 73517009492,"Промышленная ул., 16, Сургут, Сургут",https://surgut.bilkam.ru/,sales@bilkam.ru,Сургут,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7126,Премиум Гранит производственная фирма,73462908484; 73462998484; 79026908484,"ул. Маяковского, 57, Сургут, Сургут",http://granit86.ru/,premiumgranit@mail.ru,Сургут,,A,45,No,unknown,No,https://t.me/+73462908484,http://vk.com/premiumgranit,https://api.whatsapp.com/send?phone=790269084840901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7127,obelisksurgut.ru,73462720407; 73462703364; 79044720407,"Ханты-Мансийский автономный округ — Югра, Сургут, Дальняя улица, Сургут",https://obelisksurgut.ru/,obelisksurgut@mail.ru,Сургут,,A,45,No,unknown,No,https://t.me/79044720407,,https://api.whatsapp.com/send?phone=790447204070901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7128,Югра Камень,73462379024; 73462379023; 79222531823; 73462601823,"Нефтеюганское ш., 8, стр. 3, Сургут, Сургут",http://kanat-surgut.ru/,379023@list.ru; ugrakamen@mail.ru,Сургут,,A,45,No,bitrix,No,https://t.me/+73462379024,,
7130,Гранит на Заячьем острове,73462722859; 73462998599; 79825198599; 79129005222; 79881426080; 79128110266,"Ханты-Мансийский автономный округ — Югра, Сургут, Аэрофлотская улица, Сургут",https://surgut.ugansk-granit.ru/,granit_ugra@mail.ru,Сургут,,A,43,Yes,wordpress,No,https://t.me/+73462722859,https://vk.com/memorial_surgut,
7139,surgut.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://surgut.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Сургут,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
7140,Гранит памяти,,,https://surgut.granit-pamyati.ru/,office@granit-pamyati.ru,Сургут,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
7129,КамнефЪ,73462615558; 79227615558,"Нефтеюганское ш., 27/1к8, Сургут, Сургут",,,Сургут,,B,35,No,unknown,No,https://t.me/+79227615558,,https://api.whatsapp.com/send?phone=792276155580901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7142,pamyatniki-stone.ru,79037917331; 79089323676,,https://surgut.pamyatniki-stone.ru/,surgut@pamyatniki-stone.ru; 932-36-76info@pamyatniki-stone.ru,Сургут,,B,35,Yes,unknown,No,https://t.me/+79037917331,,
7131,Реквием,73462690232,"Нефтеюганское ш., 27/1соор3, Сургут, Сургут",,,Сургут,,C,20,No,unknown,No,https://t.me/+73462690232,,
7132,Диамар Стоун,73462723722,"ул. Профсоюзов, 64, Сургут, Сургут",,,Сургут,,C,20,No,unknown,No,https://t.me/+73462723722,,
7135,КамнеРез,73462795050,"ул. Профсоюзов, 37, корп. 1, Сургут, Сургут",,,Сургут,,C,20,No,unknown,No,https://t.me/+73462795050,,
7138,ИП Памятник,79048780438,"Аэрофлотская ул., 30, корп. 2, Сургут, Сургут",,,Сургут,,C,20,No,unknown,No,https://t.me/+79048780438,,
7143,О компании,,,http://www.granit-surgut.ru/,ugrakamen@mail.ru,Сургут,,C,20,No,bitrix,No,,,
7141,xn--80agoiiglniggjc3n.xn--p1ai,,,https://xn--80agoiiglniggjc3n.xn--p1ai/,surgutkamen@mail.ru,Сургут,,D,10,No,unknown,No,,,
7133,Изготовление памятников и надгробий,,"Нагорная ул., 251, СНТ Чистые Пруды, Сургут, Сургут",,,Сургут,,D,5,No,unknown,No,,,
7134,Дикий камень для памятников,,"Нагорная ул., 252, СНТ Чистые Пруды, Сургут, Сургут",,,Сургут,,D,5,No,unknown,No,,,
