id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
6575,Белсудэкспертобеспечение,,"Социалистическая ул., 73, Светлогорск, Светлогорск",https://svetlogorsk.rityal.by/,bsmogomel@ya.ru; bsmogomel@yandex.ru,Светлогорск,,B,35,No,unknown,No,https://t.me/375291730077,,https://api.whatsapp.com/send?phone=375291730077
6577,xn--b1acfvdsbqchf.xn----7sbblxadlqkgovvk0r.xn--90ais,,"г. Гомель, ул. Интендантская",https://xn--b1acfvdsbqchf.xn----7sbblxadlqkgovvk0r.xn--90ais/,www.monument@rambler.ru,Светлогорск,,B,35,Yes,unknown,No,https://t.me/+375293881166,,
6578,Благоустройство захоронений вСветлогорскеи Калининградской...,79062394495; 79062397278,,https://xn--39-6kc5akkdix8m.xn--p1ai/,olik-bis@rambler.ru,Светлогорск,,B,30,No,unknown,No,https://t.me/+79062394495,,
6576,Мемориал,,"Социалистическая ул., 67А, Светлогорск, Светлогорск",,,Светлогорск,,C,23,No,unknown,No,https://t.me/memorial_ritual,,
6569,Химельторг,75447598492; 75296927767; 75447850737; 75447598495,"Гомельская область, Светлогорск, микрорайон Молодёжный, Светлогорск",https://химельторг.бел/,,Светлогорск,,C,18,No,wordpress,No,,,
6572,"Закат, пункт приема заказов",79123456854; 79123456263; 79123456651; 79123456287; 79123456456; 79123456534; 79123456537; 79123456249,"Социалистическая ул., 9, Светлогорск, Светлогорск",http://zakat.by/,leadgenerationmos@yandex.ru; puncwertbutvoy1971@mail.ru; sembboomjaisoc1972@mail.ru; %73%69%72%61%62%65%73%74%6c%65%6e%31%39%37%34%40%6d%61%69%6c%2e%72%75; bullpoogeco1983@mail.ru; %73%73%69%6c%72%61%69%62%6f%73%61%31%39%37%33%40%6d%61%69%6c%2e%72%75; %62%75%6c%6c%70%6f%6f%67%65%63%6f%31%39%38%33%40%6d%61%69%6c%2e%72%75; calremangdun1980@mail.ru; nenbupojar1977@mail.ru; %70%75%6e%63%77%65%72%74%62%75%74%76%6f%79%31%39%37%31%40%6d%61%69%6c%2e%72%75; %73%65%6d%62%62%6f%6f%6d%6a%61%69%73%6f%63%31%39%37%32%40%6d%61%69%6c%2e%72%75; leadgenerationmos@gmail.com; marketingform2020@gmail.com; dronfort56@mail.ru; sdelano-krasivo@yandex.ru; %6c%61%6e%6c%61%6e%64%6c%69%6e%67%62%69%31%39%37%30%40%6d%61%69%6c%2e%72%75; secbaywarbmog1978@mail.ru; %6d%61%6e%63%61%6b%61%70%6f%77%31%39%37%32%40%6d%61%69%6c%2e%72%75; %74%77%65%65%6b%6b%65%6e%74%65%6d%69%31%39%38%35%40%6d%61%69%6c%2e%72%75; lanlandlingbi1970@mail.ru; tweekkentemi1985@mail.ru; mancakapow1972@mail.ru; %73%65%63%62%61%79%77%61%72%62%6d%6f%67%31%39%37%38%40%6d%61%69%6c%2e%72%75; beltek-@mail.ru; formmarketing2020@gmail.com; sirabestlen1974@mail.ru; tradculockce1980@mail.ru; ssilraibosa1973@mail.ru; %63%61%6c%72%65%6d%61%6e%67%64%75%6e%31%39%38%30%40%6d%61%69%6c%2e%72%75; imonfenix@gmail.com,Светлогорск,,C,15,No,unknown,No,,,
6571,Kamenland.by,,"14, микрорайон Октябрьский, Светлогорск, Светлогорск",http://kamenland.by/,zakaz@kamenland.by; arsenalok@mail.ru,Светлогорск,,D,10,No,joomla,No,,,
6570,В последний путь,,"Интернациональная ул., 38, Светлогорск, Светлогорск",,,Светлогорск,,D,5,No,unknown,No,,,
6573,ИП Базаров Л. Т.,,"Социалистическая ул., 44, Светлогорск, Светлогорск",,,Светлогорск,,D,5,No,unknown,No,,,
6574,СВ-Гран,,"Спортивная ул., 11, Светлогорск, Светлогорск",,,Светлогорск,,D,5,No,unknown,No,,,
