id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7210,syktyvkar.bilkam.ru,73833830392; 73517009492,"г. Сыктывкар, ул. Станционная",https://syktyvkar.bilkam.ru/,sales@bilkam.ru,Сыктывкар,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7191,Стела гранитная мастерская,79042361128; 78212559577; 78212559558; 79042021803; 79042345974; 78212559507,"Сыктывкар, местечко Дырнос, 120/1, Сыктывкар",https://xn----7sbbtnanldkt5ahg1q.xn--p1ai/,stelakomi@mail.ru,Сыктывкар,,A,48,No,flexbe,No,https://t.me/+79042361128,https://vk.com/pamyatniki_syktyvkar,https://api.whatsapp.com/send?phone=790423611280901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7193,Ограда Коми,79041009711; 79048691993; 79125597889,"Колхозная ул., 40/10, Сыктывкар, Сыктывкар",https://ogradakomi.ru/,ogradakomi@mail.ru; ogradakomi@rambler.ru,Сыктывкар,,A,48,No,tilda,No,https://t.me/+79041009711,https://vk.com/ogradakomi,https://api.whatsapp.com/send?phone=790410097110901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7203,Данила-Мастер изготовитель памятников,79022234935; 79022202052,"Лесопарковая ул., 21/3, Сыктывкар, Россия, Сыктывкар",https://syktyvkar.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Сыктывкар,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
7213,syktyvkar.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://syktyvkar.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Сыктывкар,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
7207,syktyvkar.xn--80apbncqgt0j.xn--p1ai,79185568320; 79892201077; 79882409747,,https://syktyvkar.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Сыктывкар,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
7208,"Салон камня""память""",78212747075; 71002835275; 71002835276; 76461477672; 76548129002,"г. Сыктывкар, ул. Огородная",https://xn----7sbab1cfjcddgsq0a4msbe.xn--p1ai/,salonkamnya-pamyat@yandex.ru,Сыктывкар,,B,38,No,unknown,No,https://t.me/vitalygutich,https://vk.com/pamyat747075,
7192,Ритуал-Коми,78212566227; 79087151913,"Станционная ул., 128, Сыктывкар, Сыктывкар",,,Сыктывкар,,B,35,No,unknown,No,https://t.me/+78212566227,https://vk.com/stancionnaya130,https://api.whatsapp.com/send?phone=790422559050901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7201,Ангел ритуальная компания,78212256810; 79634851003; 79658606810,"Интернациональная ул., 157, Сыктывкар, Сыктывкар",,,Сыктывкар,,B,35,No,unknown,No,https://t.me/+78212256810,http://vk.com/oooangel07,https://api.whatsapp.com/send?phone=769586068100901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7211,syktyvkar.rm-ryabina.ru,79785971717; 79885811717; 70172111195,,https://syktyvkar.rm-ryabina.ru/,rim-ryabina@yandex.ru,Сыктывкар,,B,35,Yes,unknown,No,https://t.me/+79785971717,,
7195,Благоустройство и захоронение,79225898812,"Сыктывкар, микрорайон Верхний Чов, 100, Сыктывкар",,,Сыктывкар,,B,33,No,unknown,No,https://t.me/Akilov,https://vk.com/ritualsyktyvkar,https://api.whatsapp.com/send?phone=892258988120901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7209,matveevb.ru,79261072148,,https://matveevb.ru/,mail@matveevb.ru,Сыктывкар,,B,33,Yes,wordpress,No,https://t.me/+79261072148,,
7198,Социальный центр ритуальных услуг,79087149513,"Ухтинское ш., 2, Сыктывкар, Сыктывкар",,,Сыктывкар,,B,30,No,unknown,No,https://t.me/89087149513,https://vk.com/id709023925,https://api.whatsapp.com/send?phone=790871495130901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7200,Вектор,78212229725; 78212798300; 79128651524; 79121499936; 78212351524,"Гаражная ул., 9/4, Сыктывкар, Сыктывкар",http://ритуал-сервис1коми.рф/,,Сыктывкар,,B,30,No,unknown,No,https://t.me/+78212229725,,
7190,Троица,78212726861,"Интернациональная ул., 99, Сыктывкар, Сыктывкар",http://www.troiza11.ru/,,Сыктывкар,,B,25,No,unknown,No,https://t.me/+78212726861,https://vk.com/troiza11,
7199,КРЦ Ритуальный центр,79128631999; 79087175860,"Михайловская ул., 1/1, п. г. т. Краснозатонский, Сыктывкар",,,Сыктывкар,,B,25,No,unknown,No,https://t.me/+79128631999,https://vk.com/ritual_sykt,
7205,Салон Камня,78212550966; 79505677506; 79505663628; 79042202221,"Республика Коми, Сыктывкар, Заводская улица, Сыктывкар",,,Сыктывкар,,B,25,No,unknown,No,https://t.me/+78212550966,http://vk.com/salon.kamnya,
7197,Сартас,78212265018,"Школьная ул., 29, район Лесозавод, Сыктывкар, Сыктывкар",,,Сыктывкар,,C,20,No,unknown,No,https://t.me/+78212265018,,
