id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7162,Гранит Памяти,79581110709; 79053055826; 78464335079; 79053055828,"просп. 50 лет Октября, 59/4А, Сызрань, Сызрань",https://syzran.granit-pamyati.ru/,office@granit-pamyati.ru; syzran@granit-pamyati.ru,Сызрань,,A,50,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati_syzran,
7180,syzran.bilkam.ru,73833830392; 73517009492,"г. Сызрань, ул. Хвалынская",https://syzran.bilkam.ru/,sales@bilkam.ru,Сызрань,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7181,syzran.smemorial.ru,78464912021; 79379929991; 79649698435; 79272114261; 79024289663; 79626147979; 79279014100; 79376668858; 79270292030; 79277382374; 79278076169; 79179375233; 79172463366; 79179300808,,https://syzran.smemorial.ru/,smemorial-ru@ya.ru,Сызрань,,A,48,Yes,wordpress,No,https://t.me/+79377925008,,https://api.whatsapp.com/send?phone=79377925008
7182,syzran.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Сызрань, ул. Володарского",https://syzran.rm-ryabina.ru/,rim-ryabina@yandex.ru,Сызрань,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
7183,syzran.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://syzran.evlitos.ru/,221737@bk.ru; 227298@mail.ru,Сызрань,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
7184,Данила-Мастер,79022234935; 79022202052,"г. Сызрань, ул. Шеврохромовская",https://syzran.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Сызрань,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=syzran,
7163,Ильинский ритуальное агентство,79270138585; 79272120550; 78464995001; 78464334131,"Кооперативная ул., 20, Сызрань, Сызрань",https://ilinkasyzran.ru/,ilinka_syzran@mail.ru,Сызрань,,B,38,No,wordpress,No,https://t.me/+79270138585,,
7185,syzran.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747,,https://syzran.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Сызрань,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
7165,Магазин ритуальных услуг Реквием ритуальный салон,78464333618; 79276577111; 79276140307,"ул. Урицкого, 131, Сызрань, Сызрань",,,Сызрань,,B,35,No,unknown,No,https://t.me/+79276140307,https://vk.com/rekviem_szr,https://api.whatsapp.com/send?phone=79276140307
7186,resrex.ru,79178287799; 79278953082,"г. Сызрань 
 
 
 
 
 
 
 
 
 
 
 0",https://resrex.ru/,,Сызрань,,B,35,Yes,unknown,No,https://t.me/+79178287799,,
