id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7358,Небо Одно,79097535050,,https://temryuk.nebo-odno.ru/,op.nebo1@gmail.com,Темрюк,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
7361,monument23.ru,79181555554; 79821903475,г  памятников с 3,https://monument23.ru/,monymentbelora@mail.ru,Темрюк,,A,43,Yes,wordpress,No,https://t.me/+79181555554,,
7362,temryuk.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Темрюк, ул. Розы",https://temryuk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Темрюк,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
7357,О гранитной мастерской «Камень памяти» в Темрюке,79180200986; 79824811620,,https://temryuk.memorygranit.ru/,memorygranit@mail.ru,Темрюк,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
7359,zakaz-pamyatnik.ru,79182999123; 79182699977,,https://zakaz-pamyatnik.ru/,danil_290494@mail.ru,Темрюк,,B,38,Yes,wordpress,No,https://t.me/+79182999123,https://vk.com/zakazpamyatnik,
7363,temryuk.xn--80apbncqgt0j.xn--p1ai,79892201077; 79882409747; 79618559078; 79618555089,,https://temryuk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Темрюк,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
7364,temryuk.ritualum.ru,79182792792; 72375001374,,https://temryuk.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Темрюк,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
7365,sr-granit.ru,79180767900,,https://sr-granit.ru/,info@sr-granit.ru; vendor@ofthe.product,Темрюк,,B,31,No,wordpress,No,https://t.me/Sr_Granit,https://vk.com/share.php?url=https://sr-granit.ru/contact-us/&image=https://sr-granit.ru/wp-includes/images/media/default.svg&title=Реквизиты,
7360,Мир Камня,79676512063,"г. Темрюк, ул. Евгения",https://mirkamnya-tmk.ru/,,Темрюк,,B,28,No,tilda,No,https://t.me/+79676512063,,
7352,Память,79189553366,"ул. Ленина, 237, станица Старотитаровская, Темрюк",,,Темрюк,,B,25,Yes,unknown,No,https://t.me/+79189553366,,
7354,Памятники,79883231561,"Краснодарский край, муниципальное образование Анапа, Первомайский сельский округ, Темрюк",,,Темрюк,,B,25,Yes,unknown,No,https://t.me/+79883231561,,
