id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7397,Гранит памяти,79608370298; 78482747977; 78482417900; 79649730372; 78482411179; 79626147977,"Россия, Самарская область, Тольятти, улица 40 лет Победы, Тольятти",https://tolyatti.granit-pamyati.ru/,office@granit-pamyati.ru,Тольятти,,A,60,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati_togliatti,https://api.whatsapp.com/send?phone=79626147977
7399,Карельский монументЪ,79276131060,"Северная ул., 1, село Русская Борковка, Тольятти",https://karelmonument63.ru/,karelmonument63@mail.ru,Тольятти,,A,58,No,bitrix,Yes,https://t.me/+79276131060,http://vk.com/karelmonument63,https://api.whatsapp.com/send?phone=79276131060
7401,"Предприятие ""МОНУМЕНТ 63"" – ваш надежный партнер",79879797949; 79879748111; 79878748111; 78482948111; 79272113936; 79178223095,"Железнодорожная ул., 2В, микрорайон Шлюзовой, Тольятти, Тольятти",https://www.xn--80apmglwl.xn--p1ai/,mail@icomms.ru; monument63@mail.ru; smemorial-ru@ya.ru; rating@mail.ru,Тольятти,,A,50,Yes,unknown,No,https://t.me/+79272114261,https://vk.com/pamyatniki_togliatti,https://api.whatsapp.com/send?phone=79879748111
7395,ИП Зачупейко В. И.,79879097557,"ул. Ларина, 149, корп. 13, Тольятти, Тольятти",https://granitmaster63.ru/,granitmaster63@gmail.com,Тольятти,,A,48,No,unknown,Yes,https://t.me/+79879097557,https://vk.com/granittogliatty,https://api.whatsapp.com/send?phone=798790975570901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7402,Облик Салон фотокерамики,78482615062; 79278915062; 79093703976; 78462218665; 79272709759,"ул. Борковская, 59, Тольятти, Самарская обл., Россия, 445036, Тольятти",http://best-monuments.ru/,sfera.zakaz3000@yandex.ru; lebedev.almaz3000@yandex.ru,Тольятти,,A,48,No,wordpress,No,https://t.me/+78482615062,,https://api.whatsapp.com/send?phone=79278915062
7414,Центральная Похоронная Служба,78312304343; 78312002188,"ул. Мира, 90А, Тольятти, Тольятти",https://gos-cps.ru/,cps_nn@mail.ru,Тольятти,,A,46,Yes,unknown,No,https://t.me/cps_nn52,,
7400,Символ Гранит,78482208240; 79967438454; 79198022864; 79879048215,"Революционная ул., 40А, Тольятти, Тольятти",https://xn--80addsdpfmfwew.xn--p1ai/,tlt208240tgk@yandex.ru,Тольятти,,A,45,No,joomla,No,https://t.me/+78482208240,https://vk.com/simvolgranit,https://api.whatsapp.com/send?phone=79967438454
7435,Спецкомбинат ритуальных услуг,78482535777; 78463211111; 78463211177; 78462689911; 78463301557; 78462312272; 78469332519; 78462312212; 78462021146; 78469502608; 78462027291; 78462027298; 78462688898; 78462667208,"Ленинский просп., 10А, Тольятти, Тольятти",http://www.samara-ritual.ru/,info@samara-ritual.ru,Тольятти,,A,45,No,bitrix,No,https://t.me/+78482535777,,
7406,Гранитная мастерская,79370770877,"ул. Ларина, 149, корп. 1, Тольятти, Тольятти",https://gm-granit.ru/,gm.granit@mail.ru,Тольятти,,A,43,No,tilda,No,https://t.me/+79370770877,https://vk.com/gm.granit,https://api.whatsapp.com/send?phone=79370770877
7419,Монумент-ТLТ,79879748111,"Самарская область, Тольятти, Поволжское шоссе, Тольятти",,,Тольятти,,A,41,Yes,unknown,No,https://t.me/Pamyatniki_TLT_Monument,https://vk.com/pamyatniki_togliatti,https://api.whatsapp.com/send?phone=798797481110901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7398,obelisk163.ru,79171383574,"ул. Дзержинского, 17А, стр. 1, Тольятти, Тольятти",https://obelisk163.ru/,firarusa@mail.ru,Тольятти,,A,40,No,unknown,No,https://t.me/+79171383574,https://vk.com/public177855873,https://api.whatsapp.com/send?phone=79171383574
7396,Данила-Мастер,78482940633; 79022234935; 79022202052; 76270000012; 76021044011; 78482387510; 79201493125,"ул. Автостроителей, 57, Тольятти, Тольятти",https://tlt.danila-master.ru/,info@danila-master.ru; anastasia.malinina@danila-master.ru; ekaterina.tarlopova@danila-master.ru; mail@danila-master.ru,Тольятти,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
