id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7536,Небо Одно,79097535050,,https://tuapse.nebo-odno.ru/,op.nebo1@gmail.com,Туапсе,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
7524,Ритуальные услуги,79054049229; 79182309704; 79054940022; 79054949696; 79615300597; 79615300598,"Майкопская ул., 50, село Кривенковское, Туапсе",https://tuapse-ritual.ru/,vitrox@mail.ru,Туапсе,,A,43,Yes,wordpress,No,https://t.me/+79054049229,,
7538,Данила-Мастер,79022234935; 79022202052,"г. Туапсе, ул. Калараша",https://tuapse.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Туапсе,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=tuapse,
7533,tuapse.xn--80apbncqgt0j.xn--p1ai,79618555089; 79892201077; 79882409747; 79618559078,,https://tuapse.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Туапсе,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
7535,tuapse.memorygranit.ru,79180200986; 79824811620,,https://tuapse.memorygranit.ru/,memorygranit@mail.ru,Туапсе,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
7537,tuapse.ritualum.ru,79182792792; 72375001374,,https://tuapse.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Туапсе,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
7532,tuapse.monument123.ru,79888882047,,https://tuapse.monument123.ru/,monument-23@mail.ru,Туапсе,,B,33,Yes,wordpress,No,https://t.me/+79888882047,,
7534,tuapse.zakaz-pamyatnik.ru,79182699977; 79531133563,,https://tuapse.zakaz-pamyatnik.ru/,,Туапсе,,B,33,Yes,wordpress,No,https://t.me/+79182699977,,
7523,Ритуал-Сервис ритуальное агентство,79189061751; 78616737706; 78616746023,"Краснодарский край, Туапсе, Армавирская улица, Туапсе",http://tuapse-ritual-service.ru/,,Туапсе,,B,30,No,unknown,No,https://t.me/+79189061751,,
7529,Первый завод памятников,79184851569; 79528429953,"ул. Фрунзе, 32, Туапсе, Туапсе",,,Туапсе,,B,25,No,unknown,No,https://t.me/+79184851569,,
7526,Мемори-камень,79002890628,"Краснодарский край, Туапсе, 18, Туапсе",,,Туапсе,,C,20,No,unknown,No,https://t.me/+79002890628,,
7528,Габбро-Туапсе,79284499228,"Майкопская ул., 62, село Кривенковское, Туапсе",,,Туапсе,,C,20,No,unknown,No,https://t.me/+79284499228,,
7531,personize.ru,,"г. Туапсе , ул. Набережная",https://personize.ru/,,Туапсе,,C,18,Yes,wordpress,No,,,
7525,Ритуал,,"Краснодарский край, Туапсинский район, садовое товарищество Дубки, Туапсе",,,Туапсе,,D,5,No,unknown,No,,,
7527,Гранит,,"Майкопская ул., 50, село Кривенковское, Туапсе",,,Туапсе,,D,5,No,unknown,No,,,
7530,Магазин по продаже памятников,,"Армавирская ул., 27, Туапсе, Туапсе",,,Туапсе,,D,5,No,unknown,No,,,
