id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7578,Ритуал 71,79964323717; 74872790780; 79202703225; 79202778062,"ул. Революции, 20, Тула, Тула",http://ритуал-71.рф/,Ritual71-Tula@yandex.ru; ritual71-tula@yandex.ru,Тула,,A,56,Yes,wordpress,No,https://t.me/GBO_Ritual71,,https://api.whatsapp.com/send?phone=79964323717
7554,Памятники ТКК,79997752999; 74872288111; 79539650604,"Тульская область, муниципальное образование Тула, Центральный территориальный округ, Тула",https://pamyatniki-na-mogilu-tula.ru/,dan-tkk@yandex.ru,Тула,,A,53,Yes,wordpress,No,https://t.me/79996391777,https://vk.com/monuments_71,https://api.whatsapp.com/send?phone=79997752999
7582,Городская служба ритуальных услуг,74872282868; 79190772817; 79531809990; 79101534345,"ул. Льва Толстого, 79, Тула, Тула",https://ritual71.online/,mister.minakoff2014@gmail.com; vitaliy_lugovoy@mail.ru; evgeniyvladimir@yandex.ru,Тула,,A,51,No,bitrix,No,https://t.me/TulaRitualBot,https://vk.com/club221049662,
7565,Обелиск71 ритуальная компания,79954421302; 79028491888; 79521857333; 79207767776; 71300311525; 71540830002,"Тульская область, муниципальное образование Тула, Центральный территориальный округ, Городское кладбище № 3, уч3, Тула",https://www.xn--71-9kcqpmfv5a.xn--p1ai/,,Тула,,A,50,No,bitrix,No,https://t.me/+79954421302,https://vk.com/obelisk71,https://api.whatsapp.com/send?phone=79954421302
7581,Единая Тульская городская служба ритуальных услуг Ритуал-Тула единая Тульская государственная служба ритуальных услуг,74872740271; 79101527168,"Тула, улица Льва Толстого, Тула",http://ритуал-тула.рф/,,Тула,,A,50,No,bitrix,No,https://t.me/+74872740271,,https://api.whatsapp.com/send?phone=79157817416
7553,Забота о предках,79606022503; 79539710316; 74872268262; 79915280021; 79207447575; 79207781826,"Тульская область, муниципальное образование Тула, Центральный территориальный округ, Городское кладбище № 3, уч3, Тула",https://pamjatniki-venevskoe-shosse.clients.site/,milos71@rambler.ru,Тула,,A,50,Yes,unknown,No,https://t.me/+79026955509,https://vk.com/no_one_solovev,https://api.whatsapp.com/send?phone=79622766351
7559,Памятник71,74872247502; 79038405852; 79101617424; 74872717760,"ул. Макаренко, 2, Тула, Тула",http://www.pamyatnik71.ru/,granitopt71@yandex.ru,Тула,,A,50,Yes,bitrix,No,https://t.me/+74872247502,http://vk.com/club54416281,
7575,russkomgranit.ru,74872589858; 79207977700; 79509227317; 79539560503; 71052076624,"ул. Дмитрия Ульянова, 10, Тула, Тула",https://russkomgranit.ru/,info@russkomgranit.ru,Тула,,A,50,Yes,unknown,No,https://t.me/+74872589858,http://vk.com/id581983790,https://api.whatsapp.com/send?phone=79207977700
7617,Помни всегда,79639311555; 79646423232,"ул. Максима Горького, 35А, Тула, Тула",https://tula.pomnivsegda.ru/,avtor@pomnivsegda.ru,Тула,,A,50,Yes,unknown,No,https://t.me/+79639311555,https://vk.com/fatkulin.evgeniy,https://api.whatsapp.com/send?phone=79646423232
7572,"Мастерская ""Аталанта""",79307928580; 79534285132,"Тульская область, муниципальное образование Тула, Центральный территориальный округ, Тула",https://atalanta71.ru/,atalanta071@yandex.ru,Тула,,A,48,No,wordpress,No,https://t.me/+79307928580,,https://api.whatsapp.com/send?phone=79534285132
7560,Ритуальный дом ритуальная служба,79807220785; 79308999520; 74872580190,"ул. Жуковского, 13, Тула, Тула",https://ритуал-дом.рф/,,Тула,,A,48,Yes,wordpress,No,https://t.me/#,,https://api.whatsapp.com/send?phone=79807220785
7569,Журавли,74954143223,"Советская ул., 11, Тула, Тула",https://tula.guravli.agency/,,Тула,,A,48,Yes,bitrix,No,https://t.me/guravli_agency,https://vk.com/guravli.agency,https://api.whatsapp.com/send?phone=79254143223
7585,Гранит-опт,79674317762; 79207740740; 79674316071; 79674317760; 74872717760; 74872716071; 74872717763; 79207775592; 79674717762; 79674317761; 71060291424; 77628920774,"ул. Демидовская Плотина, 18, Тула, Тула",http://www.opt-granit.com/,71ast@mail.ru; granitopt71@yandex.ru,Тула,,A,47,Yes,bitrix,No,https://t.me/+79674317762,,
7566,Мегамрамор,79066288292; 74872716671; 79264057678,"посёлок Рождественский, 75Г, Тула",https://tula.мегамрамор.рф/,vltarasov@yandex.ru,Тула,,A,45,No,unknown,No,https://t.me/+79066288292,https://vk.com/club147912948,https://api.whatsapp.com/send?phone=79066288292
7579,Гранитная мастерская «Камень на век» в Туле – изготовление и ...,79028423988; 79606065049; 79509222287,"Новомосковское ш., 46, Тула, Тула",https://kamennavek.ru/,kamennavekru@mail.ru,Тула,,A,45,No,unknown,No,https://t.me/+79028423988,,https://api.whatsapp.com/send?phone=79509222287
7610,Гранит ритуальная служба,74872526883; 71030301347; 71542480006,"ул. Щегловская Засека, 16А, Тула, Тула",https://tula-ritual.ru/,mail@tula-ritual.ru,Тула,,A,45,No,bitrix,No,https://t.me/+74872526883,,
7576,Городская Ритуальная Служба № 1,79534294711; 74872227221; 79101653414; 79029015725; 79913534684; 79036581838; 79107028501; 79157889318,"Тула, СТ № 4 УВД Тулобладминистрации, 4, Тула",https://pamyatnikitula.turbo.site/,,Тула,,A,45,Yes,opencart,No,https://t.me/+79913534684,https://vk.com/rs1_vip,https://api.whatsapp.com/send?phone=79029015725
7570,Мастерская по изготовлению памятников,74872385856; 79038455960; 74872385996; 79109430784; 79107022066,"Оборонная ул., 18А, Тула, Тула",https://leonardotula.ru/,,Тула,,A,43,No,wordpress,No,https://t.me/+79038455960,,https://api.whatsapp.com/send?phone=79038455960
7574,Центр ритуальных услуг,79534376401; 79534243740; 74872790639; 79207456013; 79105889396,"ул. Луначарского, 31, Тула, Тула",http://www.ritualcentr71.ru/,,Тула,,A,43,No,unknown,No,https://t.me/denisritual71,,https://api.whatsapp.com/send?phone=79534243740
7606,pamyatniki.one,79207733031; 74872794343,"Советская ул., 70, Тула, Тула",https://tula.pamyatniki.one/,tula@pamyatniki.one,Тула,,A,43,Yes,unknown,No,https://t.me/pamyatnikione,https://vk.com/pamyatnikione,
7580,Первая Гранитная Корпорация,74872440526; 74957774054; 79267642076; 74957774019; 79998495455; 79266686603; 70281060000,"Тула, Городское кладбище № 1-2, 4, Тула",http://1-gc.ru/,zakaz@1-gc.ru,Тула,,A,41,No,unknown,No,https://t.me/prudnikovaee,,
7556,Радуница ритуальная компания,74872583288; 79202760991; 79531812208,"ул. Колетвинова, 6, Тула, Тула",https://радуница.рф/,,Тула,,A,40,No,unknown,No,https://t.me/+74872583288,https://vk.com/radunitca,https://api.whatsapp.com/send?phone=79190782608
7568,Мемориал71,79531807557; 79606080757,"Рогожинская ул., 18, Тула, Тула",https://memorial71.ru/,,Тула,,A,40,No,unknown,No,https://t.me/79606080757,,https://api.whatsapp.com/send?phone=79531807557
7571,Ритуальное бюро № 1,74872702003; 79207765540; 79954423233,"ул. Мориса Тореза, 2, Тула, Тула",http://rbone.ru/,,Тула,,A,40,No,unknown,No,https://t.me/89954423233,,https://api.whatsapp.com/send?phone=79954423233
7624,vsepamyatniki71.ru,79611481075,г. Тула ул.  Металлургов,https://vsepamyatniki71.ru/,tula1@vsepamyatniki.ru; office@vsepamyatniki.ru; zakaz@vsepamyatniki.ru,Тула,,A,40,No,bitrix,No,https://t.me/+79611481075,https://vk.com/vsepamyatniki,
7629,Гранит памяти,,,https://tula.granit-pamyati.ru/,office@granit-pamyati.ru,Тула,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
