id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7641,Гранд-Монумент,79643503012; 73952415250; 79501106766,г. Иркутск 3,https://xn--e1anadcc6ae0f.xn--p1acf/,zakaz-monument@mail.ru,Тулун,,A,45,No,bitrix,No,https://t.me/+79643503012,,
7631,Камнеобработка,79087785850; 79501392229; 79149502188; 79246089986,"Мясокомбинатская ул., 20, Тулун, Тулун",http://tulunpamytniki.ru/,,Тулун,,A,40,No,joomla,No,https://t.me/https://s372644.lpmotortest.com/,,https://api.whatsapp.com/send?phone=79501392229
7638,Данила-Мастер,79022234935; 79022202052,"г. Тулун, ул. Володарского",https://tulun.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Тулун,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=tulun,
7639,tulun.мирпамяти.рф,79618559078; 79892201077; 79882409747,,https://tulun.xn--80apbncqgt0j.xn--p1ai/,mir-pamyati@yandex.ru,Тулун,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
7632,ИП Виноградов О.В.,79500794707; 79021759727; 73953041199,"ул. Лыткина, 7, Тулун, Тулун",,,Тулун,,B,35,No,unknown,No,https://t.me/89021759727,,https://api.whatsapp.com/send?phone=79021759727
7642,petra-market.ru,79137148844; 79137158844; 70281044405,,https://petra-market.ru/,petra-market@bk.ru,Тулун,,B,30,No,unknown,No,https://telegram.me/artem2005te,,
7630,Тулунский завод Камнеобработки,79242944794; 79245488289,"ул. Ватутина, 2/1, Тулун, Тулун",,,Тулун,,B,25,No,unknown,No,https://t.me/+79242944794,,
7635,Дядя Федор,79501115554; 73953041378,"ул. Володарского, 40, Тулун, Тулун",,,Тулун,,B,25,No,unknown,No,https://t.me/+79501115554,,
7636,Ритуал,79647544983; 79500770737,"Дачная ул., 2Б, Тулун, Тулун",,,Тулун,,B,25,No,unknown,No,https://t.me/+79647544983,,
7640,dplike.ru,,"г. Тулун , ул. Лесная",https://dplike.ru/,,Тулун,,C,18,Yes,wordpress,No,,,
7637,talci.ru,,,http://www.talci.ru/,,Тулун,,D,10,Yes,unknown,No,,,
7634,Орфей,,"ул. Виноградова, 25, Тулун, Тулун",,,Тулун,,D,5,No,unknown,No,,,
