id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7267,Реквием ритуальная компания,79051644485; 74822345590; 79206867646; 79000101166; 79806359616; 79806353881,"Тверская область, Калининский район, Заволжское сельское поселение, кладбище Дмитрово-Черкассы, Тверь",http://pamyatniki-tver.ru/,mail@rikom-tver.ru,Тверь,,A,50,Yes,unknown,No,https://t.me/79051644485,https://vk.com/rikomtver,https://api.whatsapp.com/send?phone=79051644485
7275,Эталон гранит,74822601303; 79206868355,"ул. Спартака, 47Б, Тверь, Тверь",http://etalongranit.ru/,info@etalongranit.ru,Тверь,,A,50,Yes,unknown,No,https://t.me/+74822601303,https://vk.com/etalongranit_tver,https://api.whatsapp.com/send?phone=79108300053
7276,Ритуальная компания Вечность,74822608554; 79632208554; 74822322498,"просп. Чайковского, 98, Тверь, Тверь",https://вечность-сервис.рф/,vechnost.ritualcompany@ya.ru,Тверь,,A,50,Yes,opencart,No,https://t.me/+74822608554,https://vk.com/resonance_ra,https://api.whatsapp.com/send?phone=79657226626
7285,Памятники,79201553348; 74822650326; 79969237455; 79036950927; 74822750517; 79036954955; 79040187388,"ул. Зинаиды Коноплянниковой, 9/34, Тверь, Тверь",https://www.pamyatniki-karelii.ru/,pamyatniki-karelii@mail.ru,Тверь,,A,49,Yes,wordpress,No,https://t.me/PamyatnikiKarelii,https://vk.com/pamyatniki_karelii,
7274,granum-69.ru,79206893352; 79106475708,"просп. Чайковского, 27/32, Тверь, Тверь",https://granum-69.ru/,info@granum-69.ru,Тверь,,A,48,No,wordpress,No,https://t.me/+79206893352,https://vk.com/granum_tver,https://api.whatsapp.com/send?phone=79206893352
7268,Изделия из камня,79056015757; 74822691068; 74822575553; 79000111666; 74822691896; 79038091068,"Тверь, посёлок 2-е Городское торфопредприятие, 10, стр. 4, Тверь",https://granitnye-pamyatniki.ru/,kamenny.dvorick@yandex.ru,Тверь,,A,45,No,joomla,No,https://t.me/+79056015757,https://vk.com/ip_pirogov_sv,https://api.whatsapp.com/send?phone=79056015757
7270,Ермис Тверь,79269008745; 74959892621,"Старицкое ш., 6, Тверь, Тверь",https://www.ermis.su/,,Тверь,,A,45,Yes,unknown,No,https://t.me/+79269008745,https://vk.com/ermis_fs,https://api.whatsapp.com/send?phone=79015178069
7277,MemorialTver производственная компания,79106475505; 79301652726,"Хрустальная ул., 47А, Тверь, Тверь",http://www.memorialtver.ru/,memorialtver@yandex.ru,Тверь,,A,45,No,unknown,No,https://t.me/+79106475505,,https://api.whatsapp.com/send?phone=79301652726
7284,Памятники из гранита,79301652086; 79011103770,"просп. Чайковского, 46А, Тверь, Тверь",http://ritual-69.ru/,lakoma25@yandex.ru,Тверь,,A,45,No,unknown,No,https://t.me/+79301652086,,https://api.whatsapp.com/send?phone=79301652086
7288,Камень и плитка,74822753494; 79933984739,"просп. Ленина, 26, Тверь, Тверь",https://kamniplitka-tver.ru/,denis8483@mail.ru,Тверь,,A,45,No,joomla,No,https://t.me/+79056022343,,https://api.whatsapp.com/send?phone=7905602243
