id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7674,Ритэл центр ритуальных услуг,79809636229; 73452909237; 73452788969; 79827863333; 79044909237,"Широтная ул., 198А, Тюмень, Тюмень",https://ритэл.рф/,suharukovm@gmail.com; suharukova@gmail.com,Тюмень,,A,58,No,bitrix,No,https://t.me/Suharukova,https://vk.com/altop,https://api.whatsapp.com/send?phone=79827863333
7681,Риус похоронное бюро,79044921542; 73452701718; 73452468579; 73452593667; 79044990470; 79220735333; 73452722395,"городской округ Тюмень, Червишевское кладбище, 4, Тюмень",https://rius72.ru/,tyumenrius2@mail.ru,Тюмень,,A,56,No,wordpress,Yes,https://t.me/+79220735333,https://vk.com/rius72,https://api.whatsapp.com/send?phone=79220735333
7672,Мемориал Тюменский ритуальный центр,73452750101; 73452750103; 73452729895; 73452464043; 73452750102; 79923094071,"Тюменский район, Червишевский тракт, 7-й километр, 1, Тюмень",http://www.memorial72.ru/,memorial72@mail.ru,Тюмень,,A,55,No,bitrix,No,https://t.me/+79923094071,https://vk.com/72trc,https://api.whatsapp.com/send?phone=79923094071
7682,"Изделия из гранита и мрамораот компании ""Камень вечен""",79088736288; 79044957371; 79634592797; 73452668460; 73452736288; 73452957371; 79044901079,"ул. Мельникайте, 106/1, Тюмень, Тюмень",http://www.kamenvechen.ru/,957371@mail.ru,Тюмень,,A,55,No,bitrix,No,https://t.me/+79088736288,,https://api.whatsapp.com/send?phone=79088736288
7691,Северный похоронный дом,73452219473; 79220742211; 73452588806,"ул. Юрия Семовских, 1, стр. 2, Тюмень, Тюмень",https://spdtumen.ru/,Spd_tyumen@bk.ru; spd_tyumen@bk.ru,Тюмень,,A,55,No,bitrix,No,https://t.me/+73452219473,https://vk.com/spdtmn,https://api.whatsapp.com/send?phone=79220742211
7698,Уральская Гранитная Компания,79220034604; 79220397150; 79221228641,"городской округ Тюмень, Червишевский тракт, 5-й километр, 1, Тюмень",https://tym.ugc-group.ru/,info@ugc-group.ru,Тюмень,,A,50,Yes,unknown,No,https://t.me/+79220034604,,https://api.whatsapp.com/send?phone=79220034604
7742,tyumen.bilkam.ru,73833830392; 73517009492,"г. Тюмень, ул. Чекистов",https://tyumen.bilkam.ru/,sales@bilkam.ru,Тюмень,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7673,Обелиск ритуальный салон,79123822272; 79224740040,"ул. Московский Тракт, 130, стр. 3, Тюмень, Тюмень",https://obelisk72.ru/,obelisk72@yandex.ru,Тюмень,,A,48,No,wordpress,No,https://t.me/+79123822272,https://vk.com/public199607294,https://api.whatsapp.com/send?phone=79123822272
7683,Камень памяти,79044737474; 79995400000; 79044988880; 79044940001; 76400397751; 76400405296; 76400415088; 76400418725,"ул. Николая Чаплина, 122/8, Тюмень, Тюмень",https://кп72.рф/,verfom@bk.ru,Тюмень,,A,48,No,tilda,No,https://t.me/+79044737474,,https://api.whatsapp.com/send?phone=79044737474
7692,Природный камень,73452719101; 73452622220; 73452909165; 73452691323; 79129908007,"Тюмень, Салаирский тракт, 6-й километр, Тюмень",https://kamen-tmn.ru/,oookamen70@mail.ru,Тюмень,,A,48,No,wordpress,No,https://t.me/+73452719101,,https://api.whatsapp.com/send?phone=79044909165
