id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7853,ussurijsk.bilkam.ru,73833830392; 73517009492,"г. Уссурийск, ул. Московская",https://ussurijsk.bilkam.ru/,sales@bilkam.ru,Уссурийск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7837,Память ритуальное агентство,79146786721; 74234321694; 74234372820; 79147200010; 79147112820,"ул. Некрасова, 22, Уссурийск, Уссурийск",https://pavelrai.ru/,7pavel7@mail.ru,Уссурийск,,A,48,No,wordpress,No,https://t.me/+79147200010,https://vk.com/id563590950,https://api.whatsapp.com/send?phone=79147200010
7831,Тихая обитель ритуальное агентство,79140712500; 74234315059,"ул. Вейса, 18, стр. 5, Уссурийск, Уссурийск",http://uss-obitel.ru/,,Уссурийск,,A,45,Yes,unknown,No,https://t.me/+79140712500,,https://api.whatsapp.com/send?phone=79140712500
7833,Феникс - Ритуальное агентство,79147135673,"ул. Тимирязева, 29, стр. 2, Уссурийск, Уссурийск",https://fenix-ussur.ru/,fenix.ussur@mail.ru,Уссурийск,,A,43,No,wordpress,No,https://t.me/RAfenix,,https://api.whatsapp.com/send?phone=79147135673
7830,Небесный ковчег,79147027182; 79244224152; 79245258520; 79147900525; 74234700525,"ул. Некрасова, 118, Уссурийск, Уссурийск",https://70000001068521518.2gis.biz/,,Уссурийск,,A,40,Yes,unknown,No,https://t.me/+79147027182,,https://api.whatsapp.com/send?phone=79147027182
7852,Данила-Мастер,79022234935; 79022202052,"г. Уссурийск, ул. Агеева",https://ussuriysk.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Уссурийск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=ussuriysk,
7854,ussuriysk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://ussuriysk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Уссурийск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
7842,Primstone,79241290517,"Русская ул., 1, Уссурийск, Уссурийск",,,Уссурийск,,B,30,No,unknown,No,https://t.me/+79241290517,,https://api.whatsapp.com/send?phone=79241290517
7851,барельеф25.рф,79025590020,"г. Уссурийск, ул. Новоникольское",https://xn--25-6kcdva5bzb1b4e.xn--p1ai/,barellef@mail.ru,Уссурийск,,B,30,No,unknown,No,https://t.me/+79025590020,,
7835,Природный Камень завод по обработке камня,74234350299,"Михайловское ш., 3В, посёлок Тимирязевский, Уссурийск",,,Уссурийск,,C,20,No,unknown,No,https://t.me/+74234350299,,
7838,Барельеф,74234300020,"Новоникольское ш., 11, Уссурийск, Уссурийск",,,Уссурийск,,C,20,No,unknown,No,https://t.me/+74234300020,,
7841,Вечность,79247332024,"1-я Шахтёрская ул., 15, Уссурийск, Уссурийск",,,Уссурийск,,C,20,No,unknown,No,https://t.me/+79247332024,,
7847,Ритуал-Л ритуальное агентство,74234379868,"Русская ул., 87А, Уссурийск, Уссурийск",,,Уссурийск,,C,20,No,unknown,No,https://t.me/+74234379868,,
7845,Ангел,,"ул. Калинина, 24С2, Уссурийск, Уссурийск",,,Уссурийск,,D,5,No,unknown,No,,,
7846,Мемориальная компания,,"ул. Суханова, 70, Уссурийск, Уссурийск",,,Уссурийск,,D,5,No,unknown,No,,,
7848,Базванов,,"Волочаевская ул., 110, Уссурийск, Уссурийск",,,Уссурийск,,D,5,No,unknown,No,,,
7849,Монумент,,"ул. Воровского, 142, Уссурийск, Уссурийск",,,Уссурийск,,D,5,No,unknown,No,,,
7850,Студия камня,,"Краснознамённая ул., 68А, Уссурийск, Уссурийск",,,Уссурийск,,D,5,No,unknown,No,,,
